billing_cycle_id,customer_segment,county,rate_plan_id,bill_status,bill_count,account_count,total_bill_amount,avg_bill_amount,total_kwh_usage,avg_kwh_usage,paid_bills,generated_bills,past_due_bills,exception_bills
2024-01,Agriculture And Water Pumping,MONTEREY,R-AGR-PUMP,Past Due,1,1,5852.32,5852.32,23471.56,23471.56,0,0,1,0
2024-01,Agriculture And Water Pumping,NEVADA,R-AGR-PUMP,Paid,1,1,4159.41,4159.41,17201.52,17201.52,1,0,0,0
2024-01,Agriculture And Water Pumping,PLACER,R-AGR-PUMP,Paid,4,4,15003.76,3750.94,62462.67,15615.67,4,0,0,0
2024-01,Agriculture And Water Pumping,PLACER,R-AGR-PUMP,Past Due,1,1,1919.27,1919.27,8904.71,8904.71,0,0,1,0
2024-01,Agriculture And Water Pumping,SAN FRANCISCO,R-AGR-PUMP,Generated,1,1,1866.9,1866.9,8710.74,8710.74,0,1,0,0
2024-01,Agriculture And Water Pumping,SAN FRANCISCO,R-AGR-PUMP,Paid,9,9,36633.74,4070.42,151847.2,16871.91,9,0,0,0
2024-01,Agriculture And Water Pumping,SAN FRANCISCO,R-AGR-PUMP,Past Due,1,1,2900.48,2900.48,12538.83,12538.83,0,0,1,0
2024-01,Agriculture And Water Pumping,SAN JOAQUIN,R-AGR-PUMP,Exception,2,2,0.0,,0.0,,0,0,0,2
2024-01,Agriculture And Water Pumping,SAN JOAQUIN,R-AGR-PUMP,Generated,2,2,4891.66,2445.83,21709.87,10854.94,0,2,0,0
2024-01,Agriculture And Water Pumping,SAN JOAQUIN,R-AGR-PUMP,Paid,6,6,19709.61,3284.93,83776.28,13962.71,6,0,0,0
2024-01,Agriculture And Water Pumping,SAN LUIS OBISPO,R-AGR-PUMP,Generated,1,1,2485.45,2485.45,11001.65,11001.65,0,1,0,0
2024-01,Agriculture And Water Pumping,SAN MATEO,R-AGR-PUMP,Paid,5,5,15994.05,3198.81,68137.3,13627.46,5,0,0,0
2024-01,Agriculture And Water Pumping,SAN MATEO,R-AGR-PUMP,Past Due,1,1,3758.66,3758.66,15717.25,15717.25,0,0,1,0
2024-01,Agriculture And Water Pumping,SANTA BARBARA,R-AGR-PUMP,Paid,2,2,6727.92,3363.96,28236.08,14118.04,2,0,0,0
2024-01,Agriculture And Water Pumping,SANTA CLARA,R-AGR-PUMP,Generated,2,2,7586.78,3793.39,31691.76,15845.88,0,2,0,0
2024-01,Agriculture And Water Pumping,SANTA CLARA,R-AGR-PUMP,Paid,18,18,52529.61,2918.31,225672.3,12537.35,18,0,0,0
2024-01,Agriculture And Water Pumping,SANTA CLARA,R-AGR-PUMP,Past Due,1,1,3144.75,3144.75,13443.52,13443.52,0,0,1,0
2024-01,Agriculture And Water Pumping,SANTA CRUZ,R-AGR-PUMP,Paid,2,2,7006.3,3503.15,29541.84,14770.92,2,0,0,0
2024-01,Agriculture And Water Pumping,SHASTA,R-AGR-PUMP,Paid,1,1,2413.7,2413.7,10735.94,10735.94,1,0,0,0
2024-01,Agriculture And Water Pumping,SOLANO,R-AGR-PUMP,Generated,2,2,6124.12,3062.06,26274.52,13137.26,0,2,0,0
2024-01,Agriculture And Water Pumping,SOLANO,R-AGR-PUMP,Paid,1,1,4085.43,4085.43,16927.51,16927.51,1,0,0,0
2024-01,Agriculture And Water Pumping,SOLANO,R-AGR-PUMP,Past Due,1,1,2027.37,2027.37,9305.07,9305.07,0,0,1,0
2024-01,Agriculture And Water Pumping,SUTTER,R-AGR-PUMP,Paid,1,1,2909.79,2909.79,12573.3,12573.3,1,0,0,0
2024-01,Agriculture And Water Pumping,TUOLUMNE,R-AGR-PUMP,Generated,1,1,2763.66,2763.66,12032.06,12032.06,0,1,0,0
2024-01,Agriculture And Water Pumping,TUOLUMNE,R-AGR-PUMP,Paid,1,1,2700.2,2700.2,11797.04,11797.04,1,0,0,0
2024-01,Agriculture And Water Pumping,YOLO,R-AGR-PUMP,Generated,1,1,4717.98,4717.98,19270.29,19270.29,0,1,0,0
2024-01,Agriculture And Water Pumping,YOLO,R-AGR-PUMP,Paid,2,2,4735.39,2367.7,21131.08,10565.54,2,0,0,0
2024-01,Commercial,ALAMEDA,R-COM-GEN,Exception,8,8,0.0,,29170.83,5834.17,0,0,0,8
2024-01,Commercial,ALAMEDA,R-COM-GEN,Generated,12,12,18385.83,1532.15,65847.99,5487.33,0,12,0,0
2024-01,Commercial,ALAMEDA,R-COM-GEN,Paid,43,43,64852.22,1508.19,233016.63,5418.99,43,0,0,0
2024-01,Commercial,ALAMEDA,R-COM-GEN,Past Due,5,5,5398.63,1079.73,20199.53,4039.91,0,0,5,0
2024-01,Commercial,AMADOR,R-COM-GEN,Paid,3,3,4190.26,1396.75,15147.61,5049.2,3,0,0,0
2024-01,Commercial,BUTTE,R-COM-GEN,Generated,2,2,3162.72,1581.36,11331.36,5665.68,0,2,0,0
2024-01,Commercial,BUTTE,R-COM-GEN,Paid,9,9,13852.57,1539.17,49766.37,5529.6,9,0,0,0
2024-01,Commercial,BUTTE,R-COM-GEN,Past Due,1,1,628.42,628.42,2472.6,2472.6,0,0,1,0
2024-01,Commercial,CALAVERAS,R-COM-GEN,Paid,3,3,3591.28,1197.09,13080.43,4360.14,3,0,0,0
2024-01,Commercial,COLUSA,R-COM-GEN,Generated,1,1,1973.42,1973.42,6930.4,6930.4,0,1,0,0
2024-01,Commercial,CONTRA COSTA,R-COM-GEN,Exception,4,4,0.0,,10772.23,5386.11,0,0,0,4
2024-01,Commercial,CONTRA COSTA,R-COM-GEN,Generated,11,11,18833.58,1712.14,66917.85,6083.44,0,11,0,0
2024-01,Commercial,CONTRA COSTA,R-COM-GEN,Paid,31,31,40313.67,1300.44,147239.13,4749.65,31,0,0,0
2024-01,Commercial,CONTRA COSTA,R-COM-GEN,Past Due,2,2,1994.0,997.0,7561.31,3780.65,0,0,2,0
2024-01,Commercial,EL DORADO,R-COM-GEN,Exception,1,1,0.0,,0.0,,0,0,0,1
2024-01,Commercial,EL DORADO,R-COM-GEN,Generated,2,2,4509.75,2254.88,15676.64,7838.32,0,2,0,0
2024-01,Commercial,EL DORADO,R-COM-GEN,Paid,3,3,3298.2,1099.4,12332.89,4110.96,3,0,0,0
2024-01,Commercial,EL DORADO,R-COM-GEN,Past Due,1,1,1389.25,1389.25,5045.96,5045.96,0,0,1,0
2024-01,Commercial,FRESNO,R-COM-GEN,Exception,2,2,0.0,,0.0,,0,0,0,2
2024-01,Commercial,FRESNO,R-COM-GEN,Generated,5,5,5480.99,1096.2,20443.31,4088.66,0,5,0,0
2024-01,Commercial,FRESNO,R-COM-GEN,Paid,34,34,43124.27,1268.36,157934.29,4645.13,34,0,0,0
2024-01,Commercial,FRESNO,R-COM-GEN,Past Due,4,4,4837.8,1209.45,17863.88,4465.97,0,0,4,0
2024-01,Commercial,GLENN,R-COM-GEN,Exception,1,1,0.0,,5688.92,5688.92,0,0,0,1
2024-01,Commercial,GLENN,R-COM-GEN,Generated,1,1,920.6,920.6,3534.2,3534.2,0,1,0,0
2024-01,Commercial,GLENN,R-COM-GEN,Paid,2,2,2644.92,1322.46,9661.04,4830.52,2,0,0,0
2024-01,Commercial,HUMBOLDT,R-COM-GEN,Exception,1,1,0.0,,6496.31,6496.31,0,0,0,1
2024-01,Commercial,HUMBOLDT,R-COM-GEN,Generated,1,1,911.31,911.31,3504.24,3504.24,0,1,0,0
2024-01,Commercial,HUMBOLDT,R-COM-GEN,Paid,3,3,3107.42,1035.81,11717.5,3905.83,3,0,0,0
2024-01,Commercial,KERN,R-COM-GEN,Exception,5,5,0.0,,10027.04,5013.52,0,0,0,5
2024-01,Commercial,KERN,R-COM-GEN,Generated,22,22,29406.93,1336.68,106648.77,4847.67,0,22,0,0
2024-01,Commercial,KERN,R-COM-GEN,Paid,53,53,69446.41,1310.31,253431.96,4781.74,53,0,0,0
2024-01,Commercial,KERN,R-COM-GEN,Past Due,3,3,4050.65,1350.22,14760.16,4920.05,0,0,3,0
2024-01,Commercial,KINGS,R-COM-GEN,Generated,2,2,3180.52,1590.26,11388.76,5694.38,0,2,0,0
2024-01,Commercial,KINGS,R-COM-GEN,Paid,5,5,6833.97,1366.79,24867.65,4973.53,5,0,0,0
2024-01,Commercial,LAKE,R-COM-GEN,Paid,1,1,572.94,572.94,2241.4,2241.4,1,0,0,0
2024-01,Commercial,MADERA,R-COM-GEN,Exception,3,3,0.0,,5784.56,2892.28,0,0,0,3
2024-01,Commercial,MADERA,R-COM-GEN,Paid,5,5,5494.44,1098.89,20546.54,4109.31,5,0,0,0
2024-01,Commercial,MADERA,R-COM-GEN,Past Due,1,1,1511.15,1511.15,5439.19,5439.19,0,0,1,0
2024-01,Commercial,MARIN,R-COM-GEN,Generated,2,2,1477.59,738.79,5633.95,2816.97,0,2,0,0
2024-01,Commercial,MARIN,R-COM-GEN,Paid,3,3,5852.62,1950.87,20572.93,6857.64,3,0,0,0
2024-01,Commercial,MARIPOSA,R-COM-GEN,Generated,1,1,1141.53,1141.53,4246.86,4246.86,0,1,0,0
2024-01,Commercial,MENDOCINO,R-COM-GEN,Generated,2,2,2015.52,1007.76,7587.0,3793.5,0,2,0,0
2024-01,Commercial,MENDOCINO,R-COM-GEN,Paid,2,2,2560.77,1280.38,9389.56,4694.78,2,0,0,0
2024-01,Commercial,MERCED,R-COM-GEN,Exception,1,1,0.0,,3425.08,3425.08,0,0,0,1
2024-01,Commercial,MERCED,R-COM-GEN,Generated,3,3,3637.96,1212.65,13428.91,4476.3,0,3,0,0
2024-01,Commercial,MERCED,R-COM-GEN,Paid,12,12,14953.18,1246.1,54942.44,4578.54,12,0,0,0
2024-01,Commercial,MERCED,R-COM-GEN,Past Due,2,2,2583.31,1291.65,9462.29,4731.15,0,0,2,0
2024-01,Commercial,MONTEREY,R-COM-GEN,Exception,1,1,0.0,,0.0,,0,0,0,1
2024-01,Commercial,MONTEREY,R-COM-GEN,Generated,6,6,6882.5,1147.08,25452.14,4242.02,0,6,0,0
2024-01,Commercial,MONTEREY,R-COM-GEN,Paid,9,9,11813.02,1312.56,43043.76,4782.64,9,0,0,0
2024-01,Commercial,NAPA,R-COM-GEN,Generated,1,1,2164.69,2164.69,7547.4,7547.4,0,1,0,0
2024-01,Commercial,NAPA,R-COM-GEN,Paid,4,4,5022.2,1255.55,18458.7,4614.68,4,0,0,0
2024-01,Commercial,NEVADA,R-COM-GEN,Exception,1,1,0.0,,6125.71,6125.71,0,0,0,1
2024-01,Commercial,NEVADA,R-COM-GEN,Generated,1,1,1332.89,1332.89,4864.15,4864.15,0,1,0,0
2024-01,Commercial,NEVADA,R-COM-GEN,Paid,3,3,3744.54,1248.18,13629.32,4543.11,3,0,0,0
2024-01,Commercial,NEVADA,R-COM-GEN,Past Due,2,2,2307.84,1153.92,8573.69,4286.85,0,0,2,0
2024-01,Commercial,PLACER,R-COM-GEN,Exception,2,2,0.0,,7915.34,3957.67,0,0,0,2
2024-01,Commercial,PLACER,R-COM-GEN,Generated,3,3,4466.25,1488.75,16100.78,5366.93,0,3,0,0
2024-01,Commercial,PLACER,R-COM-GEN,Paid,13,13,18118.33,1393.72,65665.82,5051.22,13,0,0,0
2024-01,Commercial,PLACER,R-COM-GEN,Past Due,3,3,3822.87,1274.29,13989.31,4663.1,0,0,3,0
2024-01,Commercial,PLUMAS,R-COM-GEN,Generated,1,1,1177.0,1177.0,4361.29,4361.29,0,1,0,0
2024-01,Commercial,PLUMAS,R-COM-GEN,Paid,2,2,2998.32,1499.16,10801.03,5400.51,2,0,0,0
2024-01,Commercial,PLUMAS,R-COM-GEN,Past Due,1,1,1392.66,1392.66,5056.98,5056.98,0,0,1,0
2024-01,Commercial,SAN FRANCISCO,R-COM-GEN,Generated,9,9,11520.38,1280.04,42071.37,4674.6,0,9,0,0
2024-01,Commercial,SAN FRANCISCO,R-COM-GEN,Paid,23,23,32348.79,1406.47,116946.59,5084.63,23,0,0,0
2024-01,Commercial,SAN FRANCISCO,R-COM-GEN,Past Due,2,2,1751.86,875.93,6685.19,3342.59,0,0,2,0
2024-01,Commercial,SAN JOAQUIN,R-COM-GEN,Exception,2,2,0.0,,0.0,,0,0,0,2
2024-01,Commercial,SAN JOAQUIN,R-COM-GEN,Generated,9,9,11597.74,1288.64,42372.17,4708.02,0,9,0,0
2024-01,Commercial,SAN JOAQUIN,R-COM-GEN,Paid,23,23,29469.14,1281.27,107914.94,4691.95,23,0,0,0
2024-01,Commercial,SAN JOAQUIN,R-COM-GEN,Past Due,1,1,1689.94,1689.94,6015.94,6015.94,0,0,1,0
2024-01,Commercial,SAN LUIS OBISPO,R-COM-GEN,Generated,1,1,636.88,636.88,2507.83,2507.83,0,1,0,0
2024-01,Commercial,SAN LUIS OBISPO,R-COM-GEN,Paid,8,8,9642.31,1205.29,35520.83,4440.1,8,0,0,0
2024-01,Commercial,SAN LUIS OBISPO,R-COM-GEN,Past Due,3,3,3233.9,1077.97,12101.39,4033.8,0,0,3,0
2024-01,Commercial,SAN MATEO,R-COM-GEN,Generated,3,3,2367.0,789.0,9269.05,3089.68,0,3,0,0
2024-01,Commercial,SAN MATEO,R-COM-GEN,Paid,18,18,24039.87,1335.55,87473.25,4859.63,18,0,0,0
2024-01,Commercial,SAN MATEO,R-COM-GEN,Past Due,3,3,3881.79,1293.93,14036.92,4678.97,0,0,3,0
2024-01,Commercial,SANTA BARBARA,R-COM-GEN,Exception,1,1,0.0,,3328.86,3328.86,0,0,0,1
2024-01,Commercial,SANTA BARBARA,R-COM-GEN,Generated,4,4,3441.53,860.38,13286.98,3321.74,0,4,0,0
2024-01,Commercial,SANTA BARBARA,R-COM-GEN,Paid,6,6,7248.79,1208.13,26765.28,4460.88,6,0,0,0
2024-01,Commercial,SANTA BARBARA,R-COM-GEN,Past Due,2,2,4169.58,2084.79,14579.29,7289.65,0,0,2,0
2024-01,Commercial,SANTA CLARA,R-COM-GEN,Exception,11,11,0.0,,23733.76,3955.63,0,0,0,11
2024-01,Commercial,SANTA CLARA,R-COM-GEN,Generated,19,19,22613.69,1190.19,83495.37,4394.49,0,19,0,0
2024-01,Commercial,SANTA CLARA,R-COM-GEN,Paid,55,55,70847.85,1288.14,259139.0,4711.62,55,0,0,0
2024-01,Commercial,SANTA CLARA,R-COM-GEN,Past Due,8,8,11643.53,1455.44,42075.94,5259.49,0,0,8,0
2024-01,Commercial,SANTA CRUZ,R-COM-GEN,Generated,1,1,942.03,942.03,3603.32,3603.32,0,1,0,0
2024-01,Commercial,SANTA CRUZ,R-COM-GEN,Paid,3,3,4265.61,1421.87,15453.59,5151.2,3,0,0,0
2024-01,Commercial,SHASTA,R-COM-GEN,Generated,4,4,5795.9,1448.97,20954.54,5238.64,0,4,0,0
2024-01,Commercial,SHASTA,R-COM-GEN,Paid,5,5,6429.9,1285.98,23531.86,4706.37,5,0,0,0
2024-01,Commercial,SOLANO,R-COM-GEN,Exception,1,1,0.0,,6677.37,6677.37,0,0,0,1
2024-01,Commercial,SOLANO,R-COM-GEN,Generated,3,3,2827.0,942.33,10704.56,3568.19,0,3,0,0
2024-01,Commercial,SOLANO,R-COM-GEN,Paid,7,7,9677.98,1382.57,35170.88,5024.41,7,0,0,0
2024-01,Commercial,SONOMA,R-COM-GEN,Exception,2,2,0.0,,0.0,,0,0,0,2
2024-01,Commercial,SONOMA,R-COM-GEN,Generated,1,1,1436.08,1436.08,5197.03,5197.03,0,1,0,0
2024-01,Commercial,SONOMA,R-COM-GEN,Paid,9,9,10257.47,1139.72,38164.2,4240.47,9,0,0,0
2024-01,Commercial,SONOMA,R-COM-GEN,Past Due,1,1,708.09,708.09,2804.54,2804.54,0,0,1,0
2024-01,Commercial,SUTTER,R-COM-GEN,Generated,4,4,3871.46,967.87,14746.62,3686.65,0,4,0,0
2024-01,Commercial,SUTTER,R-COM-GEN,Paid,2,2,2322.43,1161.21,8620.74,4310.37,2,0,0,0
2024-01,Commercial,TUOLUMNE,R-COM-GEN,Exception,1,1,0.0,,7304.56,7304.56,0,0,0,1
2024-01,Commercial,TUOLUMNE,R-COM-GEN,Generated,1,1,2425.68,2425.68,8389.28,8389.28,0,1,0,0
2024-01,Commercial,TUOLUMNE,R-COM-GEN,Paid,4,4,6155.78,1538.94,22115.42,5528.86,4,0,0,0
2024-01,Commercial,YOLO,R-COM-GEN,Generated,2,2,3944.27,1972.13,13852.5,6926.25,0,2,0,0
2024-01,Commercial,YOLO,R-COM-GEN,Paid,7,7,9821.72,1403.1,35605.69,5086.53,7,0,0,0
2024-01,Commercial,YUBA,R-COM-GEN,Exception,1,1,0.0,,2969.08,2969.08,0,0,0,1
2024-01,Commercial,YUBA,R-COM-GEN,Paid,2,2,1925.09,962.55,7089.79,3544.89,2,0,0,0
2024-01,Industrial,ALAMEDA,R-IND-GEN,Exception,1,1,0.0,,49250.22,49250.22,0,0,0,1
2024-01,Industrial,ALAMEDA,R-IND-GEN,Generated,5,5,45502.54,9100.51,221429.75,44285.95,0,5,0,0
2024-01,Industrial,ALAMEDA,R-IND-GEN,Paid,8,8,113749.85,14218.73,524917.29,65614.66,8,0,0,0
2024-01,Industrial,BUTTE,R-IND-GEN,Paid,1,1,16648.65,16648.65,75827.7,75827.7,1,0,0,0
2024-01,Industrial,CALAVERAS,R-IND-GEN,Exception,1,1,0.0,,30338.22,30338.22,0,0,0,1
2024-01,Industrial,CONTRA COSTA,R-IND-GEN,Generated,1,1,8763.0,8763.0,42970.85,42970.85,0,1,0,0
2024-01,Industrial,CONTRA COSTA,R-IND-GEN,Paid,5,5,44792.8,8958.56,218928.37,43785.67,5,0,0,0
2024-01,Industrial,EL DORADO,R-IND-GEN,Paid,1,1,8747.46,8747.46,42906.09,42906.09,1,0,0,0
2024-01,Industrial,FRESNO,R-IND-GEN,Exception,2,2,0.0,,73380.21,73380.21,0,0,0,2
2024-01,Industrial,FRESNO,R-IND-GEN,Paid,7,7,69727.26,9961.04,335168.19,47881.17,7,0,0,0
2024-01,Industrial,HUMBOLDT,R-IND-GEN,Exception,1,1,0.0,,36724.13,36724.13,0,0,0,1
2024-01,Industrial,HUMBOLDT,R-IND-GEN,Generated,1,1,10204.73,10204.73,48978.03,48978.03,0,1,0,0
2024-01,Industrial,KERN,R-IND-GEN,Exception,3,3,0.0,,136128.83,45376.28,0,0,0,3
2024-01,Industrial,KERN,R-IND-GEN,Generated,5,5,43906.1,8781.22,214500.16,42900.03,0,5,0,0
2024-01,Industrial,KERN,R-IND-GEN,Paid,12,12,113406.11,9450.51,546119.21,45509.93,12,0,0,0
2024-01,Industrial,KERN,R-IND-GEN,Past Due,1,1,5478.78,5478.78,29048.75,29048.75,0,0,1,0
2024-01,Industrial,KINGS,R-IND-GEN,Generated,3,3,16344.66,5448.22,85139.57,28379.86,0,3,0,0
2024-01,Industrial,LAKE,R-IND-GEN,Paid,1,1,9350.28,9350.28,45417.84,45417.84,1,0,0,0
2024-01,Industrial,MADERA,R-IND-GEN,Exception,1,1,0.0,,0.0,,0,0,0,1
2024-01,Industrial,MARIN,R-IND-GEN,Exception,1,1,0.0,,0.0,,0,0,0,1
2024-01,Industrial,MARIN,R-IND-GEN,Generated,1,1,11117.16,11117.16,52779.83,52779.83,0,1,0,0
2024-01,Industrial,MERCED,R-IND-GEN,Paid,1,1,9151.21,9151.21,44588.37,44588.37,1,0,0,0
2024-01,Industrial,MONTEREY,R-IND-GEN,Paid,1,1,8561.11,8561.11,42129.61,42129.61,1,0,0,0
2024-01,Industrial,NEVADA,R-IND-GEN,Paid,1,1,5998.85,5998.85,31453.54,31453.54,1,0,0,0
2024-01,Industrial,PLACER,R-IND-GEN,Generated,2,2,22037.72,11018.86,104740.49,52370.25,0,2,0,0
2024-01,Industrial,PLACER,R-IND-GEN,Paid,3,3,29478.87,9826.29,142203.6,47401.2,3,0,0,0
2024-01,Industrial,PLUMAS,R-IND-GEN,Paid,1,1,6573.5,6573.5,33847.92,33847.92,1,0,0,0
2024-01,Industrial,SAN FRANCISCO,R-IND-GEN,Exception,1,1,0.0,,83478.17,83478.17,0,0,0,1
2024-01,Industrial,SAN FRANCISCO,R-IND-GEN,Paid,1,1,7494.81,7494.81,37686.71,37686.71,1,0,0,0
2024-01,Industrial,SAN JOAQUIN,R-IND-GEN,Exception,1,1,0.0,,30708.96,30708.96,0,0,0,1
2024-01,Industrial,SAN JOAQUIN,R-IND-GEN,Paid,3,3,19744.46,6581.49,100414.34,33471.45,3,0,0,0
2024-01,Industrial,SAN JOAQUIN,R-IND-GEN,Past Due,3,3,28707.57,9569.19,138989.83,46329.94,0,0,3,0
2024-01,Industrial,SAN LUIS OBISPO,R-IND-GEN,Paid,3,3,32534.75,10844.92,154936.48,51645.49,3,0,0,0
2024-01,Industrial,SAN MATEO,R-IND-GEN,Paid,4,4,48866.53,12216.63,229443.86,57360.96,4,0,0,0
2024-01,Industrial,SAN MATEO,R-IND-GEN,Past Due,2,2,18012.85,9006.42,87970.21,43985.1,0,0,2,0
2024-01,Industrial,SANTA BARBARA,R-IND-GEN,Generated,1,1,9505.7,9505.7,46065.4,46065.4,0,1,0,0
2024-01,Industrial,SANTA BARBARA,R-IND-GEN,Paid,2,2,12421.11,6210.56,63503.82,31751.91,2,0,0,0
2024-01,Industrial,SANTA BARBARA,R-IND-GEN,Past Due,1,1,15765.11,15765.11,72146.31,72146.31,0,0,1,0
2024-01,Industrial,SANTA CLARA,R-IND-GEN,Exception,2,2,0.0,,57543.87,57543.87,0,0,0,2
2024-01,Industrial,SANTA CLARA,R-IND-GEN,Generated,5,5,53648.5,10729.7,255827.12,51165.42,0,5,0,0
2024-01,Industrial,SANTA CLARA,R-IND-GEN,Paid,9,9,108973.07,12108.12,512066.53,56896.28,9,0,0,0
2024-01,Industrial,SANTA CLARA,R-IND-GEN,Past Due,3,3,46195.72,15398.57,211857.19,70619.06,0,0,3,0
2024-01,Industrial,SHASTA,R-IND-GEN,Paid,2,2,12749.56,6374.78,65837.24,32918.62,2,0,0,0
2024-01,Industrial,SHASTA,R-IND-GEN,Past Due,1,1,5559.44,5559.44,29496.9,29496.9,0,0,1,0
2024-01,Industrial,SOLANO,R-IND-GEN,Exception,1,1,0.0,,0.0,,0,0,0,1
2024-01,Industrial,SOLANO,R-IND-GEN,Generated,1,1,9551.68,9551.68,46257.01,46257.01,0,1,0,0
2024-01,Industrial,SONOMA,R-IND-GEN,Paid,1,1,9615.39,9615.39,46522.44,46522.44,1,0,0,0
2024-01,Industrial,SONOMA,R-IND-GEN,Past Due,1,1,5265.78,5265.78,27865.47,27865.47,0,0,1,0
2024-01,Industrial,YOLO,R-IND-GEN,Paid,3,3,39054.81,13018.27,182103.36,60701.12,3,0,0,0
2024-01,Industrial,YOLO,R-IND-GEN,Past Due,1,1,11816.12,11816.12,55692.16,55692.16,0,0,1,0
2024-01,Mining,ALAMEDA,R-MIN-GEN,Past Due,1,1,2688.17,2688.17,14636.27,14636.27,0,0,1,0
2024-01,Mining,CONTRA COSTA,R-MIN-GEN,Generated,1,1,8538.99,8538.99,43586.32,43586.32,0,1,0,0
2024-01,Mining,CONTRA COSTA,R-MIN-GEN,Paid,1,1,5378.76,5378.76,29221.62,29221.62,1,0,0,0
2024-01,Mining,FRESNO,R-MIN-GEN,Exception,1,1,0.0,,57261.57,57261.57,0,0,0,1
2024-01,Mining,FRESNO,R-MIN-GEN,Paid,2,2,20365.04,10182.52,102113.83,51056.92,2,0,0,0
2024-01,Mining,KERN,R-MIN-GEN,Generated,3,3,22488.04,7496.01,116536.58,38845.53,0,3,0,0
2024-01,Mining,KERN,R-MIN-GEN,Paid,1,1,6089.45,6089.45,32452.05,32452.05,1,0,0,0
2024-01,Mining,NEVADA,R-MIN-GEN,Generated,1,1,11327.12,11327.12,56259.65,56259.65,0,1,0,0
2024-01,Mining,SAN FRANCISCO,R-MIN-GEN,Paid,1,1,12965.4,12965.4,63706.38,63706.38,1,0,0,0
2024-01,Mining,SAN JOAQUIN,R-MIN-GEN,Paid,2,2,19847.95,9923.98,99763.41,49881.71,2,0,0,0
2024-01,Mining,SAN LUIS OBISPO,R-MIN-GEN,Paid,1,1,10693.51,10693.51,53379.59,53379.59,1,0,0,0
2024-01,Mining,SANTA CLARA,R-MIN-GEN,Exception,1,1,0.0,,58095.2,58095.2,0,0,0,1
2024-01,Mining,SANTA CLARA,R-MIN-GEN,Generated,1,1,10442.15,10442.15,52237.06,52237.06,0,1,0,0
