billing_cycle_id,customer_segment,county,exception_type,severity,resolution_status,exception_count,affected_accounts,open_exceptions,in_review_exceptions,resolved_exceptions,high_severity_exceptions,medium_severity_exceptions
2024-01,Commercial,MONTEREY,Missing Meter Read,Medium,Resolved,1,1,0,0,1,0,1
2024-01,Commercial,NEVADA,Inactive Account,High,In Review,1,1,0,1,0,1,0
2024-01,Commercial,PLACER,Inactive Account,High,In Review,1,1,0,1,0,1,0
2024-01,Commercial,PLACER,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-01,Commercial,SAN JOAQUIN,Invalid Meter Read,High,Resolved,1,1,0,0,1,1,0
2024-01,Commercial,SAN JOAQUIN,Missing Meter Read,Medium,Open,1,1,1,0,0,0,1
2024-01,Commercial,SANTA BARBARA,Inactive Account,High,Open,1,1,1,0,0,1,0
2024-01,Commercial,SANTA CLARA,Inactive Account,High,In Review,1,1,0,1,0,1,0
2024-01,Commercial,SANTA CLARA,Inactive Account,High,Open,2,2,2,0,0,2,0
2024-01,Commercial,SANTA CLARA,Inactive Account,High,Resolved,4,4,0,0,4,4,0
2024-01,Commercial,SANTA CLARA,Invalid Meter Read,High,In Review,1,1,0,1,0,1,0
2024-01,Commercial,SANTA CLARA,Missing Meter Read,Medium,Open,1,1,1,0,0,0,1
2024-01,Commercial,SANTA CLARA,Missing Meter Read,Medium,Resolved,2,2,0,0,2,0,2
2024-01,Commercial,SOLANO,Inactive Account,High,In Review,1,1,0,1,0,1,0
2024-01,Commercial,SONOMA,Missing Meter Read,Medium,In Review,1,1,0,1,0,0,1
2024-01,Commercial,SONOMA,Missing Meter Read,Medium,Resolved,1,1,0,0,1,0,1
2024-01,Commercial,TUOLUMNE,Inactive Account,High,Open,1,1,1,0,0,1,0
2024-01,Commercial,YUBA,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-01,Industrial,ALAMEDA,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-01,Industrial,CALAVERAS,Inactive Account,High,In Review,1,1,0,1,0,1,0
2024-01,Industrial,FRESNO,Inactive Account,High,Resolved,2,2,0,0,2,2,0
2024-01,Industrial,HUMBOLDT,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-01,Industrial,KERN,Inactive Account,High,In Review,1,1,0,1,0,1,0
2024-01,Industrial,KERN,Inactive Account,High,Resolved,2,2,0,0,2,2,0
2024-01,Industrial,MADERA,Missing Meter Read,Medium,In Review,1,1,0,1,0,0,1
2024-01,Industrial,MARIN,Missing Meter Read,Medium,Open,1,1,1,0,0,0,1
2024-01,Industrial,SAN FRANCISCO,Inactive Account,High,In Review,1,1,0,1,0,1,0
2024-01,Industrial,SAN JOAQUIN,Inactive Account,High,Open,1,1,1,0,0,1,0
2024-01,Industrial,SANTA CLARA,Inactive Account,High,In Review,1,1,0,1,0,1,0
2024-01,Industrial,SANTA CLARA,Missing Meter Read,Medium,In Review,1,1,0,1,0,0,1
2024-01,Industrial,SOLANO,Inactive Account,High,In Review,1,1,0,1,0,1,0
2024-01,Mining,FRESNO,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-01,Mining,SANTA CLARA,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-01,Residential,ALAMEDA,Inactive Account,High,In Review,4,4,0,4,0,4,0
2024-01,Residential,ALAMEDA,Inactive Account,High,Open,10,10,10,0,0,10,0
2024-01,Residential,ALAMEDA,Inactive Account,High,Resolved,14,14,0,0,14,14,0
2024-01,Residential,ALAMEDA,Invalid Meter Read,High,Resolved,2,2,0,0,2,2,0
2024-01,Residential,ALAMEDA,Missing Meter Read,Medium,In Review,1,1,0,1,0,0,1
2024-01,Residential,ALAMEDA,Missing Meter Read,Medium,Open,3,3,3,0,0,0,3
2024-01,Residential,ALAMEDA,Missing Meter Read,Medium,Resolved,5,5,0,0,5,0,5
2024-01,Residential,AMADOR,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-01,Residential,BUTTE,Inactive Account,High,Open,2,2,2,0,0,2,0
2024-01,Residential,BUTTE,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-01,Residential,BUTTE,Invalid Meter Read,High,Open,1,1,1,0,0,1,0
2024-01,Residential,CALAVERAS,Inactive Account,High,Open,1,1,1,0,0,1,0
2024-01,Residential,COLUSA,Inactive Account,High,Open,1,1,1,0,0,1,0
2024-01,Residential,CONTRA COSTA,Inactive Account,High,In Review,4,4,0,4,0,4,0
2024-01,Residential,CONTRA COSTA,Inactive Account,High,Open,7,7,7,0,0,7,0
2024-01,Residential,CONTRA COSTA,Inactive Account,High,Resolved,17,17,0,0,17,17,0
2024-01,Residential,CONTRA COSTA,Missing Meter Read,Medium,Open,1,1,1,0,0,0,1
2024-01,Residential,CONTRA COSTA,Missing Meter Read,Medium,Resolved,4,4,0,0,4,0,4
2024-01,Residential,EL DORADO,Inactive Account,High,Resolved,3,3,0,0,3,3,0
2024-01,Residential,EL DORADO,Missing Meter Read,Medium,Resolved,2,2,0,0,2,0,2
2024-01,Residential,FRESNO,Inactive Account,High,In Review,1,1,0,1,0,1,0
2024-01,Residential,FRESNO,Inactive Account,High,Open,1,1,1,0,0,1,0
2024-01,Residential,FRESNO,Inactive Account,High,Resolved,10,10,0,0,10,10,0
2024-01,Residential,FRESNO,Invalid Meter Read,High,Open,1,1,1,0,0,1,0
2024-01,Residential,GLENN,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-01,Residential,GLENN,Missing Meter Read,Medium,Resolved,1,1,0,0,1,0,1
2024-01,Residential,KERN,Inactive Account,High,In Review,4,4,0,4,0,4,0
2024-01,Residential,KERN,Inactive Account,High,Open,12,12,12,0,0,12,0
2024-01,Residential,KERN,Inactive Account,High,Resolved,19,19,0,0,19,19,0
2024-01,Residential,KERN,Invalid Meter Read,High,In Review,2,2,0,2,0,2,0
2024-01,Residential,KERN,Invalid Meter Read,High,Open,2,2,2,0,0,2,0
2024-01,Residential,KERN,Invalid Meter Read,High,Resolved,4,4,0,0,4,4,0
2024-01,Residential,KERN,Missing Meter Read,Medium,Open,4,4,4,0,0,0,4
2024-01,Residential,KERN,Missing Meter Read,Medium,Resolved,7,7,0,0,7,0,7
2024-01,Residential,KINGS,Inactive Account,High,Open,1,1,1,0,0,1,0
2024-01,Residential,KINGS,Inactive Account,High,Resolved,4,4,0,0,4,4,0
2024-01,Residential,KINGS,Invalid Meter Read,High,Open,1,1,1,0,0,1,0
2024-01,Residential,KINGS,Invalid Meter Read,High,Resolved,1,1,0,0,1,1,0
2024-01,Residential,KINGS,Missing Meter Read,Medium,Resolved,1,1,0,0,1,0,1
2024-01,Residential,LAKE,Inactive Account,High,Resolved,2,2,0,0,2,2,0
2024-01,Residential,LAKE,Invalid Meter Read,High,Open,1,1,1,0,0,1,0
2024-01,Residential,MADERA,Inactive Account,High,Open,1,1,1,0,0,1,0
2024-01,Residential,MADERA,Inactive Account,High,Resolved,3,3,0,0,3,3,0
2024-01,Residential,MARIN,Inactive Account,High,In Review,1,1,0,1,0,1,0
2024-01,Residential,MARIN,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-01,Residential,MARIN,Missing Meter Read,Medium,Open,2,2,2,0,0,0,2
2024-01,Residential,MENDOCINO,Inactive Account,High,In Review,1,1,0,1,0,1,0
2024-01,Residential,MENDOCINO,Inactive Account,High,Open,1,1,1,0,0,1,0
2024-01,Residential,MENDOCINO,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-01,Residential,MERCED,Inactive Account,High,In Review,1,1,0,1,0,1,0
2024-01,Residential,MERCED,Inactive Account,High,Resolved,6,6,0,0,6,6,0
2024-01,Residential,MERCED,Missing Meter Read,Medium,In Review,1,1,0,1,0,0,1
2024-01,Residential,MERCED,Missing Meter Read,Medium,Resolved,3,3,0,0,3,0,3
2024-01,Residential,MONTEREY,Inactive Account,High,In Review,3,3,0,3,0,3,0
2024-01,Residential,MONTEREY,Inactive Account,High,Open,2,2,2,0,0,2,0
2024-01,Residential,MONTEREY,Inactive Account,High,Resolved,3,3,0,0,3,3,0
2024-01,Residential,MONTEREY,Invalid Meter Read,High,Resolved,1,1,0,0,1,1,0
2024-01,Residential,MONTEREY,Missing Meter Read,Medium,Resolved,1,1,0,0,1,0,1
2024-01,Residential,NAPA,Inactive Account,High,In Review,2,2,0,2,0,2,0
2024-01,Residential,NAPA,Inactive Account,High,Resolved,2,2,0,0,2,2,0
2024-01,Residential,NEVADA,Inactive Account,High,Open,2,2,2,0,0,2,0
2024-01,Residential,NEVADA,Missing Meter Read,Medium,Resolved,1,1,0,0,1,0,1
2024-01,Residential,PLACER,Inactive Account,High,Open,7,7,7,0,0,7,0
2024-01,Residential,PLACER,Inactive Account,High,Resolved,8,8,0,0,8,8,0
2024-01,Residential,PLACER,Invalid Meter Read,High,Open,1,1,1,0,0,1,0
2024-01,Residential,PLACER,Missing Meter Read,Medium,In Review,1,1,0,1,0,0,1
2024-01,Residential,PLACER,Missing Meter Read,Medium,Resolved,1,1,0,0,1,0,1
2024-01,Residential,SAN FRANCISCO,Inactive Account,High,Open,2,2,2,0,0,2,0
2024-01,Residential,SAN FRANCISCO,Inactive Account,High,Resolved,7,7,0,0,7,7,0
2024-01,Residential,SAN FRANCISCO,Invalid Meter Read,High,Open,1,1,1,0,0,1,0
2024-01,Residential,SAN FRANCISCO,Missing Meter Read,Medium,Open,2,2,2,0,0,0,2
2024-01,Residential,SAN FRANCISCO,Missing Meter Read,Medium,Resolved,2,2,0,0,2,0,2
2024-01,Residential,SAN JOAQUIN,Inactive Account,High,In Review,4,4,0,4,0,4,0
2024-01,Residential,SAN JOAQUIN,Inactive Account,High,Open,1,1,1,0,0,1,0
2024-01,Residential,SAN JOAQUIN,Inactive Account,High,Resolved,8,8,0,0,8,8,0
2024-01,Residential,SAN JOAQUIN,Invalid Meter Read,High,Open,1,1,1,0,0,1,0
2024-01,Residential,SAN JOAQUIN,Missing Meter Read,Medium,Open,2,2,2,0,0,0,2
2024-01,Residential,SAN JOAQUIN,Missing Meter Read,Medium,Resolved,1,1,0,0,1,0,1
2024-01,Residential,SAN LUIS OBISPO,Inactive Account,High,Open,1,1,1,0,0,1,0
2024-01,Residential,SAN LUIS OBISPO,Inactive Account,High,Resolved,2,2,0,0,2,2,0
2024-01,Residential,SAN LUIS OBISPO,Invalid Meter Read,High,Resolved,1,1,0,0,1,1,0
2024-01,Residential,SAN LUIS OBISPO,Missing Meter Read,Medium,Resolved,1,1,0,0,1,0,1
2024-01,Residential,SAN MATEO,Inactive Account,High,Open,7,7,7,0,0,7,0
2024-01,Residential,SAN MATEO,Inactive Account,High,Resolved,6,6,0,0,6,6,0
2024-01,Residential,SAN MATEO,Missing Meter Read,Medium,Open,2,2,2,0,0,0,2
2024-01,Residential,SAN MATEO,Missing Meter Read,Medium,Resolved,3,3,0,0,3,0,3
2024-01,Residential,SANTA BARBARA,Inactive Account,High,Open,2,2,2,0,0,2,0
2024-01,Residential,SANTA BARBARA,Inactive Account,High,Resolved,3,3,0,0,3,3,0
2024-01,Residential,SANTA BARBARA,Missing Meter Read,Medium,Resolved,1,1,0,0,1,0,1
2024-01,Residential,SANTA CLARA,Inactive Account,High,In Review,4,4,0,4,0,4,0
2024-01,Residential,SANTA CLARA,Inactive Account,High,Open,14,14,14,0,0,14,0
2024-01,Residential,SANTA CLARA,Inactive Account,High,Resolved,18,18,0,0,18,18,0
2024-01,Residential,SANTA CLARA,Invalid Meter Read,High,In Review,1,1,0,1,0,1,0
2024-01,Residential,SANTA CLARA,Invalid Meter Read,High,Resolved,5,5,0,0,5,5,0
2024-01,Residential,SANTA CLARA,Missing Meter Read,Medium,In Review,1,1,0,1,0,0,1
2024-01,Residential,SANTA CLARA,Missing Meter Read,Medium,Open,3,3,3,0,0,0,3
2024-01,Residential,SANTA CLARA,Missing Meter Read,Medium,Resolved,8,8,0,0,8,0,8
2024-01,Residential,SANTA CRUZ,Inactive Account,High,In Review,1,1,0,1,0,1,0
2024-01,Residential,SANTA CRUZ,Inactive Account,High,Open,1,1,1,0,0,1,0
2024-01,Residential,SANTA CRUZ,Missing Meter Read,Medium,Resolved,2,2,0,0,2,0,2
2024-01,Residential,SHASTA,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-01,Residential,SHASTA,Invalid Meter Read,High,Resolved,1,1,0,0,1,1,0
2024-01,Residential,SHASTA,Missing Meter Read,Medium,Open,1,1,1,0,0,0,1
2024-01,Residential,SOLANO,Inactive Account,High,In Review,1,1,0,1,0,1,0
2024-01,Residential,SOLANO,Inactive Account,High,Open,1,1,1,0,0,1,0
2024-01,Residential,SOLANO,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-01,Residential,SOLANO,Missing Meter Read,Medium,In Review,1,1,0,1,0,0,1
2024-01,Residential,SOLANO,Missing Meter Read,Medium,Open,2,2,2,0,0,0,2
2024-01,Residential,SOLANO,Missing Meter Read,Medium,Resolved,2,2,0,0,2,0,2
2024-01,Residential,SONOMA,Inactive Account,High,Open,2,2,2,0,0,2,0
2024-01,Residential,SONOMA,Inactive Account,High,Resolved,4,4,0,0,4,4,0
2024-01,Residential,SUTTER,Inactive Account,High,Resolved,3,3,0,0,3,3,0
2024-01,Residential,TUOLUMNE,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-01,Residential,YOLO,Inactive Account,High,Open,2,2,2,0,0,2,0
2024-01,Residential,YOLO,Inactive Account,High,Resolved,2,2,0,0,2,2,0
2024-01,Residential,YUBA,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-01,Streetlighting,FRESNO,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-01,Streetlighting,SAN JOAQUIN,Inactive Account,High,Open,1,1,1,0,0,1,0
2024-01,"Transportation, Communications, & Utilities",SAN MATEO,Inactive Account,High,Open,1,1,1,0,0,1,0
2024-01,"Transportation, Communications, & Utilities",SANTA CLARA,Inactive Account,High,Resolved,2,2,0,0,2,2,0
2024-02,Agriculture And Water Pumping,ALAMEDA,Inactive Account,High,Open,2,2,2,0,0,2,0
2024-02,Agriculture And Water Pumping,ALAMEDA,Missing Meter Read,Medium,Resolved,1,1,0,0,1,0,1
2024-02,Agriculture And Water Pumping,CONTRA COSTA,Inactive Account,High,Open,1,1,1,0,0,1,0
2024-02,Agriculture And Water Pumping,KERN,Inactive Account,High,Open,1,1,1,0,0,1,0
2024-02,Agriculture And Water Pumping,KERN,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-02,Agriculture And Water Pumping,KINGS,Inactive Account,High,Open,1,1,1,0,0,1,0
2024-02,Agriculture And Water Pumping,SAN JOAQUIN,Invalid Meter Read,High,Open,1,1,1,0,0,1,0
2024-02,Agriculture And Water Pumping,SANTA CLARA,Missing Meter Read,Medium,Resolved,1,1,0,0,1,0,1
2024-02,Commercial,ALAMEDA,Inactive Account,High,In Review,1,1,0,1,0,1,0
2024-02,Commercial,ALAMEDA,Inactive Account,High,Resolved,4,4,0,0,4,4,0
2024-02,Commercial,ALAMEDA,Invalid Meter Read,High,Open,1,1,1,0,0,1,0
2024-02,Commercial,CONTRA COSTA,Inactive Account,High,Open,2,2,2,0,0,2,0
2024-02,Commercial,FRESNO,Missing Meter Read,Medium,Open,1,1,1,0,0,0,1
2024-02,Commercial,GLENN,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-02,Commercial,GLENN,Missing Meter Read,Medium,Resolved,1,1,0,0,1,0,1
2024-02,Commercial,HUMBOLDT,Inactive Account,High,In Review,1,1,0,1,0,1,0
2024-02,Commercial,KERN,Inactive Account,High,Open,2,2,2,0,0,2,0
2024-02,Commercial,KERN,Missing Meter Read,Medium,Open,1,1,1,0,0,0,1
2024-02,Commercial,KERN,Missing Meter Read,Medium,Resolved,5,5,0,0,5,0,5
2024-02,Commercial,MADERA,Inactive Account,High,Resolved,2,2,0,0,2,2,0
2024-02,Commercial,MERCED,Inactive Account,High,Open,1,1,1,0,0,1,0
2024-02,Commercial,MERCED,Invalid Meter Read,High,Resolved,1,1,0,0,1,1,0
2024-02,Commercial,MERCED,Missing Meter Read,Medium,Resolved,1,1,0,0,1,0,1
2024-02,Commercial,NAPA,Invalid Meter Read,High,Resolved,1,1,0,0,1,1,0
2024-02,Commercial,NEVADA,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-02,Commercial,PLACER,Inactive Account,High,Resolved,2,2,0,0,2,2,0
2024-02,Commercial,SAN JOAQUIN,Missing Meter Read,Medium,Open,1,1,1,0,0,0,1
2024-02,Commercial,SANTA BARBARA,Inactive Account,High,Open,1,1,1,0,0,1,0
2024-02,Commercial,SANTA CLARA,Inactive Account,High,In Review,1,1,0,1,0,1,0
2024-02,Commercial,SANTA CLARA,Inactive Account,High,Open,2,2,2,0,0,2,0
2024-02,Commercial,SANTA CLARA,Inactive Account,High,Resolved,4,4,0,0,4,4,0
2024-02,Commercial,SANTA CLARA,Invalid Meter Read,High,In Review,2,2,0,2,0,2,0
2024-02,Commercial,SANTA CLARA,Invalid Meter Read,High,Open,2,2,2,0,0,2,0
2024-02,Commercial,SANTA CLARA,Invalid Meter Read,High,Resolved,2,2,0,0,2,2,0
2024-02,Commercial,SANTA CLARA,Missing Meter Read,Medium,Open,1,1,1,0,0,0,1
2024-02,Commercial,SOLANO,Inactive Account,High,Open,1,1,1,0,0,1,0
2024-02,Commercial,TUOLUMNE,Inactive Account,High,In Review,1,1,0,1,0,1,0
2024-02,Commercial,YOLO,Missing Meter Read,Medium,Resolved,1,1,0,0,1,0,1
2024-02,Commercial,YUBA,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-02,Industrial,ALAMEDA,Inactive Account,High,In Review,1,1,0,1,0,1,0
2024-02,Industrial,CALAVERAS,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-02,Industrial,FRESNO,Inactive Account,High,Open,2,2,2,0,0,2,0
2024-02,Industrial,HUMBOLDT,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-02,Industrial,KERN,Inactive Account,High,Open,1,1,1,0,0,1,0
2024-02,Industrial,KERN,Inactive Account,High,Resolved,2,2,0,0,2,2,0
2024-02,Industrial,SAN FRANCISCO,Inactive Account,High,In Review,1,1,0,1,0,1,0
2024-02,Industrial,SAN JOAQUIN,Inactive Account,High,Open,1,1,1,0,0,1,0
2024-02,Industrial,SANTA CLARA,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-02,Industrial,SANTA CLARA,Missing Meter Read,Medium,Resolved,1,1,0,0,1,0,1
2024-02,Industrial,SOLANO,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-02,Industrial,YOLO,Invalid Meter Read,High,In Review,1,1,0,1,0,1,0
2024-02,Mining,FRESNO,Inactive Account,High,In Review,1,1,0,1,0,1,0
2024-02,Mining,KERN,Invalid Meter Read,High,Open,1,1,1,0,0,1,0
2024-02,Mining,SANTA CLARA,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-02,Residential,ALAMEDA,Inactive Account,High,In Review,1,1,0,1,0,1,0
2024-02,Residential,ALAMEDA,Inactive Account,High,Open,10,10,10,0,0,10,0
2024-02,Residential,ALAMEDA,Inactive Account,High,Resolved,17,17,0,0,17,17,0
2024-02,Residential,ALAMEDA,Invalid Meter Read,High,Open,1,1,1,0,0,1,0
2024-02,Residential,ALAMEDA,Invalid Meter Read,High,Resolved,3,3,0,0,3,3,0
2024-02,Residential,ALAMEDA,Missing Meter Read,Medium,Resolved,3,3,0,0,3,0,3
2024-02,Residential,AMADOR,Inactive Account,High,Open,1,1,1,0,0,1,0
2024-02,Residential,BUTTE,Inactive Account,High,Resolved,3,3,0,0,3,3,0
2024-02,Residential,BUTTE,Missing Meter Read,Medium,In Review,1,1,0,1,0,0,1
2024-02,Residential,BUTTE,Missing Meter Read,Medium,Open,1,1,1,0,0,0,1
2024-02,Residential,CALAVERAS,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-02,Residential,COLUSA,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-02,Residential,CONTRA COSTA,Inactive Account,High,In Review,8,8,0,8,0,8,0
2024-02,Residential,CONTRA COSTA,Inactive Account,High,Open,6,6,6,0,0,6,0
2024-02,Residential,CONTRA COSTA,Inactive Account,High,Resolved,14,14,0,0,14,14,0
2024-02,Residential,CONTRA COSTA,Missing Meter Read,Medium,In Review,1,1,0,1,0,0,1
2024-02,Residential,CONTRA COSTA,Missing Meter Read,Medium,Open,3,3,3,0,0,0,3
2024-02,Residential,CONTRA COSTA,Missing Meter Read,Medium,Resolved,3,3,0,0,3,0,3
2024-02,Residential,EL DORADO,Inactive Account,High,Open,2,2,2,0,0,2,0
2024-02,Residential,EL DORADO,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-02,Residential,FRESNO,Inactive Account,High,In Review,4,4,0,4,0,4,0
2024-02,Residential,FRESNO,Inactive Account,High,Open,5,5,5,0,0,5,0
2024-02,Residential,FRESNO,Inactive Account,High,Resolved,3,3,0,0,3,3,0
2024-02,Residential,FRESNO,Invalid Meter Read,High,Resolved,2,2,0,0,2,2,0
2024-02,Residential,FRESNO,Missing Meter Read,Medium,Open,1,1,1,0,0,0,1
2024-02,Residential,FRESNO,Missing Meter Read,Medium,Resolved,2,2,0,0,2,0,2
2024-02,Residential,GLENN,Inactive Account,High,In Review,1,1,0,1,0,1,0
2024-02,Residential,HUMBOLDT,Missing Meter Read,Medium,Open,1,1,1,0,0,0,1
2024-02,Residential,HUMBOLDT,Missing Meter Read,Medium,Resolved,1,1,0,0,1,0,1
2024-02,Residential,KERN,Inactive Account,High,In Review,10,10,0,10,0,10,0
2024-02,Residential,KERN,Inactive Account,High,Open,7,7,7,0,0,7,0
2024-02,Residential,KERN,Inactive Account,High,Resolved,18,18,0,0,18,18,0
2024-02,Residential,KERN,Invalid Meter Read,High,In Review,2,2,0,2,0,2,0
2024-02,Residential,KERN,Invalid Meter Read,High,Open,1,1,1,0,0,1,0
2024-02,Residential,KERN,Invalid Meter Read,High,Resolved,5,5,0,0,5,5,0
2024-02,Residential,KERN,Missing Meter Read,Medium,In Review,1,1,0,1,0,0,1
2024-02,Residential,KERN,Missing Meter Read,Medium,Open,5,5,5,0,0,0,5
2024-02,Residential,KERN,Missing Meter Read,Medium,Resolved,8,8,0,0,8,0,8
2024-02,Residential,KINGS,Inactive Account,High,Open,1,1,1,0,0,1,0
2024-02,Residential,KINGS,Inactive Account,High,Resolved,4,4,0,0,4,4,0
2024-02,Residential,KINGS,Missing Meter Read,Medium,Open,2,2,2,0,0,0,2
2024-02,Residential,LAKE,Inactive Account,High,Open,1,1,1,0,0,1,0
2024-02,Residential,LAKE,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-02,Residential,LAKE,Missing Meter Read,Medium,Resolved,1,1,0,0,1,0,1
2024-02,Residential,MADERA,Inactive Account,High,Open,2,2,2,0,0,2,0
2024-02,Residential,MADERA,Inactive Account,High,Resolved,2,2,0,0,2,2,0
2024-02,Residential,MADERA,Missing Meter Read,Medium,Resolved,1,1,0,0,1,0,1
2024-02,Residential,MARIN,Inactive Account,High,Open,1,1,1,0,0,1,0
2024-02,Residential,MARIN,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-02,Residential,MARIN,Invalid Meter Read,High,Resolved,1,1,0,0,1,1,0
2024-02,Residential,MARIN,Missing Meter Read,Medium,Open,1,1,1,0,0,0,1
2024-02,Residential,MENDOCINO,Inactive Account,High,Open,3,3,3,0,0,3,0
2024-02,Residential,MERCED,Inactive Account,High,In Review,1,1,0,1,0,1,0
2024-02,Residential,MERCED,Inactive Account,High,Open,2,2,2,0,0,2,0
2024-02,Residential,MERCED,Inactive Account,High,Resolved,4,4,0,0,4,4,0
2024-02,Residential,MERCED,Invalid Meter Read,High,Open,1,1,1,0,0,1,0
2024-02,Residential,MERCED,Missing Meter Read,Medium,Open,1,1,1,0,0,0,1
2024-02,Residential,MERCED,Missing Meter Read,Medium,Resolved,2,2,0,0,2,0,2
2024-02,Residential,MONTEREY,Inactive Account,High,In Review,2,2,0,2,0,2,0
2024-02,Residential,MONTEREY,Inactive Account,High,Open,2,2,2,0,0,2,0
2024-02,Residential,MONTEREY,Inactive Account,High,Resolved,4,4,0,0,4,4,0
2024-02,Residential,MONTEREY,Missing Meter Read,Medium,Open,1,1,1,0,0,0,1
2024-02,Residential,MONTEREY,Missing Meter Read,Medium,Resolved,2,2,0,0,2,0,2
2024-02,Residential,NAPA,Inactive Account,High,In Review,1,1,0,1,0,1,0
2024-02,Residential,NAPA,Inactive Account,High,Resolved,3,3,0,0,3,3,0
2024-02,Residential,NAPA,Missing Meter Read,Medium,In Review,1,1,0,1,0,0,1
