account_id,customer_id,premise_id,customer_segment,county,account_status,rate_plan_id,meter_id,meter_type,meter_status,total_meter_reads,missing_meter_reads,invalid_meter_reads,total_bills,exception_bills,past_due_bills,total_billing_exceptions,open_billing_exceptions,in_review_billing_exceptions,total_service_requests,open_service_requests,in_progress_service_requests,readiness_flag,readiness_status
ACCT000011,CUST000011,PREM000011,Residential,SANTA CLARA,Active,R-RES-TOU,MTR000011,Smart Meter,Active,12,1,0,12,1,2,1,0,0,0,0,0,0,Missing Meter Reads
ACCT000012,CUST000012,PREM000012,Agriculture And Water Pumping,FRESNO,Active,R-AGR-PUMP,MTR000012,Smart Meter,Active,12,1,0,12,1,2,1,1,0,0,0,0,0,Missing Meter Reads
ACCT000013,CUST000013,PREM000013,Commercial,PLACER,Active,R-COM-GEN,MTR000013,Smart Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000014,CUST000014,PREM000014,Residential,SANTA BARBARA,Active,R-RES-TOU,MTR000014,Smart Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000015,CUST000015,PREM000015,Residential,SANTA CLARA,Active,R-RES-TOU,MTR000015,Smart Meter,Active,12,0,1,12,1,0,1,0,1,0,0,0,0,Invalid Meter Reads
ACCT000016,CUST000016,PREM000016,Residential,SANTA CLARA,Active,R-RES-TOU,MTR000016,Legacy Meter,Active,12,0,1,12,1,1,1,0,0,1,0,0,0,Invalid Meter Reads
ACCT000017,CUST000017,PREM000017,Residential,CONTRA COSTA,Active,R-RES-TOU,MTR000017,Smart Meter,Active,12,0,0,12,0,3,0,0,0,1,0,0,1,Ready
ACCT000018,CUST000018,PREM000018,Residential,ALAMEDA,Active,R-RES-TOU,MTR000018,Smart Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
ACCT000019,CUST000019,PREM000019,Residential,SAN FRANCISCO,Active,R-RES-TOU,MTR000019,Smart Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
ACCT000020,CUST000020,PREM000020,Residential,BUTTE,Active,R-RES-TOU,MTR000020,Smart Meter,Active,12,1,1,12,2,1,2,1,0,1,0,0,0,Missing Meter Reads
ACCT000021,CUST000021,PREM000021,Residential,FRESNO,Active,R-RES-TOU,MTR000021,Smart Meter,Active,12,0,1,12,1,0,1,0,0,1,0,1,0,Invalid Meter Reads
ACCT000022,CUST000022,PREM000022,Residential,KERN,Active,R-RES-TOU,MTR000022,Smart Meter,Active,12,2,0,12,2,3,2,2,0,1,0,0,0,Missing Meter Reads
ACCT000023,CUST000023,PREM000023,Residential,NAPA,Active,R-RES-TOU,MTR000023,Smart Meter,Active,12,0,0,12,0,2,0,0,0,0,0,0,1,Ready
ACCT000024,CUST000024,PREM000024,Residential,FRESNO,Active,R-RES-TOU,MTR000024,Smart Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000025,CUST000025,PREM000025,Residential,MENDOCINO,Active,R-RES-TOU,MTR000025,Smart Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000026,CUST000026,PREM000026,Residential,PLACER,Active,R-RES-TOU,MTR000026,Smart Meter,Active,12,0,0,12,0,2,0,0,0,0,0,0,1,Ready
ACCT000027,CUST000027,PREM000027,Residential,ALAMEDA,Active,R-RES-TOU,MTR000027,Smart Meter,Active,12,0,0,12,0,2,0,0,0,0,0,0,1,Ready
ACCT000028,CUST000028,PREM000028,Residential,CONTRA COSTA,Active,R-RES-TOU,MTR000028,Smart Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
ACCT000029,CUST000029,PREM000029,Residential,SOLANO,Active,R-RES-TOU,MTR000029,Smart Meter,Active,12,0,0,12,0,0,0,0,0,1,1,0,0,Open Service Requests
ACCT000030,CUST000030,PREM000030,Residential,SANTA CLARA,Active,R-RES-TOU,MTR000030,Smart Meter,Active,12,1,0,12,1,0,1,0,0,0,0,0,0,Missing Meter Reads
ACCT000031,CUST000031,PREM000031,Residential,ALAMEDA,Active,R-RES-TOU,MTR000031,Legacy Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
ACCT000032,CUST000032,PREM000032,Residential,PLACER,Pending Close,R-RES-TOU,MTR000032,Smart Meter,Inactive,12,0,1,12,12,0,12,5,1,7,1,2,0,Inactive Account
ACCT000033,CUST000033,PREM000033,Residential,SAN FRANCISCO,Active,R-RES-TOU,MTR000033,Smart Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
ACCT000034,CUST000034,PREM000034,Industrial,SAN LUIS OBISPO,Active,R-IND-GEN,MTR000034,Smart Meter,Active,12,0,0,12,0,3,0,0,0,0,0,0,1,Ready
ACCT000035,CUST000035,PREM000035,Agriculture And Water Pumping,SANTA CLARA,Active,R-AGR-PUMP,MTR000035,Smart Meter,Active,12,1,0,12,1,0,1,0,1,1,0,1,0,Missing Meter Reads
ACCT000036,CUST000036,PREM000036,Commercial,MARIN,Active,R-COM-GEN,MTR000036,Smart Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000037,CUST000037,PREM000037,Residential,EL DORADO,Active,R-RES-TOU,MTR000037,Smart Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
ACCT000038,CUST000038,PREM000038,Residential,KINGS,Active,R-RES-TOU,MTR000038,Smart Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000039,CUST000039,PREM000039,Residential,SOLANO,Active,R-RES-TOU,MTR000039,Smart Meter,Active,12,1,0,12,1,3,1,0,0,1,0,0,0,Missing Meter Reads
ACCT000040,CUST000040,PREM000040,Residential,YOLO,Active,R-RES-TOU,MTR000040,Smart Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
ACCT000041,CUST000041,PREM000041,Residential,MADERA,Active,R-RES-TOU,MTR000041,Smart Meter,Active,12,0,0,12,0,2,0,0,0,0,0,0,1,Ready
ACCT000042,CUST000042,PREM000042,Residential,NEVADA,Active,R-RES-TOU,MTR000042,Smart Meter,Active,12,1,0,12,1,0,1,0,0,2,1,0,0,Missing Meter Reads
ACCT000043,CUST000043,PREM000043,Residential,SANTA CLARA,Active,R-RES-TOU,MTR000043,Smart Meter,Active,12,1,1,12,2,2,2,0,0,0,0,0,0,Missing Meter Reads
ACCT000044,CUST000044,PREM000044,Commercial,FRESNO,Active,R-COM-GEN,MTR000044,Smart Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000045,CUST000045,PREM000045,Residential,SANTA CRUZ,Active,R-RES-TOU,MTR000045,Smart Meter,Active,12,1,0,12,1,1,1,0,0,0,0,0,0,Missing Meter Reads
ACCT000046,CUST000046,PREM000046,Residential,SAN LUIS OBISPO,Active,R-RES-TOU,MTR000046,Legacy Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
ACCT000047,CUST000047,PREM000047,Residential,KERN,Active,R-RES-TOU,MTR000047,Smart Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000048,CUST000048,PREM000048,Residential,PLACER,Active,R-RES-TOU,MTR000048,Smart Meter,Active,12,1,0,12,1,1,1,0,0,1,0,0,0,Missing Meter Reads
ACCT000049,CUST000049,PREM000049,Residential,SAN MATEO,Active,R-RES-TOU,MTR000049,Smart Meter,Active,12,1,0,12,1,2,1,0,0,0,0,0,0,Missing Meter Reads
ACCT000050,CUST000050,PREM000050,Residential,PLACER,Pending Close,R-RES-TOU,MTR000050,Smart Meter,Removed,12,0,0,12,12,0,12,6,0,5,0,2,0,Inactive Account
ACCT000051,CUST000051,PREM000051,Agriculture And Water Pumping,SANTA CLARA,Active,R-AGR-PUMP,MTR000051,Smart Meter,Active,12,0,0,12,0,2,0,0,0,0,0,0,1,Ready
ACCT000052,CUST000052,PREM000052,Residential,SAN JOAQUIN,Active,R-RES-TOU,MTR000052,Smart Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
ACCT000053,CUST000053,PREM000053,Industrial,SANTA CLARA,Active,R-IND-GEN,MTR000053,Smart Meter,Active,12,0,0,12,0,0,0,0,0,1,1,0,0,Open Service Requests
ACCT000054,CUST000054,PREM000054,Commercial,SANTA CLARA,Active,R-COM-GEN,MTR000054,Smart Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
ACCT000055,CUST000055,PREM000055,Residential,KERN,Active,R-RES-TOU,MTR000055,Smart Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
ACCT000056,CUST000056,PREM000056,Commercial,FRESNO,Active,R-COM-GEN,MTR000056,Smart Meter,Active,12,0,0,12,0,2,0,0,0,0,0,0,1,Ready
ACCT000057,CUST000057,PREM000057,Residential,KERN,Active,R-RES-TOU,MTR000057,Legacy Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000058,CUST000058,PREM000058,Residential,ALAMEDA,Active,R-RES-TOU,MTR000058,Smart Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000059,CUST000059,PREM000059,Residential,SAN FRANCISCO,Active,R-RES-TOU,MTR000059,Smart Meter,Active,12,0,0,12,0,2,0,0,0,0,0,0,1,Ready
ACCT000060,CUST000060,PREM000060,Residential,SAN MATEO,Active,R-RES-TOU,MTR000060,Smart Meter,Active,12,1,0,12,1,1,1,0,0,1,0,0,0,Missing Meter Reads
ACCT000061,CUST000061,PREM000061,Residential,TUOLUMNE,Active,R-RES-TOU,MTR000061,Smart Meter,Active,12,1,0,12,1,0,1,1,0,1,0,0,0,Missing Meter Reads
ACCT000062,CUST000062,PREM000062,Residential,YOLO,Active,R-RES-TOU,MTR000062,Smart Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
ACCT000063,CUST000063,PREM000063,Commercial,KERN,Active,R-COM-GEN,MTR000063,Legacy Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
ACCT000064,CUST000064,PREM000064,Residential,ALAMEDA,Active,R-RES-TOU,MTR000064,Smart Meter,Active,12,0,0,12,0,2,0,0,0,1,0,0,1,Ready
ACCT000065,CUST000065,PREM000065,Residential,SOLANO,Active,R-RES-TOU,MTR000065,Smart Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000066,CUST000066,PREM000066,Residential,CONTRA COSTA,Active,R-RES-TOU,MTR000066,Legacy Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
ACCT000067,CUST000067,PREM000067,Residential,KERN,Active,R-RES-TOU,MTR000067,Smart Meter,Active,12,1,1,12,2,1,2,1,0,0,0,0,0,Missing Meter Reads
ACCT000068,CUST000068,PREM000068,Commercial,SAN MATEO,Active,R-COM-GEN,MTR000068,Smart Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000069,CUST000069,PREM000069,Residential,YOLO,Active,R-RES-TOU,MTR000069,Smart Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
ACCT000070,CUST000070,PREM000070,"Transportation, Communications, & Utilities",CONTRA COSTA,Active,R-TCU-GEN,MTR000070,Smart Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
ACCT000071,CUST000071,PREM000071,Residential,SAN FRANCISCO,Active,R-RES-TOU,MTR000071,Smart Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
ACCT000072,CUST000072,PREM000072,Residential,SOLANO,Active,R-RES-TOU,MTR000072,Smart Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000073,CUST000073,PREM000073,Residential,KERN,Active,R-RES-TOU,MTR000073,Smart Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000074,CUST000074,PREM000074,Commercial,SANTA CLARA,Active,R-COM-GEN,MTR000074,Smart Meter,Active,12,1,0,12,1,3,1,0,1,0,0,0,0,Missing Meter Reads
ACCT000075,CUST000075,PREM000075,Residential,KINGS,Pending Close,R-RES-TOU,MTR000075,Smart Meter,Inactive,12,1,0,12,12,0,12,4,2,8,1,1,0,Inactive Account
ACCT000076,CUST000076,PREM000076,Residential,PLACER,Active,R-RES-TOU,MTR000076,Smart Meter,Active,12,1,0,12,1,2,1,0,0,1,0,0,0,Missing Meter Reads
ACCT000077,CUST000077,PREM000077,Residential,EL DORADO,Active,R-RES-TOU,MTR000077,Smart Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000078,CUST000078,PREM000078,Residential,ALAMEDA,Active,R-RES-TOU,MTR000078,Smart Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
ACCT000079,CUST000079,PREM000079,Residential,KERN,Active,R-RES-TOU,MTR000079,Smart Meter,Active,12,0,1,12,1,3,1,0,1,1,0,0,0,Invalid Meter Reads
ACCT000080,CUST000080,PREM000080,Residential,KERN,Inactive,R-RES-TOU,MTR000080,Smart Meter,Removed,12,0,0,12,12,0,12,3,7,7,1,0,0,Inactive Account
ACCT000081,CUST000081,PREM000081,Commercial,GLENN,Active,R-COM-GEN,MTR000081,Smart Meter,Active,12,0,0,12,0,2,0,0,0,0,0,0,1,Ready
ACCT000082,CUST000082,PREM000082,Residential,SANTA CLARA,Active,R-RES-TOU,MTR000082,Smart Meter,Active,12,1,0,12,1,3,1,0,0,1,0,0,0,Missing Meter Reads
ACCT000083,CUST000083,PREM000083,Residential,SAN JOAQUIN,Active,R-RES-TOU,MTR000083,Smart Meter,Active,12,1,0,12,1,1,1,1,0,0,0,0,0,Missing Meter Reads
ACCT000084,CUST000084,PREM000084,Residential,ALAMEDA,Active,R-RES-TOU,MTR000084,Smart Meter,Active,12,1,0,12,1,1,1,1,0,1,0,0,0,Missing Meter Reads
ACCT000085,CUST000085,PREM000085,Residential,SANTA CLARA,Active,R-RES-TOU,MTR000085,Smart Meter,Active,12,0,1,12,1,1,1,1,0,0,0,0,0,Invalid Meter Reads
ACCT000086,CUST000086,PREM000086,Residential,KERN,Active,R-RES-TOU,MTR000086,Legacy Meter,Active,12,1,0,12,1,1,1,1,0,0,0,0,0,Missing Meter Reads
ACCT000087,CUST000087,PREM000087,Residential,MERCED,Active,R-RES-TOU,MTR000087,Smart Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000088,CUST000088,PREM000088,Residential,CONTRA COSTA,Active,R-RES-TOU,MTR000088,Smart Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
ACCT000089,CUST000089,PREM000089,Commercial,SAN FRANCISCO,Active,R-COM-GEN,MTR000089,Smart Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000090,CUST000090,PREM000090,Residential,SANTA CLARA,Active,R-RES-TOU,MTR000090,Smart Meter,Active,12,1,0,12,1,2,1,0,1,1,0,0,0,Missing Meter Reads
ACCT000091,CUST000091,PREM000091,Residential,CONTRA COSTA,Active,R-RES-TOU,MTR000091,Smart Meter,Active,12,0,0,12,0,2,0,0,0,0,0,0,1,Ready
ACCT000092,CUST000092,PREM000092,Residential,CONTRA COSTA,Active,R-RES-TOU,MTR000092,Smart Meter,Active,12,1,0,12,1,0,1,0,0,1,0,1,0,Missing Meter Reads
ACCT000093,CUST000093,PREM000093,Residential,SAN JOAQUIN,Active,R-RES-TOU,MTR000093,Smart Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
ACCT000094,CUST000094,PREM000094,Residential,SANTA CLARA,Active,R-RES-TOU,MTR000094,Smart Meter,Active,12,1,0,12,1,0,1,0,0,0,0,0,0,Missing Meter Reads
ACCT000095,CUST000095,PREM000095,Residential,CONTRA COSTA,Active,R-RES-TOU,MTR000095,Smart Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
ACCT000096,CUST000096,PREM000096,Residential,KERN,Active,R-RES-TOU,MTR000096,Smart Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000097,CUST000097,PREM000097,Residential,SAN JOAQUIN,Active,R-RES-TOU,MTR000097,Legacy Meter,Active,12,0,0,12,0,3,0,0,0,0,0,0,1,Ready
ACCT000098,CUST000098,PREM000098,Residential,ALAMEDA,Active,R-RES-TOU,MTR000098,Smart Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
ACCT000099,CUST000099,PREM000099,Residential,KERN,Active,R-RES-TOU,MTR000099,Legacy Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
ACCT000100,CUST000100,PREM000100,Residential,CONTRA COSTA,Active,R-RES-TOU,MTR000100,Smart Meter,Active,12,0,1,12,1,1,1,0,1,2,0,0,0,Invalid Meter Reads
ACCT000101,CUST000101,PREM000101,Residential,KERN,Inactive,R-RES-TOU,MTR000101,Smart Meter,Inactive,12,0,1,12,12,0,12,4,1,7,1,2,0,Inactive Account
ACCT000102,CUST000102,PREM000102,Residential,SAN FRANCISCO,Active,R-RES-TOU,MTR000102,Smart Meter,Active,12,0,0,12,0,2,0,0,0,0,0,0,1,Ready
ACCT000103,CUST000103,PREM000103,Residential,SAN FRANCISCO,Pending Close,R-RES-TOU,MTR000103,Smart Meter,Inactive,12,0,0,12,12,0,12,5,1,8,0,1,0,Inactive Account
ACCT000104,CUST000104,PREM000104,Residential,ALAMEDA,Active,R-RES-TOU,MTR000104,Smart Meter,Active,12,0,0,12,0,4,0,0,0,0,0,0,1,Ready
ACCT000105,CUST000105,PREM000105,Commercial,ALAMEDA,Active,R-COM-GEN,MTR000105,Smart Meter,Active,12,0,0,12,0,1,0,0,0,1,0,0,1,Ready
ACCT000106,CUST000106,PREM000106,Residential,SANTA CLARA,Active,R-RES-TOU,MTR000106,Smart Meter,Active,12,1,0,12,1,1,1,1,0,1,0,0,0,Missing Meter Reads
ACCT000107,CUST000107,PREM000107,Residential,SAN MATEO,Active,R-RES-TOU,MTR000107,Smart Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
ACCT000108,CUST000108,PREM000108,Residential,SANTA CLARA,Active,R-RES-TOU,MTR000108,Smart Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000109,CUST000109,PREM000109,Residential,MERCED,Active,R-RES-TOU,MTR000109,Smart Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000110,CUST000110,PREM000110,Residential,KINGS,Active,R-RES-TOU,MTR000110,Smart Meter,Active,12,1,0,12,1,0,1,0,0,0,0,0,0,Missing Meter Reads
ACCT000111,CUST000111,PREM000111,Residential,KINGS,Active,R-RES-TOU,MTR000111,Legacy Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000112,CUST000112,PREM000112,Residential,MONTEREY,Active,R-RES-TOU,MTR000112,Smart Meter,Active,12,0,0,12,0,2,0,0,0,0,0,0,1,Ready
ACCT000113,CUST000113,PREM000113,Industrial,SAN LUIS OBISPO,Active,R-IND-GEN,MTR000113,Smart Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000114,CUST000114,PREM000114,Commercial,FRESNO,Active,R-COM-GEN,MTR000114,Legacy Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000115,CUST000115,PREM000115,Residential,ALAMEDA,Active,R-RES-TOU,MTR000115,Smart Meter,Active,12,0,0,12,0,2,0,0,0,0,0,0,1,Ready
ACCT000116,CUST000116,PREM000116,Commercial,COLUSA,Active,R-COM-GEN,MTR000116,Smart Meter,Active,12,0,0,12,0,4,0,0,0,0,0,0,1,Ready
ACCT000117,CUST000117,PREM000117,Commercial,KERN,Active,R-COM-GEN,MTR000117,Smart Meter,Active,12,0,0,12,0,0,0,0,0,1,0,0,1,Ready
ACCT000118,CUST000118,PREM000118,Residential,KERN,Active,R-RES-TOU,MTR000118,Smart Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000119,CUST000119,PREM000119,Commercial,MADERA,Active,R-COM-GEN,MTR000119,Smart Meter,Active,12,0,0,12,0,0,0,0,0,1,1,0,0,Open Service Requests
ACCT000120,CUST000120,PREM000120,Residential,ALAMEDA,Active,R-RES-TOU,MTR000120,Smart Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000121,CUST000121,PREM000121,Commercial,ALAMEDA,Active,R-COM-GEN,MTR000121,Smart Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000122,CUST000122,PREM000122,Commercial,YOLO,Active,R-COM-GEN,MTR000122,Smart Meter,Active,12,1,0,12,1,0,1,0,0,0,0,0,0,Missing Meter Reads
ACCT000123,CUST000123,PREM000123,Residential,CONTRA COSTA,Active,R-RES-TOU,MTR000123,Smart Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000124,CUST000124,PREM000124,Residential,KERN,Active,R-RES-TOU,MTR000124,Smart Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
ACCT000125,CUST000125,PREM000125,Residential,YOLO,Active,R-RES-TOU,MTR000125,Smart Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000126,CUST000126,PREM000126,Residential,EL DORADO,Active,R-RES-TOU,MTR000126,Smart Meter,Active,12,2,0,12,2,0,2,0,1,1,0,0,0,Missing Meter Reads
ACCT000127,CUST000127,PREM000127,Commercial,SAN FRANCISCO,Active,R-COM-GEN,MTR000127,Smart Meter,Active,12,0,0,12,0,2,0,0,0,0,0,0,1,Ready
ACCT000128,CUST000128,PREM000128,Commercial,ALAMEDA,Active,R-COM-GEN,MTR000128,Smart Meter,Active,12,0,0,12,0,3,0,0,0,0,0,0,1,Ready
ACCT000129,CUST000129,PREM000129,Residential,SAN MATEO,Active,R-RES-TOU,MTR000129,Smart Meter,Active,12,0,0,12,0,2,0,0,0,0,0,0,1,Ready
ACCT000130,CUST000130,PREM000130,Residential,BUTTE,Active,R-RES-TOU,MTR000130,Smart Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000131,CUST000131,PREM000131,Residential,SAN FRANCISCO,Pending Close,R-RES-TOU,MTR000131,Smart Meter,Inactive,12,0,0,12,12,0,12,4,1,5,1,2,0,Inactive Account
ACCT000132,CUST000132,PREM000132,Residential,PLACER,Active,R-RES-TOU,MTR000132,Smart Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
ACCT000133,CUST000133,PREM000133,Residential,SANTA CLARA,Active,R-RES-TOU,MTR000133,Smart Meter,Active,12,1,0,12,1,1,1,0,1,1,0,0,0,Missing Meter Reads
ACCT000134,CUST000134,PREM000134,Residential,CONTRA COSTA,Active,R-RES-TOU,MTR000134,Smart Meter,Active,12,0,0,12,0,2,0,0,0,1,0,0,1,Ready
ACCT000135,CUST000135,PREM000135,Industrial,KINGS,Active,R-IND-GEN,MTR000135,Smart Meter,Active,12,1,0,12,1,1,1,0,0,0,0,0,0,Missing Meter Reads
ACCT000136,CUST000136,PREM000136,Residential,MARIN,Active,R-RES-TOU,MTR000136,Smart Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
ACCT000137,CUST000137,PREM000137,Residential,SAN LUIS OBISPO,Active,R-RES-TOU,MTR000137,Smart Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
ACCT000138,CUST000138,PREM000138,Residential,SANTA CLARA,Active,R-RES-TOU,MTR000138,Smart Meter,Active,12,0,0,12,0,2,0,0,0,0,0,0,1,Ready
ACCT000139,CUST000139,PREM000139,Residential,FRESNO,Active,R-RES-TOU,MTR000139,Smart Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000140,CUST000140,PREM000140,Agriculture And Water Pumping,TUOLUMNE,Active,R-AGR-PUMP,MTR000140,Smart Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
ACCT000141,CUST000141,PREM000141,Agriculture And Water Pumping,SAN FRANCISCO,Active,R-AGR-PUMP,MTR000141,Smart Meter,Active,12,0,0,12,0,2,0,0,0,0,0,0,1,Ready
ACCT000142,CUST000142,PREM000142,Residential,SANTA CLARA,Active,R-RES-TOU,MTR000142,Smart Meter,Active,12,1,0,12,1,0,1,1,0,2,0,0,0,Missing Meter Reads
ACCT000143,CUST000143,PREM000143,Residential,SAN FRANCISCO,Active,R-RES-TOU,MTR000143,Smart Meter,Active,12,0,0,12,0,2,0,0,0,0,0,0,1,Ready
ACCT000144,CUST000144,PREM000144,Residential,MERCED,Active,R-RES-TOU,MTR000144,Smart Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000145,CUST000145,PREM000145,Residential,KERN,Active,R-RES-TOU,MTR000145,Smart Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
ACCT000146,CUST000146,PREM000146,Residential,MONTEREY,Active,R-RES-TOU,MTR000146,Smart Meter,Active,12,0,1,12,1,0,1,0,0,1,0,0,0,Invalid Meter Reads
ACCT000147,CUST000147,PREM000147,Residential,SANTA BARBARA,Active,R-RES-TOU,MTR000147,Smart Meter,Active,12,0,0,12,0,2,0,0,0,0,0,0,1,Ready
ACCT000148,CUST000148,PREM000148,Residential,SONOMA,Active,R-RES-TOU,MTR000148,Smart Meter,Active,12,0,0,12,0,3,0,0,0,0,0,0,1,Ready
ACCT000149,CUST000149,PREM000149,Residential,SANTA CRUZ,Active,R-RES-TOU,MTR000149,Smart Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
