object_id,utility_company,start_datetime,estimated_restoration_datetime,cause,impacted_customers,county,outage_status,outage_type,global_id,outage_type_color,incident_id,x,y,start_date,start_year,start_month,start_hour,estimated_restoration_hours,cause_clean,cause_category
42033362,PGE,2026-06-10 15:04:09,2026-06-10 23:00:00,PLNND SHUTDOWN,10,MADERA,Active,Planned,7e8cec2f-eb49-4397-ac54-3e8d71458ded,#a8a800,275901,-13338083.2,4427598.265,2026-06-10,2026.0,6.0,15.0,7.930833333333333,PLNND SHUTDOWN,Planned Work
42033363,PGE,2026-06-10 15:00:23,2026-06-10 23:00:00,PLNND SHUTDOWN,28,SAN LUIS OBISPO,Active,Planned,083c5c18-f139-4429-9ce5-91fd3d4adc0b,#a8a800,275908,-13425372.15,4241934.457,2026-06-10,2026.0,6.0,15.0,7.993611111111111,PLNND SHUTDOWN,Planned Work
42033364,PGE,2026-06-10 15:00:42,2026-06-10 23:00:00,PLNND SHUTDOWN,2,MADERA,Active,Planned,22559f6e-34eb-46b0-bb5e-5b477f88eb28,#a8a800,275909,-13314937.65,4490317.43,2026-06-10,2026.0,6.0,15.0,7.988333333333333,PLNND SHUTDOWN,Planned Work
42033365,PGE,2026-06-10 15:01:33,2026-06-10 23:00:00,PLNND SHUTDOWN,1,FRESNO,Active,Planned,ab47f7e8-e16a-4c68-83b0-13e9f5f1f631,#a8a800,275910,-13314788.48,4435388.591,2026-06-10,2026.0,6.0,15.0,7.974166666666667,PLNND SHUTDOWN,Planned Work
42033366,PGE,2026-06-10 15:01:47,2026-06-10 23:00:00,PLNND SHUTDOWN,1,SHASTA,Active,Planned,24b82238-3f54-4128-a2c8-190ce51bc719,#a8a800,275911,-13618622.79,4990843.736,2026-06-10,2026.0,6.0,15.0,7.970277777777778,PLNND SHUTDOWN,Planned Work
42033367,PGE,2026-06-10 15:06:00,2026-06-10 18:00:00,EMERG REPAIRS,1,BUTTE,Active,Not Planned,14280c29-c321-4fc6-abfa-52e59469ba2f,#ffaa00,275913,-13566440.66,4826934.377,2026-06-10,2026.0,6.0,15.0,2.9,EMERG REPAIRS,Repairs / Replacement
42033368,PGE,2026-06-10 15:04:26,2026-06-10 23:00:00,PLNND SHUTDOWN,40,SAN LUIS OBISPO,Active,Planned,ce825360-9a55-4d7e-b81a-6c042d33312c,#a8a800,275916,-13416176.05,4172316.692,2026-06-10,2026.0,6.0,15.0,7.926111111111111,PLNND SHUTDOWN,Planned Work
42033369,PGE,2026-06-10 15:09:19,2026-06-10 19:00:00,PATROLLING,27,SAN MATEO,Active,Not Planned,ee7c2826-ab8e-40e0-86f9-ebdada901953,#ffaa00,275917,-13625033.68,4521991.903,2026-06-10,2026.0,6.0,15.0,3.8447222222222224,PATROLLING,Inspection / Patrol
42033370,PGE,2026-06-10 15:02:00,2026-06-10 23:00:00,PLNND SHUTDOWN,75,NEVADA,Active,Planned,1172326d-7ae9-46b3-bbae-690bfd74862c,#a8a800,275922,-13481176.61,4774656.254,2026-06-10,2026.0,6.0,15.0,7.966666666666667,PLNND SHUTDOWN,Planned Work
42033371,PGE,2026-06-10 15:06:23,2026-06-10 23:00:00,PLNND SHUTDOWN,3,PLACER,Active,Planned,d51c26e2-9c59-442c-ac2d-89dd6b1f4574,#a8a800,275923,-13464620.07,4739281.219,2026-06-10,2026.0,6.0,15.0,7.893611111111111,PLNND SHUTDOWN,Planned Work
42033372,PGE,2026-06-10 15:05:00,2026-06-10 22:00:00,PLNND SHUTDOWN,1,AMADOR,Active,Planned,60e117f1-b86c-48ae-a02e-a75f2502b334,#a8a800,275924,-13447027.13,4657715.31,2026-06-10,2026.0,6.0,15.0,6.916666666666667,PLNND SHUTDOWN,Planned Work
42033373,PGE,2026-06-10 15:03:12,2026-06-10 23:00:00,PLNND SHUTDOWN,1,YUBA,Active,Planned,29284f53-ea02-43b4-9cee-13edf15d6fbf,#a8a800,275926,-13508316.31,4763776.1,2026-06-10,2026.0,6.0,15.0,7.946666666666666,PLNND SHUTDOWN,Planned Work
42033374,PGE,2026-06-10 15:14:41,2026-06-10 23:00:00,PLNND SHUTDOWN,14,CONTRA COSTA,Active,Planned,f614cbd2-d59f-4119-8139-f6ca0455fc4b,#a8a800,275928,-13580914.42,4572449.598,2026-06-10,2026.0,6.0,15.0,7.755277777777778,PLNND SHUTDOWN,Planned Work
42033375,PGE,2026-06-10 15:18:00,2026-06-10 21:30:00,PLNND SHUTDOWN,2,SANTA CRUZ,Active,Planned,64640fa4-202d-496e-a69c-8e37e43c6baa,#a8a800,275932,-13559983.02,4433932.607,2026-06-10,2026.0,6.0,15.0,6.2,PLNND SHUTDOWN,Planned Work
42033376,PGE,2026-06-10 15:23:59,2026-06-10 23:00:00,PLNND SHUTDOWN,2,ALAMEDA,Active,Planned,a3312390-7be9-4371-838b-80e409757fd9,#a8a800,275937,-13604575.38,4546962.752,2026-06-10,2026.0,6.0,15.0,7.6002777777777775,PLNND SHUTDOWN,Planned Work
42033377,PGE,2026-06-10 15:22:00,2026-06-10 22:15:00,THRD PARTY,27,MERCED,Active,Not Planned,13f78e5d-d6a6-4d0c-906f-e7382a20351e,#ffaa00,275939,-13410981.88,4455965.132,2026-06-10,2026.0,6.0,15.0,6.883333333333334,THRD PARTY,External / Environmental
42033378,PGE,2026-06-10 15:17:00,2026-06-10 22:00:00,PLNND SHUTDOWN,46,SAN MATEO,Active,Planned,2ee00a70-100a-4f88-8bfc-16b730e864d7,#a8a800,275942,-13624721.98,4521646.306,2026-06-10,2026.0,6.0,15.0,6.716666666666667,PLNND SHUTDOWN,Planned Work
42033379,PGE,2026-06-10 15:32:39,2026-06-10 23:00:00,PLNND SHUTDOWN,42,SANTA BARBARA,Active,Planned,b7c18a70-3206-40b1-828a-cdaa9215fc4f,#a8a800,275946,-13406781.8,4145025.243,2026-06-10,2026.0,6.0,15.0,7.4558333333333335,PLNND SHUTDOWN,Planned Work
42033380,PGE,2026-06-10 15:33:00,2026-06-10 22:00:00,PLNND SHUTDOWN,2,EL DORADO,Active,Planned,35f9d592-fb51-4490-aba0-0b580654ced1,#a8a800,275948,-13459069.68,4669808.945,2026-06-10,2026.0,6.0,15.0,6.45,PLNND SHUTDOWN,Planned Work
42033381,PGE,2026-06-10 15:37:30,2026-06-11 00:15:00,REPLCE TXFMR,4,SANTA BARBARA,Active,Not Planned,ab4dfd18-6c8b-40e6-baea-9a74183d4b92,#ffaa00,275952,-13405443.74,4145576.061,2026-06-10,2026.0,6.0,15.0,8.625,REPLCE TXFMR,Repairs / Replacement
42033382,PGE,2026-06-10 15:37:00,2026-06-10 23:30:00,PLNND SHUTDOWN,15,CONTRA COSTA,Active,Planned,d2a2de2f-f2f1-4b47-ae8d-ea22354680d4,#a8a800,275953,-13614876.89,4567186.651,2026-06-10,2026.0,6.0,15.0,7.883333333333334,PLNND SHUTDOWN,Planned Work
42033383,PGE,2026-06-10 15:40:20,2026-06-11 03:00:00,BRKN UG EQUIPMNT,1,MERCED,Active,Not Planned,cc016536-8708-41ac-aef6-55fc1e6bf965,#ffaa00,275958,-13426294.99,4491583.695,2026-06-10,2026.0,6.0,15.0,11.327777777777778,BRKN UG EQUIPMNT,Equipment / Underground
42033384,PGE,2026-06-10 16:00:00,2026-06-10 23:00:00,PLNND SHUTDOWN,3,SANTA CRUZ,Active,Planned,3e13d9c5-1c5f-4ae3-a5fd-bae2e2e73c5d,#a8a800,275965,-13596501.38,4461145.908,2026-06-10,2026.0,6.0,16.0,7.0,PLNND SHUTDOWN,Planned Work
42033385,PGE,2026-06-10 15:01:00,2026-06-10 23:00:00,PLNND SHUTDOWN,1,FRESNO,Active,Planned,c0dde348-349a-46e7-8d62-754d7ccaf83a,#a8a800,275966,-13314814.09,4435391.378,2026-06-10,2026.0,6.0,15.0,7.983333333333333,PLNND SHUTDOWN,Planned Work
42033386,PGE,2026-06-10 16:00:00,2026-06-11 00:00:00,PLNND SHUTDOWN,12,SANTA CLARA,Active,Planned,6d236453-7352-4a6a-a4fc-eac3ffb4ce4c,#a8a800,275973,-13577494.69,4473771.95,2026-06-10,2026.0,6.0,16.0,8.0,PLNND SHUTDOWN,Planned Work
42033387,PGE,2026-06-10 15:53:32,2026-06-10 21:30:00,,1,MADERA,Active,Not Planned,2fd7749b-6162-4cfa-91f8-4b54e3623d57,#ffaa00,275974,-13373272.4,4441986.916,2026-06-10,2026.0,6.0,15.0,5.607777777777778,UNKNOWN / NOT PROVIDED,Unknown / Not Provided
42033388,PGE,2026-06-10 15:30:00,2026-06-10 23:00:00,PLNND SHUTDOWN,4,EL DORADO,Active,Planned,729523ff-6ba5-444f-90a1-e15dab8f88f5,#a8a800,275976,-13450297.7,4691026.971,2026-06-10,2026.0,6.0,15.0,7.5,PLNND SHUTDOWN,Planned Work
42033389,PGE,2026-06-10 16:00:00,2026-06-10 21:00:00,PLNND SHUTDOWN,2,SAN LUIS OBISPO,Active,Planned,30df1313-f461-48e3-929d-d15b0b36b392,#a8a800,275983,-13413814.96,4207775.331,2026-06-10,2026.0,6.0,16.0,5.0,PLNND SHUTDOWN,Planned Work
42033390,PGE,2026-06-10 16:00:00,2026-06-10 22:00:00,PLNND SHUTDOWN,5,CONTRA COSTA,Active,Planned,033a8ecd-b474-483a-904a-010ff824f47a,#a8a800,275988,-13600405.35,4565339.819,2026-06-10,2026.0,6.0,16.0,6.0,PLNND SHUTDOWN,Planned Work
42033391,PGE,2026-06-10 16:01:23,2026-06-10 23:00:00,PLNND SHUTDOWN,8,SAN MATEO,Active,Planned,239380b9-a7be-4937-8eea-24919171b7e0,#a8a800,275998,-13610583.3,4507256.557,2026-06-10,2026.0,6.0,16.0,6.976944444444444,PLNND SHUTDOWN,Planned Work
42033392,PGE,2026-06-10 16:03:17,2026-06-10 23:00:00,PLNND SHUTDOWN,7,SAN MATEO,Active,Planned,5bb8014b-5e84-4880-889a-1ae70c191a24,#a8a800,276007,-13610587.75,4507200.44,2026-06-10,2026.0,6.0,16.0,6.945277777777778,PLNND SHUTDOWN,Planned Work
42033393,PGE,2026-06-10 16:04:35,2026-06-10 23:00:00,PLNND SHUTDOWN,35,ALAMEDA,Active,Planned,beb25533-0831-4d9d-a086-827e6345fc34,#a8a800,276014,-13588448.53,4527912.381,2026-06-10,2026.0,6.0,16.0,6.923611111111111,PLNND SHUTDOWN,Planned Work
42033394,PGE,2026-06-10 16:07:00,2026-06-10 23:00:00,PLNND SHUTDOWN,4,SANTA CRUZ,Active,Planned,ffe92686-34ff-42f0-b2d4-a7fb9f8df057,#a8a800,276015,-13558226.4,4423022.565,2026-06-10,2026.0,6.0,16.0,6.883333333333334,PLNND SHUTDOWN,Planned Work
42033395,PGE,2026-06-10 16:07:00,2026-06-10 23:00:00,PLNND SHUTDOWN,2,SANTA CRUZ,Active,Planned,b7899654-a2cc-4cba-87f0-5f0c1c794436,#a8a800,276017,-13558221.95,4423008.647,2026-06-10,2026.0,6.0,16.0,6.883333333333334,PLNND SHUTDOWN,Planned Work
42033396,PGE,2026-06-10 16:11:08,2026-06-10 23:00:00,,1,NEVADA,Active,Not Planned,fecd93f5-91a9-4706-8d61-024bf5066ae6,#ffaa00,276018,-13481162.14,4774686.493,2026-06-10,2026.0,6.0,16.0,6.814444444444445,UNKNOWN / NOT PROVIDED,Unknown / Not Provided
42033397,PGE,2026-06-10 16:05:55,2026-06-10 23:00:00,PLNND SHUTDOWN,26,ALAMEDA,Active,Planned,6b0767f5-e135-4531-9673-db54dd336abf,#a8a800,276019,-13588391.75,4527809.767,2026-06-10,2026.0,6.0,16.0,6.901388888888889,PLNND SHUTDOWN,Planned Work
42033398,PGE,2026-06-10 16:08:00,2026-06-10 23:00:00,PLNND SHUTDOWN,35,SAN MATEO,Active,Planned,aca01b25-375d-46d3-a477-df90420d3e25,#a8a800,276021,-13598145.57,4503484.8,2026-06-10,2026.0,6.0,16.0,6.866666666666666,PLNND SHUTDOWN,Planned Work
42033399,PGE,2026-06-10 16:07:00,2026-06-11 00:00:00,PLNND SHUTDOWN,35,SANTA CLARA,Active,Planned,66cba0e4-60f0-4341-9cdc-bd36cc02849d,#a8a800,276023,-13534447.44,4437538.798,2026-06-10,2026.0,6.0,16.0,7.883333333333334,PLNND SHUTDOWN,Planned Work
42033400,PGE,2026-06-10 16:12:36,2026-06-11 00:00:00,PLNND SHUTDOWN,13,ALAMEDA,Active,Planned,f0fd7dc3-773f-4704-a114-d81a3dbbe982,#a8a800,276024,-13592130.98,4538312.61,2026-06-10,2026.0,6.0,16.0,7.79,PLNND SHUTDOWN,Planned Work
42033401,PGE,2026-06-10 16:04:43,2026-06-10 23:00:00,PLNND SHUTDOWN,2,SANTA CLARA,Active,Planned,49d351ac-a825-439c-a340-8172bd58af62,#a8a800,276025,-13578022.34,4459585.822,2026-06-10,2026.0,6.0,16.0,6.921388888888889,PLNND SHUTDOWN,Planned Work
42033402,PGE,2026-06-10 16:05:00,2026-06-11 01:30:00,PLNND SHUTDOWN,25,SANTA CRUZ,Active,Planned,2b1b59fa-4206-4c4b-a3fd-e64bb5821246,#a8a800,276027,-13582148.96,4443671.304,2026-06-10,2026.0,6.0,16.0,9.416666666666666,PLNND SHUTDOWN,Planned Work
42033403,PGE,2026-06-10 16:08:42,2026-06-10 23:00:00,PLNND SHUTDOWN,34,ALAMEDA,Active,Planned,8e25423f-5066-467e-abfe-903b71604f84,#a8a800,276029,-13597005.66,4540237.684,2026-06-10,2026.0,6.0,16.0,6.855,PLNND SHUTDOWN,Planned Work
42033404,PGE,2026-06-10 16:12:00,2026-06-11 02:15:00,EMERG REPAIRS,182,SAN MATEO,Active,Not Planned,92f0ca73-d3e1-424b-bd8f-972a0b0727a9,#ffaa00,276032,-13616315.14,4517633.437,2026-06-10,2026.0,6.0,16.0,10.05,EMERG REPAIRS,Repairs / Replacement
42033405,PGE,2026-06-10 16:13:32,2026-06-10 23:00:00,PLNND SHUTDOWN,6,SAN MATEO,Active,Planned,027d3f6a-3c48-40c1-91c1-d4a86f686aae,#a8a800,276035,-13610578.84,4507315.479,2026-06-10,2026.0,6.0,16.0,6.774444444444445,PLNND SHUTDOWN,Planned Work
42033406,PGE,2026-06-10 16:13:18,2026-06-10 22:00:00,PLNND SHUTDOWN,1,TUOLUMNE,Active,Planned,200e65b9-9c11-4479-94e3-f32e44cf2797,#a8a800,276036,-13381183.88,4584817.944,2026-06-10,2026.0,6.0,16.0,5.778333333333333,PLNND SHUTDOWN,Planned Work
42033407,PGE,2026-06-10 16:13:46,2026-06-10 22:00:00,PLNND SHUTDOWN,4,BUTTE,Active,Planned,2538a35e-cb63-47de-916c-b2c4a2291483,#a8a800,276037,-13537700.2,4827484.437,2026-06-10,2026.0,6.0,16.0,5.770555555555555,PLNND SHUTDOWN,Planned Work
42033408,PGE,2026-06-10 16:14:00,2026-06-10 22:00:00,PLNND SHUTDOWN,2,FRESNO,Active,Planned,2f6b8d17-0abc-4809-9f07-b18977ce854a,#a8a800,276038,-13309303.77,4440860.422,2026-06-10,2026.0,6.0,16.0,5.766666666666667,PLNND SHUTDOWN,Planned Work
42033409,PGE,2026-06-10 16:16:47,2026-06-10 21:00:00,PLNND SHUTDOWN,7,YOLO,Active,Planned,4f0235ec-5a9c-43d8-ba4e-6195fa4b9409,#a8a800,276041,-13528445.1,4655957.504,2026-06-10,2026.0,6.0,16.0,4.720277777777778,PLNND SHUTDOWN,Planned Work
42033410,PGE,2026-06-10 16:14:00,2026-06-10 22:00:00,PLNND SHUTDOWN,10,FRESNO,Active,Planned,24277679-20d5-4a7a-bed7-5ab02e55dcaf,#a8a800,276042,-13309301.55,4440838.117,2026-06-10,2026.0,6.0,16.0,5.766666666666667,PLNND SHUTDOWN,Planned Work
42033411,PGE,2026-06-10 16:21:00,2026-06-10 22:00:00,PLNND SHUTDOWN,17,FRESNO,Active,Planned,d35a150e-97a2-49f7-b1d2-05c6ccd63f7d,#a8a800,276043,-13336020.45,4412133.445,2026-06-10,2026.0,6.0,16.0,5.65,PLNND SHUTDOWN,Planned Work
42033412,PGE,2026-06-10 16:26:04,2026-06-10 21:00:00,EMERG REPAIRS,17,SONOMA,Active,Not Planned,6546989b-91ff-426c-9458-ea6996ded9ba,#ffaa00,276048,-13693524.11,4645763.91,2026-06-10,2026.0,6.0,16.0,4.565555555555555,EMERG REPAIRS,Repairs / Replacement
42033413,PGE,2026-06-10 16:23:30,2026-06-10 23:00:00,PLNND SHUTDOWN,1,MONTEREY,Active,Planned,cdc8b3b4-edbb-4b28-8a10-fdd72feb8074,#a8a800,276050,-13534825.93,4354739.148,2026-06-10,2026.0,6.0,16.0,6.608333333333333,PLNND SHUTDOWN,Planned Work
42033414,PGE,2026-06-10 16:30:45,2026-06-10 22:45:00,,1,SAN MATEO,Active,Not Planned,0cfb4dbc-cc84-461f-970f-fc52f88b1a16,#ffaa00,276052,-13598175.62,4503609.615,2026-06-10,2026.0,6.0,16.0,6.2375,UNKNOWN / NOT PROVIDED,Unknown / Not Provided
42033415,PGE,2026-06-10 16:33:35,2026-06-11 02:30:00,DAMGE UG CABLE,1,KERN,Active,Not Planned,4179617f-b40d-4c7a-9899-cd9b4535481d,#ffaa00,276060,-13261150.3,4216798.783,2026-06-10,2026.0,6.0,16.0,9.940277777777778,DAMGE UG CABLE,Equipment / Underground
42033416,PGE,2026-06-10 16:30:30,2026-06-10 21:00:00,PLNND SHUTDOWN,7,YOLO,Active,Planned,3b99b576-eeb0-4900-8c33-be7739a8f2f6,#a8a800,276066,-13528379.42,4656116.904,2026-06-10,2026.0,6.0,16.0,4.491666666666666,PLNND SHUTDOWN,Planned Work
42033417,PGE,2026-06-10 16:10:00,2026-06-10 23:00:00,PLNND SHUTDOWN,95,SAN FRANCISCO,Active,Planned,450fba79-c898-4217-a70d-0fde8b6d0cbb,#a8a800,276068,-13630235.64,4545530.654,2026-06-10,2026.0,6.0,16.0,6.833333333333333,PLNND SHUTDOWN,Planned Work
42033418,PGE,2026-06-10 15:19:00,2026-06-10 23:00:00,PLNND SHUTDOWN,5,SAN LUIS OBISPO,Active,Planned,534f3336-2d4c-4b2e-bf85-dcc1133ee877,#a8a800,276070,-13438177.23,4229068.942,2026-06-10,2026.0,6.0,15.0,7.683333333333334,PLNND SHUTDOWN,Planned Work
42033419,PGE,2026-06-10 16:31:25,2026-06-10 20:00:00,PLNND SHUTDOWN,1,MONTEREY,Active,Planned,877a9987-e399-479d-9096-b4f60d387391,#a8a800,276071,-13573375.87,4378477.903,2026-06-10,2026.0,6.0,16.0,3.4763888888888888,PLNND SHUTDOWN,Planned Work
42033420,PGE,2026-06-10 16:36:15,2026-06-11 02:30:00,,52,SAN MATEO,Active,Not Planned,14a0bcec-c627-4c44-8306-bc1ca65304b1,#ffaa00,276073,-13616521.08,4517582.882,2026-06-10,2026.0,6.0,16.0,9.895833333333334,UNKNOWN / NOT PROVIDED,Unknown / Not Provided
42033421,PGE,2026-06-10 16:54:04,2026-06-10 22:00:00,PATROLLING,1,SAN LUIS OBISPO,Active,Not Planned,6e25f4c1-833d-4a92-96a0-7179a0869bae,#ffaa00,276112,-13411145.52,4169904.328,2026-06-10,2026.0,6.0,16.0,5.098888888888889,PATROLLING,Inspection / Patrol
42033422,PGE,2026-06-10 16:54:00,2026-06-10 22:00:00,PLNND SHUTDOWN,10,CALAVERAS,Active,Planned,3ed9b3c0-7237-4819-9b5c-4f577b45d096,#a8a800,276113,-13427629.71,4615493.226,2026-06-10,2026.0,6.0,16.0,5.1,PLNND SHUTDOWN,Planned Work
42033423,PGE,2026-06-10 15:01:00,2026-06-10 23:00:00,PLNND SHUTDOWN,1,MADERA,Active,Planned,bb992e2a-cc38-4247-b28f-e95dd12c45c6,#a8a800,276116,-13315002.22,4490289.417,2026-06-10,2026.0,6.0,15.0,7.983333333333333,PLNND SHUTDOWN,Planned Work
42033424,PGE,2026-06-10 15:01:00,2026-06-10 23:00:00,PLNND SHUTDOWN,1,MADERA,Active,Planned,e60708c0-fed8-4753-bba0-18d4ab122665,#a8a800,276118,-13314874.2,4490321.632,2026-06-10,2026.0,6.0,15.0,7.983333333333333,PLNND SHUTDOWN,Planned Work
42033425,PGE,2026-06-10 16:58:54,2026-06-10 23:15:00,,1,SANTA CLARA,Active,Not Planned,5d4df00a-dc91-46bc-b3be-123b805207a8,#ffaa00,276119,-13559262.78,4492607.744,2026-06-10,2026.0,6.0,16.0,6.2683333333333335,UNKNOWN / NOT PROVIDED,Unknown / Not Provided
42033426,PGE,2026-06-10 16:54:04,2026-06-10 23:00:00,PLNND SHUTDOWN,43,EL DORADO,Active,Planned,dc6ae515-fa1b-4feb-8140-a32a9379d8c7,#a8a800,276120,-13434778.65,4709599.212,2026-06-10,2026.0,6.0,16.0,6.098888888888889,PLNND SHUTDOWN,Planned Work
42033427,PGE,2026-06-10 17:01:00,2026-06-11 00:00:00,PLNND SHUTDOWN,325,MARIN,Active,Planned,9b333309-4d62-4806-8418-5756ce2a855a,#a8a800,276123,-13644895.3,4576548.615,2026-06-10,2026.0,6.0,17.0,6.983333333333333,PLNND SHUTDOWN,Planned Work
