exception_id,bill_id,account_id,customer_id,billing_cycle_id,customer_segment,county,exception_type,severity,created_date,resolved_date,resolution_status
EXC00000053,BILL00000726,ACCT000061,CUST000061,2024-06,Residential,TUOLUMNE,Missing Meter Read,Medium,2024-07-03,,Open
EXC00000054,BILL00000800,ACCT000067,CUST000067,2024-08,Residential,KERN,Invalid Meter Read,High,2024-09-03,2024-09-04,Resolved
EXC00000055,BILL00000803,ACCT000067,CUST000067,2024-11,Residential,KERN,Missing Meter Read,Medium,2024-12-03,,Open
EXC00000056,BILL00000883,ACCT000074,CUST000074,2024-07,Commercial,SANTA CLARA,Missing Meter Read,Medium,2024-08-03,,In Review
EXC00000057,BILL00000889,ACCT000075,CUST000075,2024-01,Residential,KINGS,Inactive Account,High,2024-02-03,2024-02-13,Resolved
EXC00000058,BILL00000890,ACCT000075,CUST000075,2024-02,Residential,KINGS,Inactive Account,High,2024-03-03,2024-03-08,Resolved
EXC00000059,BILL00000891,ACCT000075,CUST000075,2024-03,Residential,KINGS,Inactive Account,High,2024-04-03,2024-04-17,Resolved
EXC00000060,BILL00000892,ACCT000075,CUST000075,2024-04,Residential,KINGS,Inactive Account,High,2024-05-03,,Open
EXC00000061,BILL00000893,ACCT000075,CUST000075,2024-05,Residential,KINGS,Inactive Account,High,2024-06-03,,Open
EXC00000062,BILL00000894,ACCT000075,CUST000075,2024-06,Residential,KINGS,Inactive Account,High,2024-07-03,,Open
EXC00000063,BILL00000895,ACCT000075,CUST000075,2024-07,Residential,KINGS,Inactive Account,High,2024-08-03,2024-08-04,Resolved
EXC00000064,BILL00000896,ACCT000075,CUST000075,2024-08,Residential,KINGS,Inactive Account,High,2024-09-03,,In Review
EXC00000065,BILL00000897,ACCT000075,CUST000075,2024-09,Residential,KINGS,Inactive Account,High,2024-10-03,,Open
EXC00000066,BILL00000898,ACCT000075,CUST000075,2024-10,Residential,KINGS,Inactive Account,High,2024-11-03,2024-11-11,Resolved
EXC00000067,BILL00000899,ACCT000075,CUST000075,2024-11,Residential,KINGS,Inactive Account,High,2024-12-03,2024-12-06,Resolved
EXC00000068,BILL00000900,ACCT000075,CUST000075,2024-12,Residential,KINGS,Inactive Account,High,2025-01-03,,In Review
EXC00000069,BILL00000906,ACCT000076,CUST000076,2024-06,Residential,PLACER,Missing Meter Read,Medium,2024-07-03,2024-07-09,Resolved
EXC00000070,BILL00000948,ACCT000079,CUST000079,2024-12,Residential,KERN,Invalid Meter Read,High,2025-01-03,,In Review
EXC00000071,BILL00000949,ACCT000080,CUST000080,2024-01,Residential,KERN,Inactive Account,High,2024-02-03,,Open
EXC00000072,BILL00000950,ACCT000080,CUST000080,2024-02,Residential,KERN,Inactive Account,High,2024-03-03,,In Review
EXC00000073,BILL00000951,ACCT000080,CUST000080,2024-03,Residential,KERN,Inactive Account,High,2024-04-03,,In Review
EXC00000074,BILL00000952,ACCT000080,CUST000080,2024-04,Residential,KERN,Inactive Account,High,2024-05-03,,In Review
EXC00000075,BILL00000953,ACCT000080,CUST000080,2024-05,Residential,KERN,Inactive Account,High,2024-06-03,,In Review
EXC00000076,BILL00000954,ACCT000080,CUST000080,2024-06,Residential,KERN,Inactive Account,High,2024-07-03,,In Review
EXC00000077,BILL00000955,ACCT000080,CUST000080,2024-07,Residential,KERN,Inactive Account,High,2024-08-03,2024-08-10,Resolved
EXC00000078,BILL00000956,ACCT000080,CUST000080,2024-08,Residential,KERN,Inactive Account,High,2024-09-03,2024-09-11,Resolved
EXC00000079,BILL00000957,ACCT000080,CUST000080,2024-09,Residential,KERN,Inactive Account,High,2024-10-03,,Open
EXC00000080,BILL00000958,ACCT000080,CUST000080,2024-10,Residential,KERN,Inactive Account,High,2024-11-03,,In Review
EXC00000081,BILL00000959,ACCT000080,CUST000080,2024-11,Residential,KERN,Inactive Account,High,2024-12-03,,In Review
EXC00000082,BILL00000960,ACCT000080,CUST000080,2024-12,Residential,KERN,Inactive Account,High,2025-01-03,,Open
EXC00000083,BILL00000980,ACCT000082,CUST000082,2024-08,Residential,SANTA CLARA,Missing Meter Read,Medium,2024-09-03,2024-09-13,Resolved
EXC00000084,BILL00000990,ACCT000083,CUST000083,2024-06,Residential,SAN JOAQUIN,Missing Meter Read,Medium,2024-07-03,,Open
EXC00000085,BILL00000999,ACCT000084,CUST000084,2024-03,Residential,ALAMEDA,Missing Meter Read,Medium,2024-04-03,,Open
EXC00000086,BILL00001014,ACCT000085,CUST000085,2024-06,Residential,SANTA CLARA,Invalid Meter Read,High,2024-07-03,,Open
EXC00000087,BILL00001030,ACCT000086,CUST000086,2024-10,Residential,KERN,Missing Meter Read,Medium,2024-11-03,,Open
EXC00000088,BILL00001069,ACCT000090,CUST000090,2024-01,Residential,SANTA CLARA,Missing Meter Read,Medium,2024-02-03,,In Review
EXC00000089,BILL00001094,ACCT000092,CUST000092,2024-02,Residential,CONTRA COSTA,Missing Meter Read,Medium,2024-03-03,2024-03-04,Resolved
EXC00000090,BILL00001117,ACCT000094,CUST000094,2024-01,Residential,SANTA CLARA,Missing Meter Read,Medium,2024-02-03,2024-02-11,Resolved
EXC00000091,BILL00001193,ACCT000100,CUST000100,2024-05,Residential,CONTRA COSTA,Invalid Meter Read,High,2024-06-03,,In Review
EXC00000092,BILL00001201,ACCT000101,CUST000101,2024-01,Residential,KERN,Inactive Account,High,2024-02-03,2024-02-11,Resolved
EXC00000093,BILL00001202,ACCT000101,CUST000101,2024-02,Residential,KERN,Inactive Account,High,2024-03-03,,Open
EXC00000094,BILL00001203,ACCT000101,CUST000101,2024-03,Residential,KERN,Inactive Account,High,2024-04-03,,Open
EXC00000095,BILL00001204,ACCT000101,CUST000101,2024-04,Residential,KERN,Inactive Account,High,2024-05-03,2024-05-06,Resolved
EXC00000096,BILL00001205,ACCT000101,CUST000101,2024-05,Residential,KERN,Inactive Account,High,2024-06-03,,Open
EXC00000097,BILL00001206,ACCT000101,CUST000101,2024-06,Residential,KERN,Inactive Account,High,2024-07-03,2024-07-12,Resolved
EXC00000098,BILL00001207,ACCT000101,CUST000101,2024-07,Residential,KERN,Inactive Account,High,2024-08-03,2024-08-15,Resolved
EXC00000099,BILL00001208,ACCT000101,CUST000101,2024-08,Residential,KERN,Inactive Account,High,2024-09-03,2024-09-16,Resolved
EXC00000100,BILL00001209,ACCT000101,CUST000101,2024-09,Residential,KERN,Inactive Account,High,2024-10-03,2024-10-11,Resolved
EXC00000101,BILL00001210,ACCT000101,CUST000101,2024-10,Residential,KERN,Inactive Account,High,2024-11-03,,Open
EXC00000102,BILL00001211,ACCT000101,CUST000101,2024-11,Residential,KERN,Inactive Account,High,2024-12-03,2024-12-08,Resolved
EXC00000103,BILL00001212,ACCT000101,CUST000101,2024-12,Residential,KERN,Inactive Account,High,2025-01-03,,In Review
EXC00000104,BILL00001225,ACCT000103,CUST000103,2024-01,Residential,SAN FRANCISCO,Inactive Account,High,2024-02-03,2024-02-15,Resolved
EXC00000105,BILL00001226,ACCT000103,CUST000103,2024-02,Residential,SAN FRANCISCO,Inactive Account,High,2024-03-03,,Open
EXC00000106,BILL00001227,ACCT000103,CUST000103,2024-03,Residential,SAN FRANCISCO,Inactive Account,High,2024-04-03,2024-04-17,Resolved
EXC00000107,BILL00001228,ACCT000103,CUST000103,2024-04,Residential,SAN FRANCISCO,Inactive Account,High,2024-05-03,,Open
EXC00000108,BILL00001229,ACCT000103,CUST000103,2024-05,Residential,SAN FRANCISCO,Inactive Account,High,2024-06-03,2024-06-04,Resolved
EXC00000109,BILL00001230,ACCT000103,CUST000103,2024-06,Residential,SAN FRANCISCO,Inactive Account,High,2024-07-03,,Open
EXC00000110,BILL00001231,ACCT000103,CUST000103,2024-07,Residential,SAN FRANCISCO,Inactive Account,High,2024-08-03,2024-08-14,Resolved
EXC00000111,BILL00001232,ACCT000103,CUST000103,2024-08,Residential,SAN FRANCISCO,Inactive Account,High,2024-09-03,2024-09-16,Resolved
EXC00000112,BILL00001233,ACCT000103,CUST000103,2024-09,Residential,SAN FRANCISCO,Inactive Account,High,2024-10-03,,Open
EXC00000113,BILL00001234,ACCT000103,CUST000103,2024-10,Residential,SAN FRANCISCO,Inactive Account,High,2024-11-03,,In Review
EXC00000114,BILL00001235,ACCT000103,CUST000103,2024-11,Residential,SAN FRANCISCO,Inactive Account,High,2024-12-03,2024-12-16,Resolved
EXC00000115,BILL00001236,ACCT000103,CUST000103,2024-12,Residential,SAN FRANCISCO,Inactive Account,High,2025-01-03,,Open
EXC00000116,BILL00001272,ACCT000106,CUST000106,2024-12,Residential,SANTA CLARA,Missing Meter Read,Medium,2025-01-03,,Open
EXC00000117,BILL00001317,ACCT000110,CUST000110,2024-09,Residential,KINGS,Missing Meter Read,Medium,2024-10-03,2024-10-08,Resolved
EXC00000118,BILL00001454,ACCT000122,CUST000122,2024-02,Commercial,YOLO,Missing Meter Read,Medium,2024-03-03,2024-03-13,Resolved
EXC00000119,BILL00001505,ACCT000126,CUST000126,2024-05,Residential,EL DORADO,Missing Meter Read,Medium,2024-06-03,2024-06-15,Resolved
EXC00000120,BILL00001508,ACCT000126,CUST000126,2024-08,Residential,EL DORADO,Missing Meter Read,Medium,2024-09-03,,In Review
EXC00000121,BILL00001561,ACCT000131,CUST000131,2024-01,Residential,SAN FRANCISCO,Inactive Account,High,2024-02-03,2024-02-05,Resolved
EXC00000122,BILL00001562,ACCT000131,CUST000131,2024-02,Residential,SAN FRANCISCO,Inactive Account,High,2024-03-03,2024-03-12,Resolved
EXC00000123,BILL00001563,ACCT000131,CUST000131,2024-03,Residential,SAN FRANCISCO,Inactive Account,High,2024-04-03,2024-04-04,Resolved
EXC00000124,BILL00001564,ACCT000131,CUST000131,2024-04,Residential,SAN FRANCISCO,Inactive Account,High,2024-05-03,2024-05-06,Resolved
EXC00000125,BILL00001565,ACCT000131,CUST000131,2024-05,Residential,SAN FRANCISCO,Inactive Account,High,2024-06-03,2024-06-04,Resolved
EXC00000126,BILL00001566,ACCT000131,CUST000131,2024-06,Residential,SAN FRANCISCO,Inactive Account,High,2024-07-03,2024-07-17,Resolved
EXC00000127,BILL00001567,ACCT000131,CUST000131,2024-07,Residential,SAN FRANCISCO,Inactive Account,High,2024-08-03,,Open
EXC00000128,BILL00001568,ACCT000131,CUST000131,2024-08,Residential,SAN FRANCISCO,Inactive Account,High,2024-09-03,,Open
EXC00000129,BILL00001569,ACCT000131,CUST000131,2024-09,Residential,SAN FRANCISCO,Inactive Account,High,2024-10-03,2024-10-16,Resolved
EXC00000130,BILL00001570,ACCT000131,CUST000131,2024-10,Residential,SAN FRANCISCO,Inactive Account,High,2024-11-03,,Open
EXC00000131,BILL00001571,ACCT000131,CUST000131,2024-11,Residential,SAN FRANCISCO,Inactive Account,High,2024-12-03,,Open
EXC00000132,BILL00001572,ACCT000131,CUST000131,2024-12,Residential,SAN FRANCISCO,Inactive Account,High,2025-01-03,,In Review
EXC00000133,BILL00001594,ACCT000133,CUST000133,2024-10,Residential,SANTA CLARA,Missing Meter Read,Medium,2024-11-03,,In Review
EXC00000134,BILL00001615,ACCT000135,CUST000135,2024-07,Industrial,KINGS,Missing Meter Read,Medium,2024-08-03,2024-08-08,Resolved
EXC00000135,BILL00001700,ACCT000142,CUST000142,2024-08,Residential,SANTA CLARA,Missing Meter Read,Medium,2024-09-03,,Open
EXC00000136,BILL00001744,ACCT000146,CUST000146,2024-04,Residential,MONTEREY,Invalid Meter Read,High,2024-05-03,2024-05-16,Resolved
EXC00000137,BILL00001800,ACCT000150,CUST000150,2024-12,Residential,SANTA CLARA,Missing Meter Read,Medium,2025-01-03,,In Review
EXC00000138,BILL00001822,ACCT000152,CUST000152,2024-10,Residential,SANTA CLARA,Invalid Meter Read,High,2024-11-03,,In Review
EXC00000139,BILL00001845,ACCT000154,CUST000154,2024-09,Residential,MADERA,Invalid Meter Read,High,2024-10-03,2024-10-08,Resolved
EXC00000140,BILL00001857,ACCT000155,CUST000155,2024-09,"Transportation, Communications, & Utilities",FRESNO,Missing Meter Read,Medium,2024-10-03,2024-10-09,Resolved
EXC00000141,BILL00001869,ACCT000156,CUST000156,2024-09,Residential,ALAMEDA,Missing Meter Read,Medium,2024-10-03,2024-10-09,Resolved
EXC00000142,BILL00001883,ACCT000157,CUST000157,2024-11,Residential,SANTA CLARA,Invalid Meter Read,High,2024-12-03,2024-12-09,Resolved
EXC00000143,BILL00001956,ACCT000163,CUST000163,2024-12,Residential,ALAMEDA,Missing Meter Read,Medium,2025-01-03,2025-01-09,Resolved
EXC00000144,BILL00001965,ACCT000164,CUST000164,2024-09,Residential,KERN,Invalid Meter Read,High,2024-10-03,,In Review
EXC00000145,BILL00002015,ACCT000168,CUST000168,2024-11,Residential,SANTA CLARA,Invalid Meter Read,High,2024-12-03,2024-12-10,Resolved
EXC00000146,BILL00002122,ACCT000177,CUST000177,2024-10,Residential,SONOMA,Invalid Meter Read,High,2024-11-03,,Open
EXC00000147,BILL00002147,ACCT000179,CUST000179,2024-11,Industrial,PLACER,Missing Meter Read,Medium,2024-12-03,2024-12-17,Resolved
EXC00000148,BILL00002232,ACCT000186,CUST000186,2024-12,Residential,SUTTER,Invalid Meter Read,High,2025-01-03,2025-01-10,Resolved
EXC00000149,BILL00002243,ACCT000187,CUST000187,2024-11,Commercial,FRESNO,Missing Meter Read,Medium,2024-12-03,,Open
EXC00000150,BILL00002283,ACCT000191,CUST000191,2024-03,Residential,ALAMEDA,Invalid Meter Read,High,2024-04-03,,In Review
EXC00000151,BILL00002291,ACCT000191,CUST000191,2024-11,Residential,ALAMEDA,Invalid Meter Read,High,2024-12-03,,Open
EXC00000152,BILL00002296,ACCT000192,CUST000192,2024-04,Commercial,FRESNO,Missing Meter Read,Medium,2024-05-03,2024-05-08,Resolved
EXC00000153,BILL00002328,ACCT000194,CUST000194,2024-12,Residential,MENDOCINO,Missing Meter Read,Medium,2025-01-03,2025-01-16,Resolved
EXC00000154,BILL00002331,ACCT000195,CUST000195,2024-03,Residential,SANTA CLARA,Missing Meter Read,Medium,2024-04-03,2024-04-06,Resolved
EXC00000155,BILL00002348,ACCT000196,CUST000196,2024-08,Residential,SAN JOAQUIN,Missing Meter Read,Medium,2024-09-03,2024-09-09,Resolved
EXC00000156,BILL00002392,ACCT000200,CUST000200,2024-04,Residential,ALAMEDA,Missing Meter Read,Medium,2024-05-03,,Open
EXC00000157,BILL00002500,ACCT000209,CUST000209,2024-04,Residential,MONTEREY,Invalid Meter Read,High,2024-05-03,2024-05-16,Resolved
EXC00000158,BILL00002521,ACCT000211,CUST000211,2024-01,Residential,NAPA,Inactive Account,High,2024-02-03,,In Review
EXC00000159,BILL00002522,ACCT000211,CUST000211,2024-02,Residential,NAPA,Inactive Account,High,2024-03-03,2024-03-11,Resolved
EXC00000160,BILL00002523,ACCT000211,CUST000211,2024-03,Residential,NAPA,Inactive Account,High,2024-04-03,,In Review
EXC00000161,BILL00002524,ACCT000211,CUST000211,2024-04,Residential,NAPA,Inactive Account,High,2024-05-03,2024-05-05,Resolved
EXC00000162,BILL00002525,ACCT000211,CUST000211,2024-05,Residential,NAPA,Inactive Account,High,2024-06-03,2024-06-08,Resolved
EXC00000163,BILL00002526,ACCT000211,CUST000211,2024-06,Residential,NAPA,Inactive Account,High,2024-07-03,,Open
EXC00000164,BILL00002527,ACCT000211,CUST000211,2024-07,Residential,NAPA,Inactive Account,High,2024-08-03,2024-08-07,Resolved
EXC00000165,BILL00002528,ACCT000211,CUST000211,2024-08,Residential,NAPA,Inactive Account,High,2024-09-03,,Open
EXC00000166,BILL00002529,ACCT000211,CUST000211,2024-09,Residential,NAPA,Inactive Account,High,2024-10-03,2024-10-09,Resolved
EXC00000167,BILL00002530,ACCT000211,CUST000211,2024-10,Residential,NAPA,Inactive Account,High,2024-11-03,2024-11-10,Resolved
EXC00000168,BILL00002531,ACCT000211,CUST000211,2024-11,Residential,NAPA,Inactive Account,High,2024-12-03,2024-12-17,Resolved
EXC00000169,BILL00002532,ACCT000211,CUST000211,2024-12,Residential,NAPA,Inactive Account,High,2025-01-03,2025-01-13,Resolved
EXC00000170,BILL00002546,ACCT000213,CUST000213,2024-02,Residential,ALAMEDA,Missing Meter Read,Medium,2024-03-03,2024-03-14,Resolved
EXC00000171,BILL00002584,ACCT000216,CUST000216,2024-04,Residential,EL DORADO,Missing Meter Read,Medium,2024-05-03,2024-05-10,Resolved
EXC00000172,BILL00002637,ACCT000220,CUST000220,2024-09,Commercial,CONTRA COSTA,Invalid Meter Read,High,2024-10-03,,Open
EXC00000173,BILL00002665,ACCT000223,CUST000223,2024-01,Residential,SANTA CLARA,Inactive Account,High,2024-02-03,,Open
EXC00000174,BILL00002666,ACCT000223,CUST000223,2024-02,Residential,SANTA CLARA,Inactive Account,High,2024-03-03,2024-03-16,Resolved
EXC00000175,BILL00002667,ACCT000223,CUST000223,2024-03,Residential,SANTA CLARA,Inactive Account,High,2024-04-03,,Open
EXC00000176,BILL00002668,ACCT000223,CUST000223,2024-04,Residential,SANTA CLARA,Inactive Account,High,2024-05-03,,Open
EXC00000177,BILL00002669,ACCT000223,CUST000223,2024-05,Residential,SANTA CLARA,Inactive Account,High,2024-06-03,,Open
EXC00000178,BILL00002670,ACCT000223,CUST000223,2024-06,Residential,SANTA CLARA,Inactive Account,High,2024-07-03,,In Review
EXC00000179,BILL00002671,ACCT000223,CUST000223,2024-07,Residential,SANTA CLARA,Inactive Account,High,2024-08-03,,Open
EXC00000180,BILL00002672,ACCT000223,CUST000223,2024-08,Residential,SANTA CLARA,Inactive Account,High,2024-09-03,,Open
EXC00000181,BILL00002673,ACCT000223,CUST000223,2024-09,Residential,SANTA CLARA,Inactive Account,High,2024-10-03,2024-10-14,Resolved
EXC00000182,BILL00002674,ACCT000223,CUST000223,2024-10,Residential,SANTA CLARA,Inactive Account,High,2024-11-03,2024-11-17,Resolved
EXC00000183,BILL00002675,ACCT000223,CUST000223,2024-11,Residential,SANTA CLARA,Inactive Account,High,2024-12-03,2024-12-12,Resolved
EXC00000184,BILL00002676,ACCT000223,CUST000223,2024-12,Residential,SANTA CLARA,Inactive Account,High,2025-01-03,2025-01-10,Resolved
EXC00000185,BILL00002693,ACCT000225,CUST000225,2024-05,Residential,KERN,Missing Meter Read,Medium,2024-06-03,2024-06-09,Resolved
EXC00000186,BILL00002742,ACCT000229,CUST000229,2024-06,Commercial,SANTA CLARA,Missing Meter Read,Medium,2024-07-03,2024-07-15,Resolved
EXC00000187,BILL00002759,ACCT000230,CUST000230,2024-11,Residential,SAN LUIS OBISPO,Missing Meter Read,Medium,2024-12-03,,Open
EXC00000188,BILL00002803,ACCT000234,CUST000234,2024-07,Residential,KERN,Missing Meter Read,Medium,2024-08-03,,Open
EXC00000189,BILL00002835,ACCT000237,CUST000237,2024-03,Residential,FRESNO,Missing Meter Read,Medium,2024-04-03,,In Review
EXC00000190,BILL00002866,ACCT000239,CUST000239,2024-10,Residential,CONTRA COSTA,Missing Meter Read,Medium,2024-11-03,,In Review
EXC00000191,BILL00002891,ACCT000241,CUST000241,2024-11,Industrial,HUMBOLDT,Invalid Meter Read,High,2024-12-03,,In Review
EXC00000192,BILL00002900,ACCT000242,CUST000242,2024-08,Agriculture And Water Pumping,KERN,Missing Meter Read,Medium,2024-09-03,,Open
EXC00000193,BILL00002941,ACCT000246,CUST000246,2024-01,Industrial,SAN FRANCISCO,Inactive Account,High,2024-02-03,,In Review
EXC00000194,BILL00002942,ACCT000246,CUST000246,2024-02,Industrial,SAN FRANCISCO,Inactive Account,High,2024-03-03,,In Review
EXC00000195,BILL00002943,ACCT000246,CUST000246,2024-03,Industrial,SAN FRANCISCO,Inactive Account,High,2024-04-03,,In Review
EXC00000196,BILL00002944,ACCT000246,CUST000246,2024-04,Industrial,SAN FRANCISCO,Inactive Account,High,2024-05-03,,Open
EXC00000197,BILL00002945,ACCT000246,CUST000246,2024-05,Industrial,SAN FRANCISCO,Inactive Account,High,2024-06-03,,Open
EXC00000198,BILL00002946,ACCT000246,CUST000246,2024-06,Industrial,SAN FRANCISCO,Inactive Account,High,2024-07-03,2024-07-13,Resolved
EXC00000199,BILL00002947,ACCT000246,CUST000246,2024-07,Industrial,SAN FRANCISCO,Inactive Account,High,2024-08-03,2024-08-17,Resolved
EXC00000200,BILL00002948,ACCT000246,CUST000246,2024-08,Industrial,SAN FRANCISCO,Inactive Account,High,2024-09-03,2024-09-15,Resolved
