request_id,exception_id,bill_id,account_id,customer_id,billing_cycle_id,customer_segment,county,request_type,priority,request_status,opened_date,closed_date
SR00000055,EXC00002518,BILL00028161,ACCT002347,CUST002347,2024-09,Residential,KERN,Missing Read Investigation,High,Open,2024-10-03,
SR00000056,EXC00002749,BILL00030208,ACCT002518,CUST002518,2024-04,Residential,ALAMEDA,Account Status Review,Medium,In Progress,2024-05-03,
SR00000057,EXC00003358,BILL00037078,ACCT003090,CUST003090,2024-10,Residential,SONOMA,Missing Read Investigation,Medium,In Progress,2024-11-03,
SR00000058,EXC00002196,BILL00025232,ACCT002103,CUST002103,2024-08,Residential,LAKE,Account Status Review,Medium,Closed,2024-09-03,2024-09-17
SR00000059,EXC00002828,BILL00031466,ACCT002623,CUST002623,2024-02,Residential,SANTA CLARA,Account Status Review,Critical,Closed,2024-03-03,2024-03-22
SR00000060,EXC00004978,BILL00054380,ACCT004532,CUST004532,2024-08,Residential,TUOLUMNE,Account Status Review,Medium,Closed,2024-09-03,2024-09-24
SR00000061,EXC00003124,BILL00035689,ACCT002975,CUST002975,2024-01,Residential,PLACER,Account Status Review,Medium,Closed,2024-02-03,2024-03-01
SR00000062,EXC00004731,BILL00052182,ACCT004349,CUST004349,2024-06,Commercial,SANTA BARBARA,Missing Read Investigation,Medium,Closed,2024-07-03,2024-07-14
SR00000063,EXC00002095,BILL00024277,ACCT002024,CUST002024,2024-01,Residential,MERCED,Account Status Review,Low,Closed,2024-02-03,2024-02-12
SR00000064,EXC00004926,BILL00053734,ACCT004478,CUST004478,2024-10,Residential,MONTEREY,Account Status Review,Critical,Open,2024-11-03,
SR00000065,EXC00004248,BILL00046788,ACCT003899,CUST003899,2024-12,Residential,GLENN,Account Status Review,Low,Cancelled,2025-01-03,2025-01-12
SR00000066,EXC00004257,BILL00047135,ACCT003928,CUST003928,2024-11,Residential,SANTA CLARA,Meter Data Investigation,High,Closed,2024-12-03,2024-12-31
SR00000067,EXC00004693,BILL00052046,ACCT004338,CUST004338,2024-02,Commercial,HUMBOLDT,Account Status Review,Low,In Progress,2024-03-03,
SR00000068,EXC00000466,BILL00005837,ACCT000487,CUST000487,2024-05,Residential,SANTA CLARA,Meter Data Investigation,Medium,Closed,2024-06-03,2024-06-06
SR00000069,EXC00000297,BILL00003756,ACCT000313,CUST000313,2024-12,Residential,YOLO,Account Status Review,Low,Closed,2025-01-03,2025-01-04
SR00000070,EXC00001685,BILL00020048,ACCT001671,CUST001671,2024-08,Residential,SAN MATEO,Missing Read Investigation,Medium,In Progress,2024-09-03,
SR00000071,EXC00001282,BILL00015680,ACCT001307,CUST001307,2024-08,Residential,MARIN,Account Status Review,Medium,Closed,2024-09-03,2024-09-16
SR00000072,EXC00003170,BILL00036005,ACCT003001,CUST003001,2024-05,Residential,FRESNO,Account Status Review,Low,Closed,2024-06-03,2024-06-13
SR00000073,EXC00002317,BILL00026563,ACCT002214,CUST002214,2024-07,Agriculture And Water Pumping,KERN,Account Status Review,Low,Closed,2024-08-03,2024-08-18
SR00000074,EXC00000625,BILL00007770,ACCT000648,CUST000648,2024-06,Residential,SOLANO,Missing Read Investigation,Medium,Closed,2024-07-03,2024-07-20
SR00000075,EXC00001256,BILL00015433,ACCT001287,CUST001287,2024-01,Residential,MONTEREY,Account Status Review,Medium,Cancelled,2024-02-03,2024-02-07
SR00000076,EXC00002665,BILL00029374,ACCT002448,CUST002448,2024-10,Residential,ALAMEDA,Account Status Review,Medium,Closed,2024-11-03,2024-11-11
SR00000077,EXC00000531,BILL00006740,ACCT000562,CUST000562,2024-08,Residential,YUBA,Account Status Review,High,Open,2024-09-03,
SR00000078,EXC00000169,BILL00002532,ACCT000211,CUST000211,2024-12,Residential,NAPA,Account Status Review,Medium,In Progress,2025-01-03,
SR00000079,EXC00002343,BILL00026823,ACCT002236,CUST002236,2024-03,Residential,KERN,Account Status Review,Medium,Closed,2024-04-03,2024-04-09
SR00000080,EXC00000712,BILL00008546,ACCT000713,CUST000713,2024-02,Residential,KERN,Account Status Review,High,Open,2024-03-03,
SR00000081,EXC00003815,BILL00042713,ACCT003560,CUST003560,2024-05,Residential,SAN JOAQUIN,Missing Read Investigation,Medium,Open,2024-06-03,
SR00000082,EXC00005282,BILL00058090,ACCT004841,CUST004841,2024-10,Agriculture And Water Pumping,BUTTE,Missing Read Investigation,Low,Closed,2024-11-03,2024-11-07
SR00000083,EXC00000539,BILL00006908,ACCT000576,CUST000576,2024-08,Industrial,SANTA CLARA,Missing Read Investigation,Medium,Closed,2024-09-03,2024-10-02
SR00000084,EXC00001958,BILL00023077,ACCT001924,CUST001924,2024-01,Residential,SAN FRANCISCO,Account Status Review,Medium,Closed,2024-02-03,2024-02-15
SR00000085,EXC00003947,BILL00044178,ACCT003682,CUST003682,2024-06,Residential,SAN JOAQUIN,Meter Data Investigation,High,In Progress,2024-07-03,
SR00000086,EXC00002446,BILL00027686,ACCT002308,CUST002308,2024-02,Residential,ALAMEDA,Account Status Review,High,In Progress,2024-03-03,
SR00000087,EXC00003514,BILL00038661,ACCT003222,CUST003222,2024-09,Residential,SANTA CLARA,Account Status Review,High,Closed,2024-10-03,2024-10-26
SR00000088,EXC00005146,BILL00056401,ACCT004701,CUST004701,2024-01,Residential,MERCED,Account Status Review,High,Closed,2024-02-03,2024-02-15
SR00000089,EXC00004776,BILL00052417,ACCT004369,CUST004369,2024-01,Residential,MERCED,Account Status Review,Medium,Closed,2024-02-03,2024-02-09
SR00000090,EXC00000590,BILL00007498,ACCT000625,CUST000625,2024-10,Residential,CONTRA COSTA,Account Status Review,Medium,Closed,2024-11-03,2024-11-09
SR00000091,EXC00002481,BILL00027858,ACCT002322,CUST002322,2024-06,Residential,PLACER,Account Status Review,High,Closed,2024-07-03,2024-07-06
SR00000092,EXC00004152,BILL00045787,ACCT003816,CUST003816,2024-07,Residential,FRESNO,Missing Read Investigation,Low,Closed,2024-08-03,2024-08-19
SR00000093,EXC00004600,BILL00050992,ACCT004250,CUST004250,2024-04,Agriculture And Water Pumping,ALAMEDA,Account Status Review,Medium,Closed,2024-05-03,2024-05-21
SR00000094,EXC00000231,BILL00003174,ACCT000265,CUST000265,2024-06,Commercial,KINGS,Missing Read Investigation,Medium,Closed,2024-07-03,2024-07-18
SR00000095,EXC00001437,BILL00017183,ACCT001432,CUST001432,2024-11,Residential,SUTTER,Missing Read Investigation,High,In Progress,2024-12-03,
SR00000096,EXC00000554,BILL00006975,ACCT000582,CUST000582,2024-03,"Transportation, Communications, & Utilities",SAN MATEO,Account Status Review,Low,Closed,2024-04-03,2024-04-04
SR00000097,EXC00002945,BILL00033771,ACCT002815,CUST002815,2024-03,Residential,SANTA CLARA,Missing Read Investigation,High,Closed,2024-04-03,2024-04-08
SR00000098,EXC00002974,BILL00034160,ACCT002847,CUST002847,2024-08,Residential,SAN JOAQUIN,Account Status Review,Critical,In Progress,2024-09-03,
SR00000099,EXC00002023,BILL00023619,ACCT001969,CUST001969,2024-03,Residential,FRESNO,Missing Read Investigation,High,Open,2024-04-03,
SR00000100,EXC00002925,BILL00033528,ACCT002794,CUST002794,2024-12,Residential,SANTA BARBARA,Account Status Review,Medium,Closed,2025-01-03,2025-01-22
SR00000101,EXC00000024,BILL00000377,ACCT000032,CUST000032,2024-05,Residential,PLACER,Account Status Review,Medium,Closed,2024-06-03,2024-06-30
SR00000102,EXC00003820,BILL00042819,ACCT003569,CUST003569,2024-03,Residential,KERN,Account Status Review,Medium,In Progress,2024-04-03,
SR00000103,EXC00005228,BILL00057383,ACCT004782,CUST004782,2024-11,Residential,KERN,Account Status Review,Low,Closed,2024-12-03,2024-12-08
SR00000104,EXC00003120,BILL00035551,ACCT002963,CUST002963,2024-07,Residential,SANTA CLARA,Meter Data Investigation,Medium,Closed,2024-08-03,2024-08-16
SR00000105,EXC00001724,BILL00020484,ACCT001707,CUST001707,2024-12,Residential,MENDOCINO,Account Status Review,Medium,Closed,2025-01-03,2025-01-29
SR00000106,EXC00000411,BILL00005321,ACCT000444,CUST000444,2024-05,Residential,NAPA,Account Status Review,Medium,Closed,2024-06-03,2024-06-13
SR00000107,EXC00004644,BILL00051301,ACCT004276,CUST004276,2024-01,Residential,SAN MATEO,Missing Read Investigation,High,In Progress,2024-02-03,
SR00000108,EXC00002874,BILL00032409,ACCT002701,CUST002701,2024-09,Residential,YUBA,Meter Data Investigation,High,Closed,2024-10-03,2024-10-20
SR00000109,EXC00004160,BILL00045871,ACCT003823,CUST003823,2024-07,Commercial,SANTA CLARA,Account Status Review,Medium,In Progress,2024-08-03,
SR00000110,EXC00004591,BILL00050828,ACCT004236,CUST004236,2024-08,Residential,SAN MATEO,Account Status Review,Medium,Open,2024-09-03,
SR00000111,EXC00004306,BILL00047458,ACCT003955,CUST003955,2024-10,Residential,SAN MATEO,Account Status Review,High,Open,2024-11-03,
SR00000112,EXC00000016,BILL00000246,ACCT000021,CUST000021,2024-06,Residential,FRESNO,Meter Data Investigation,Medium,In Progress,2024-07-03,
SR00000113,EXC00003493,BILL00038355,ACCT003197,CUST003197,2024-03,Industrial,FRESNO,Account Status Review,High,In Progress,2024-04-03,
SR00000114,EXC00000080,BILL00000958,ACCT000080,CUST000080,2024-10,Residential,KERN,Account Status Review,Medium,Closed,2024-11-03,2024-11-26
SR00000115,EXC00001748,BILL00020917,ACCT001744,CUST001744,2024-01,Residential,BUTTE,Account Status Review,Low,Closed,2024-02-03,2024-02-29
SR00000116,EXC00001718,BILL00020478,ACCT001707,CUST001707,2024-06,Residential,MENDOCINO,Account Status Review,Medium,In Progress,2024-07-03,
SR00000117,EXC00000382,BILL00004851,ACCT000405,CUST000405,2024-03,Residential,SAN MATEO,Account Status Review,Medium,Closed,2024-04-03,2024-04-13
SR00000118,EXC00003255,BILL00036310,ACCT003026,CUST003026,2024-10,Residential,KERN,Missing Read Investigation,Medium,Closed,2024-11-03,2024-11-07
SR00000119,EXC00002128,BILL00024574,ACCT002048,CUST002048,2024-10,Residential,CONTRA COSTA,Account Status Review,Medium,Open,2024-11-03,
SR00000120,EXC00002624,BILL00029051,ACCT002421,CUST002421,2024-11,Residential,SANTA CLARA,Account Status Review,Medium,Closed,2024-12-03,2024-12-06
SR00000121,EXC00003318,BILL00036862,ACCT003072,CUST003072,2024-10,Residential,KERN,Missing Read Investigation,Medium,Closed,2024-11-03,2024-11-16
SR00000122,EXC00001371,BILL00016293,ACCT001358,CUST001358,2024-09,Residential,KERN,Meter Data Investigation,Medium,Closed,2024-10-03,2024-10-26
SR00000123,EXC00000626,BILL00007771,ACCT000648,CUST000648,2024-07,Residential,SOLANO,Missing Read Investigation,Medium,Open,2024-08-03,
SR00000124,EXC00002307,BILL00026553,ACCT002213,CUST002213,2024-09,Residential,ALAMEDA,Account Status Review,Medium,Closed,2024-10-03,2024-10-06
SR00000125,EXC00003423,BILL00037682,ACCT003141,CUST003141,2024-02,Residential,SANTA CLARA,Account Status Review,Medium,Open,2024-03-03,
SR00000126,EXC00004662,BILL00051890,ACCT004325,CUST004325,2024-02,Commercial,SANTA CLARA,Account Status Review,Medium,Closed,2024-03-03,2024-03-30
SR00000127,EXC00004011,BILL00044673,ACCT003723,CUST003723,2024-09,Industrial,SANTA CLARA,Missing Read Investigation,Low,Closed,2024-10-03,2024-10-07
SR00000128,EXC00001254,BILL00015396,ACCT001283,CUST001283,2024-12,Residential,MADERA,Account Status Review,Low,Closed,2025-01-03,2025-01-23
SR00000129,EXC00003516,BILL00038663,ACCT003222,CUST003222,2024-11,Residential,SANTA CLARA,Account Status Review,Low,Closed,2024-12-03,2024-12-18
SR00000130,EXC00000599,BILL00007622,ACCT000636,CUST000636,2024-02,Residential,CONTRA COSTA,Account Status Review,Medium,Closed,2024-03-03,2024-03-13
SR00000131,EXC00000866,BILL00010398,ACCT000867,CUST000867,2024-06,Residential,SOLANO,Meter Data Investigation,Medium,In Progress,2024-07-03,
SR00000132,EXC00001504,BILL00017969,ACCT001498,CUST001498,2024-05,Residential,CONTRA COSTA,Meter Data Investigation,Low,Cancelled,2024-06-03,2024-06-24
SR00000133,EXC00002119,BILL00024565,ACCT002048,CUST002048,2024-01,Residential,CONTRA COSTA,Account Status Review,Low,Open,2024-02-03,
SR00000134,EXC00000240,BILL00003272,ACCT000273,CUST000273,2024-08,Commercial,ALAMEDA,Account Status Review,Low,Closed,2024-09-03,2024-09-10
SR00000135,EXC00002234,BILL00025530,ACCT002128,CUST002128,2024-06,Residential,ALAMEDA,Account Status Review,Medium,In Progress,2024-07-03,
SR00000136,EXC00004304,BILL00047456,ACCT003955,CUST003955,2024-08,Residential,SAN MATEO,Account Status Review,Medium,Open,2024-09-03,
SR00000137,EXC00001468,BILL00017543,ACCT001462,CUST001462,2024-11,Residential,FRESNO,Missing Read Investigation,High,Closed,2024-12-03,2024-12-13
SR00000138,EXC00004532,BILL00050128,ACCT004178,CUST004178,2024-04,Commercial,SAN JOAQUIN,Missing Read Investigation,Critical,Closed,2024-05-03,2024-05-08
SR00000139,EXC00003476,BILL00038267,ACCT003189,CUST003189,2024-11,Commercial,PLACER,Account Status Review,Medium,Closed,2024-12-03,2024-12-13
SR00000140,EXC00005197,BILL00057052,ACCT004755,CUST004755,2024-04,Commercial,SANTA CLARA,Meter Data Investigation,Medium,Closed,2024-05-03,2024-05-25
SR00000141,EXC00002606,BILL00028962,ACCT002414,CUST002414,2024-06,Residential,SAN JOAQUIN,Account Status Review,Medium,Closed,2024-07-03,2024-07-27
SR00000142,EXC00000334,BILL00004346,ACCT000363,CUST000363,2024-02,Residential,SAN FRANCISCO,Account Status Review,High,Closed,2024-03-03,2024-03-22
SR00000143,EXC00003533,BILL00038865,ACCT003239,CUST003239,2024-09,Residential,COLUSA,Account Status Review,Medium,Closed,2024-10-03,2024-10-07
SR00000144,EXC00001781,BILL00021308,ACCT001776,CUST001776,2024-08,Residential,ALAMEDA,Meter Data Investigation,Low,Closed,2024-09-03,2024-10-01
SR00000145,EXC00004677,BILL00052006,ACCT004334,CUST004334,2024-10,Residential,FRESNO,Meter Data Investigation,Low,Closed,2024-11-03,2024-11-20
SR00000146,EXC00003429,BILL00037688,ACCT003141,CUST003141,2024-08,Residential,SANTA CLARA,Account Status Review,Low,In Progress,2024-09-03,
SR00000147,EXC00000168,BILL00002531,ACCT000211,CUST000211,2024-11,Residential,NAPA,Account Status Review,Medium,Closed,2024-12-03,2024-12-09
SR00000148,EXC00004166,BILL00045881,ACCT003824,CUST003824,2024-05,Residential,CONTRA COSTA,Meter Data Investigation,Critical,Closed,2024-06-03,2024-06-10
SR00000149,EXC00004989,BILL00054787,ACCT004566,CUST004566,2024-07,Commercial,SAN MATEO,Missing Read Investigation,Medium,Closed,2024-08-03,2024-08-18
SR00000150,EXC00003314,BILL00036824,ACCT003069,CUST003069,2024-08,Residential,KERN,Missing Read Investigation,High,Open,2024-09-03,
SR00000151,EXC00000882,BILL00010788,ACCT000899,CUST000899,2024-12,Residential,NAPA,Missing Read Investigation,Low,Closed,2025-01-03,2025-01-22
SR00000152,EXC00003149,BILL00035844,ACCT002987,CUST002987,2024-12,Residential,MERCED,Account Status Review,Critical,Closed,2025-01-03,2025-01-22
SR00000153,EXC00003734,BILL00041223,ACCT003436,CUST003436,2024-03,Residential,ALAMEDA,Account Status Review,Low,Open,2024-04-03,
SR00000154,EXC00004468,BILL00049121,ACCT004094,CUST004094,2024-05,Industrial,FRESNO,Account Status Review,Low,Cancelled,2024-06-03,2024-06-30
SR00000155,EXC00004221,BILL00046552,ACCT003880,CUST003880,2024-04,Residential,SANTA CLARA,Account Status Review,Low,Closed,2024-05-03,2024-05-22
SR00000156,EXC00004879,BILL00053525,ACCT004461,CUST004461,2024-05,Residential,FRESNO,Account Status Review,High,Closed,2024-06-03,2024-07-01
SR00000157,EXC00000978,BILL00012235,ACCT001020,CUST001020,2024-07,Residential,SANTA CLARA,Account Status Review,Medium,Closed,2024-08-03,2024-08-23
SR00000158,EXC00001362,BILL00016160,ACCT001347,CUST001347,2024-08,Residential,ALAMEDA,Account Status Review,Critical,Closed,2024-09-03,2024-09-09
SR00000159,EXC00001262,BILL00015439,ACCT001287,CUST001287,2024-07,Residential,MONTEREY,Account Status Review,Low,Closed,2024-08-03,2024-08-07
SR00000160,EXC00003152,BILL00035917,ACCT002994,CUST002994,2024-01,Residential,ALAMEDA,Meter Data Investigation,Low,Closed,2024-02-03,2024-02-22
SR00000161,EXC00000585,BILL00007493,ACCT000625,CUST000625,2024-05,Residential,CONTRA COSTA,Account Status Review,High,In Progress,2024-06-03,
SR00000162,EXC00005256,BILL00057634,ACCT004803,CUST004803,2024-10,Commercial,SANTA CLARA,Account Status Review,Medium,Open,2024-11-03,
SR00000163,EXC00001618,BILL00019583,ACCT001632,CUST001632,2024-11,Residential,SANTA CLARA,Meter Data Investigation,Medium,Open,2024-12-03,
SR00000164,EXC00000927,BILL00011683,ACCT000974,CUST000974,2024-07,Residential,BUTTE,Meter Data Investigation,High,Closed,2024-08-03,2024-08-16
SR00000165,EXC00000916,BILL00011655,ACCT000972,CUST000972,2024-03,Industrial,SANTA CLARA,Account Status Review,Low,In Progress,2024-04-03,
SR00000166,EXC00001213,BILL00014790,ACCT001233,CUST001233,2024-06,Residential,SAN FRANCISCO,Missing Read Investigation,Low,In Progress,2024-07-03,
SR00000167,EXC00000374,BILL00004656,ACCT000388,CUST000388,2024-12,Residential,KINGS,Account Status Review,Medium,Closed,2025-01-03,2025-01-08
SR00000168,EXC00003752,BILL00041503,ACCT003459,CUST003459,2024-07,Residential,LAKE,Account Status Review,High,Open,2024-08-03,
SR00000169,EXC00004321,BILL00047601,ACCT003967,CUST003967,2024-09,Residential,NEVADA,Account Status Review,Medium,Open,2024-10-03,
SR00000170,EXC00001594,BILL00019240,ACCT001604,CUST001604,2024-04,Residential,SAN JOAQUIN,Missing Read Investigation,High,Closed,2024-05-03,2024-05-29
SR00000171,EXC00002466,BILL00027832,ACCT002320,CUST002320,2024-04,Residential,NAPA,Account Status Review,High,Closed,2024-05-03,2024-05-05
SR00000172,EXC00004560,BILL00050538,ACCT004212,CUST004212,2024-06,Residential,SUTTER,Account Status Review,High,Closed,2024-07-03,2024-07-11
SR00000173,EXC00000081,BILL00000959,ACCT000080,CUST000080,2024-11,Residential,KERN,Account Status Review,Medium,Closed,2024-12-03,2024-12-06
SR00000174,EXC00000249,BILL00003542,ACCT000296,CUST000296,2024-02,Residential,SANTA CLARA,Account Status Review,High,Closed,2024-03-03,2024-03-21
SR00000175,EXC00001484,BILL00017693,ACCT001475,CUST001475,2024-05,Residential,FRESNO,Meter Data Investigation,Medium,In Progress,2024-06-03,
SR00000176,EXC00004455,BILL00049085,ACCT004091,CUST004091,2024-05,Residential,KERN,Account Status Review,High,Closed,2024-06-03,2024-06-24
SR00000177,EXC00001658,BILL00019887,ACCT001658,CUST001658,2024-03,Residential,ALAMEDA,Account Status Review,High,Closed,2024-04-03,2024-04-28
SR00000178,EXC00003291,BILL00036632,ACCT003053,CUST003053,2024-08,Residential,KINGS,Account Status Review,Low,Closed,2024-09-03,2024-09-24
SR00000179,EXC00003154,BILL00035942,ACCT002996,CUST002996,2024-02,Commercial,ALAMEDA,Account Status Review,Low,Open,2024-03-03,
SR00000180,EXC00000280,BILL00003727,ACCT000311,CUST000311,2024-07,Residential,SAN MATEO,Account Status Review,Medium,Closed,2024-08-03,2024-08-27
