meter_id,account_id,meter_type,install_date,meter_status
MTR000054,ACCT000054,Smart Meter,2023-05-10,Active
MTR000055,ACCT000055,Smart Meter,2014-08-13,Active
MTR000056,ACCT000056,Smart Meter,2022-06-16,Active
MTR000057,ACCT000057,Legacy Meter,2015-05-12,Active
MTR000058,ACCT000058,Smart Meter,2019-07-10,Active
MTR000059,ACCT000059,Smart Meter,2015-04-18,Active
MTR000060,ACCT000060,Smart Meter,2019-03-04,Active
MTR000061,ACCT000061,Smart Meter,2023-04-06,Active
MTR000062,ACCT000062,Smart Meter,2024-06-26,Active
MTR000063,ACCT000063,Legacy Meter,2017-03-06,Active
MTR000064,ACCT000064,Smart Meter,2020-11-27,Active
MTR000065,ACCT000065,Smart Meter,2014-08-05,Active
MTR000066,ACCT000066,Legacy Meter,2014-07-15,Active
MTR000067,ACCT000067,Smart Meter,2020-02-27,Active
MTR000068,ACCT000068,Smart Meter,2015-01-01,Active
MTR000069,ACCT000069,Smart Meter,2021-07-29,Active
MTR000070,ACCT000070,Smart Meter,2018-04-01,Active
MTR000071,ACCT000071,Smart Meter,2020-09-13,Active
MTR000072,ACCT000072,Smart Meter,2018-03-29,Active
MTR000073,ACCT000073,Smart Meter,2021-03-22,Active
MTR000074,ACCT000074,Smart Meter,2014-08-02,Active
MTR000075,ACCT000075,Smart Meter,2020-07-16,Inactive
MTR000076,ACCT000076,Smart Meter,2023-04-24,Active
MTR000077,ACCT000077,Smart Meter,2022-03-26,Active
MTR000078,ACCT000078,Smart Meter,2014-04-29,Active
MTR000079,ACCT000079,Smart Meter,2023-07-29,Active
MTR000080,ACCT000080,Smart Meter,2018-09-13,Removed
MTR000081,ACCT000081,Smart Meter,2021-11-23,Active
MTR000082,ACCT000082,Smart Meter,2016-04-21,Active
MTR000083,ACCT000083,Smart Meter,2021-12-24,Active
MTR000084,ACCT000084,Smart Meter,2023-06-07,Active
MTR000085,ACCT000085,Smart Meter,2018-07-31,Active
MTR000086,ACCT000086,Legacy Meter,2017-04-17,Active
MTR000087,ACCT000087,Smart Meter,2017-12-26,Active
MTR000088,ACCT000088,Smart Meter,2018-10-10,Active
MTR000089,ACCT000089,Smart Meter,2016-08-02,Active
MTR000090,ACCT000090,Smart Meter,2020-09-15,Active
MTR000091,ACCT000091,Smart Meter,2023-06-28,Active
MTR000092,ACCT000092,Smart Meter,2022-01-09,Active
MTR000093,ACCT000093,Smart Meter,2015-07-20,Active
MTR000094,ACCT000094,Smart Meter,2022-08-17,Active
MTR000095,ACCT000095,Smart Meter,2024-07-21,Active
MTR000096,ACCT000096,Smart Meter,2024-11-22,Active
MTR000097,ACCT000097,Legacy Meter,2020-10-07,Active
MTR000098,ACCT000098,Smart Meter,2014-04-28,Active
MTR000099,ACCT000099,Legacy Meter,2015-01-03,Active
MTR000100,ACCT000100,Smart Meter,2017-02-03,Active
MTR000101,ACCT000101,Smart Meter,2022-09-12,Inactive
MTR000102,ACCT000102,Smart Meter,2023-03-29,Active
MTR000103,ACCT000103,Smart Meter,2021-05-01,Inactive
MTR000104,ACCT000104,Smart Meter,2019-04-02,Active
MTR000105,ACCT000105,Smart Meter,2024-06-09,Active
MTR000106,ACCT000106,Smart Meter,2020-01-05,Active
MTR000107,ACCT000107,Smart Meter,2019-03-05,Active
MTR000108,ACCT000108,Smart Meter,2020-01-07,Active
MTR000109,ACCT000109,Smart Meter,2016-03-26,Active
MTR000110,ACCT000110,Smart Meter,2020-04-22,Active
MTR000111,ACCT000111,Legacy Meter,2019-10-31,Active
MTR000112,ACCT000112,Smart Meter,2019-08-26,Active
MTR000113,ACCT000113,Smart Meter,2016-06-19,Active
MTR000114,ACCT000114,Legacy Meter,2014-07-12,Active
MTR000115,ACCT000115,Smart Meter,2021-08-02,Active
MTR000116,ACCT000116,Smart Meter,2017-01-02,Active
MTR000117,ACCT000117,Smart Meter,2023-03-03,Active
MTR000118,ACCT000118,Smart Meter,2016-12-20,Active
MTR000119,ACCT000119,Smart Meter,2022-04-09,Active
MTR000120,ACCT000120,Smart Meter,2016-08-08,Active
MTR000121,ACCT000121,Smart Meter,2021-01-27,Active
MTR000122,ACCT000122,Smart Meter,2023-11-16,Active
MTR000123,ACCT000123,Smart Meter,2020-07-18,Active
MTR000124,ACCT000124,Smart Meter,2020-09-08,Active
MTR000125,ACCT000125,Smart Meter,2016-07-31,Active
MTR000126,ACCT000126,Smart Meter,2014-09-15,Active
MTR000127,ACCT000127,Smart Meter,2017-05-06,Active
MTR000128,ACCT000128,Smart Meter,2019-10-02,Active
MTR000129,ACCT000129,Smart Meter,2015-10-13,Active
MTR000130,ACCT000130,Smart Meter,2020-05-07,Active
MTR000131,ACCT000131,Smart Meter,2020-02-27,Inactive
MTR000132,ACCT000132,Smart Meter,2015-01-31,Active
MTR000133,ACCT000133,Smart Meter,2020-08-22,Active
MTR000134,ACCT000134,Smart Meter,2019-03-30,Active
MTR000135,ACCT000135,Smart Meter,2021-06-16,Active
MTR000136,ACCT000136,Smart Meter,2024-01-24,Active
MTR000137,ACCT000137,Smart Meter,2021-01-26,Active
MTR000138,ACCT000138,Smart Meter,2016-07-11,Active
MTR000139,ACCT000139,Smart Meter,2022-08-26,Active
MTR000140,ACCT000140,Smart Meter,2015-02-02,Active
MTR000141,ACCT000141,Smart Meter,2017-04-20,Active
MTR000142,ACCT000142,Smart Meter,2021-12-24,Active
MTR000143,ACCT000143,Smart Meter,2017-07-30,Active
MTR000144,ACCT000144,Smart Meter,2023-11-14,Active
MTR000145,ACCT000145,Smart Meter,2015-07-15,Active
MTR000146,ACCT000146,Smart Meter,2014-07-09,Active
MTR000147,ACCT000147,Smart Meter,2014-07-24,Active
MTR000148,ACCT000148,Smart Meter,2022-04-04,Active
MTR000149,ACCT000149,Smart Meter,2014-02-13,Active
MTR000150,ACCT000150,Smart Meter,2016-09-30,Active
MTR000151,ACCT000151,Legacy Meter,2023-03-26,Active
MTR000152,ACCT000152,Smart Meter,2022-05-25,Active
MTR000153,ACCT000153,Legacy Meter,2021-05-11,Active
MTR000154,ACCT000154,Smart Meter,2022-04-30,Active
MTR000155,ACCT000155,Smart Meter,2021-07-11,Active
MTR000156,ACCT000156,Smart Meter,2018-09-02,Active
MTR000157,ACCT000157,Smart Meter,2017-07-26,Active
MTR000158,ACCT000158,Smart Meter,2015-12-14,Active
MTR000159,ACCT000159,Smart Meter,2023-06-19,Active
MTR000160,ACCT000160,Legacy Meter,2021-05-08,Active
MTR000161,ACCT000161,Smart Meter,2021-10-22,Active
MTR000162,ACCT000162,Smart Meter,2014-11-07,Active
MTR000163,ACCT000163,Smart Meter,2016-05-27,Active
MTR000164,ACCT000164,Smart Meter,2023-11-09,Active
MTR000165,ACCT000165,Smart Meter,2016-05-06,Active
MTR000166,ACCT000166,Smart Meter,2020-05-10,Active
MTR000167,ACCT000167,Smart Meter,2023-09-24,Active
MTR000168,ACCT000168,Smart Meter,2024-08-13,Active
MTR000169,ACCT000169,Smart Meter,2023-08-24,Active
MTR000170,ACCT000170,Smart Meter,2018-04-05,Active
MTR000171,ACCT000171,Legacy Meter,2015-06-15,Active
MTR000172,ACCT000172,Smart Meter,2023-11-06,Active
MTR000173,ACCT000173,Smart Meter,2014-01-17,Active
MTR000174,ACCT000174,Smart Meter,2021-07-28,Active
MTR000175,ACCT000175,Smart Meter,2022-06-29,Active
MTR000176,ACCT000176,Smart Meter,2015-04-15,Active
MTR000177,ACCT000177,Smart Meter,2016-03-21,Active
MTR000178,ACCT000178,Smart Meter,2017-08-20,Active
MTR000179,ACCT000179,Smart Meter,2015-07-09,Active
MTR000180,ACCT000180,Smart Meter,2019-11-11,Active
MTR000181,ACCT000181,Smart Meter,2016-05-31,Active
MTR000182,ACCT000182,Smart Meter,2021-03-10,Active
MTR000183,ACCT000183,Smart Meter,2021-05-02,Active
MTR000184,ACCT000184,Smart Meter,2016-03-31,Active
MTR000185,ACCT000185,Smart Meter,2015-08-07,Active
MTR000186,ACCT000186,Smart Meter,2016-04-25,Active
MTR000187,ACCT000187,Smart Meter,2022-11-08,Active
MTR000188,ACCT000188,Smart Meter,2019-06-20,Active
MTR000189,ACCT000189,Smart Meter,2016-04-21,Active
MTR000190,ACCT000190,Smart Meter,2020-07-03,Active
MTR000191,ACCT000191,Smart Meter,2018-12-10,Active
MTR000192,ACCT000192,Smart Meter,2015-12-31,Active
MTR000193,ACCT000193,Smart Meter,2014-09-11,Active
MTR000194,ACCT000194,Smart Meter,2018-01-03,Active
MTR000195,ACCT000195,Smart Meter,2021-03-03,Active
MTR000196,ACCT000196,Smart Meter,2021-02-04,Active
MTR000197,ACCT000197,Smart Meter,2016-04-30,Active
MTR000198,ACCT000198,Smart Meter,2019-12-08,Active
MTR000199,ACCT000199,Legacy Meter,2022-04-11,Active
MTR000200,ACCT000200,Smart Meter,2016-04-01,Active
MTR000201,ACCT000201,Smart Meter,2021-01-05,Active
MTR000202,ACCT000202,Smart Meter,2024-02-19,Active
MTR000203,ACCT000203,Smart Meter,2018-04-22,Active
MTR000204,ACCT000204,Smart Meter,2016-09-05,Active
MTR000205,ACCT000205,Smart Meter,2019-11-15,Active
MTR000206,ACCT000206,Smart Meter,2016-05-20,Active
MTR000207,ACCT000207,Legacy Meter,2017-10-25,Active
MTR000208,ACCT000208,Smart Meter,2023-07-21,Active
MTR000209,ACCT000209,Legacy Meter,2014-09-14,Active
MTR000210,ACCT000210,Smart Meter,2014-05-08,Active
MTR000211,ACCT000211,Smart Meter,2017-10-14,Removed
MTR000212,ACCT000212,Smart Meter,2017-03-25,Active
MTR000213,ACCT000213,Smart Meter,2024-03-17,Active
MTR000214,ACCT000214,Smart Meter,2019-10-06,Active
MTR000215,ACCT000215,Smart Meter,2021-03-14,Active
MTR000216,ACCT000216,Smart Meter,2019-05-26,Active
MTR000217,ACCT000217,Smart Meter,2015-07-10,Active
MTR000218,ACCT000218,Smart Meter,2021-08-03,Active
MTR000219,ACCT000219,Smart Meter,2024-04-16,Active
MTR000220,ACCT000220,Legacy Meter,2021-05-24,Active
MTR000221,ACCT000221,Smart Meter,2022-08-14,Active
MTR000222,ACCT000222,Smart Meter,2020-01-15,Active
MTR000223,ACCT000223,Smart Meter,2014-03-26,Removed
MTR000224,ACCT000224,Smart Meter,2014-11-18,Active
MTR000225,ACCT000225,Smart Meter,2020-06-14,Active
MTR000226,ACCT000226,Smart Meter,2018-04-03,Active
MTR000227,ACCT000227,Legacy Meter,2014-10-11,Active
MTR000228,ACCT000228,Smart Meter,2024-11-15,Active
MTR000229,ACCT000229,Legacy Meter,2022-07-11,Active
MTR000230,ACCT000230,Smart Meter,2022-05-09,Active
MTR000231,ACCT000231,Smart Meter,2019-04-02,Active
MTR000232,ACCT000232,Smart Meter,2024-10-31,Active
MTR000233,ACCT000233,Smart Meter,2019-12-22,Active
MTR000234,ACCT000234,Smart Meter,2015-09-06,Active
MTR000235,ACCT000235,Smart Meter,2021-05-20,Active
MTR000236,ACCT000236,Smart Meter,2017-11-28,Active
MTR000237,ACCT000237,Smart Meter,2018-02-25,Active
MTR000238,ACCT000238,Smart Meter,2023-01-07,Active
MTR000239,ACCT000239,Smart Meter,2014-08-17,Active
MTR000240,ACCT000240,Smart Meter,2019-01-04,Active
MTR000241,ACCT000241,Smart Meter,2023-08-25,Active
MTR000242,ACCT000242,Smart Meter,2022-05-04,Active
MTR000243,ACCT000243,Smart Meter,2017-08-22,Active
MTR000244,ACCT000244,Smart Meter,2024-09-04,Active
MTR000245,ACCT000245,Smart Meter,2019-04-17,Active
MTR000246,ACCT000246,Legacy Meter,2014-04-29,Inactive
MTR000247,ACCT000247,Legacy Meter,2024-01-31,Active
MTR000248,ACCT000248,Smart Meter,2024-10-08,Active
MTR000249,ACCT000249,Smart Meter,2022-03-05,Inactive
MTR000250,ACCT000250,Smart Meter,2020-06-29,Active
MTR000251,ACCT000251,Legacy Meter,2016-07-09,Active
MTR000252,ACCT000252,Smart Meter,2020-01-16,Active
MTR000253,ACCT000253,Smart Meter,2020-04-05,Active
MTR000254,ACCT000254,Smart Meter,2020-09-09,Active
MTR000255,ACCT000255,Smart Meter,2014-11-16,Active
MTR000256,ACCT000256,Smart Meter,2024-09-23,Active
MTR000257,ACCT000257,Smart Meter,2022-12-05,Active
MTR000258,ACCT000258,Smart Meter,2020-06-14,Active
MTR000259,ACCT000259,Smart Meter,2020-04-15,Active
MTR000260,ACCT000260,Smart Meter,2021-01-29,Active
MTR000261,ACCT000261,Smart Meter,2015-12-02,Active
MTR000262,ACCT000262,Smart Meter,2023-10-18,Active
MTR000263,ACCT000263,Smart Meter,2020-09-07,Active
MTR000264,ACCT000264,Smart Meter,2021-05-23,Removed
MTR000265,ACCT000265,Smart Meter,2016-10-14,Active
MTR000266,ACCT000266,Smart Meter,2015-02-10,Active
MTR000267,ACCT000267,Legacy Meter,2022-05-06,Active
MTR000268,ACCT000268,Smart Meter,2017-04-19,Active
MTR000269,ACCT000269,Smart Meter,2019-08-31,Active
MTR000270,ACCT000270,Smart Meter,2018-08-26,Active
MTR000271,ACCT000271,Smart Meter,2018-05-26,Active
MTR000272,ACCT000272,Smart Meter,2024-01-14,Active
MTR000273,ACCT000273,Legacy Meter,2014-06-04,Inactive
MTR000274,ACCT000274,Smart Meter,2019-01-26,Active
MTR000275,ACCT000275,Smart Meter,2016-05-16,Active
MTR000276,ACCT000276,Smart Meter,2015-07-13,Active
MTR000277,ACCT000277,Smart Meter,2014-07-13,Active
MTR000278,ACCT000278,Smart Meter,2023-01-09,Active
MTR000279,ACCT000279,Smart Meter,2020-09-12,Active
MTR000280,ACCT000280,Smart Meter,2024-06-17,Active
MTR000281,ACCT000281,Legacy Meter,2020-05-16,Active
MTR000282,ACCT000282,Smart Meter,2022-04-16,Active
MTR000283,ACCT000283,Smart Meter,2016-10-30,Active
MTR000284,ACCT000284,Smart Meter,2017-10-31,Active
MTR000285,ACCT000285,Smart Meter,2020-11-24,Active
MTR000286,ACCT000286,Legacy Meter,2020-01-09,Active
MTR000287,ACCT000287,Smart Meter,2024-10-02,Active
MTR000288,ACCT000288,Smart Meter,2024-02-05,Active
MTR000289,ACCT000289,Smart Meter,2022-10-01,Active
MTR000290,ACCT000290,Smart Meter,2024-04-26,Active
MTR000291,ACCT000291,Smart Meter,2019-07-25,Active
MTR000292,ACCT000292,Smart Meter,2016-03-12,Active
MTR000293,ACCT000293,Smart Meter,2015-07-07,Active
MTR000294,ACCT000294,Legacy Meter,2017-12-18,Active
MTR000295,ACCT000295,Smart Meter,2018-03-27,Active
MTR000296,ACCT000296,Smart Meter,2015-12-31,Inactive
MTR000297,ACCT000297,Legacy Meter,2021-01-04,Active
MTR000298,ACCT000298,Legacy Meter,2024-12-11,Active
MTR000299,ACCT000299,Smart Meter,2016-10-09,Active
MTR000300,ACCT000300,Smart Meter,2014-06-20,Active
MTR000301,ACCT000301,Smart Meter,2016-04-29,Active
MTR000302,ACCT000302,Smart Meter,2016-03-04,Active
MTR000303,ACCT000303,Smart Meter,2018-05-08,Active
MTR000304,ACCT000304,Smart Meter,2014-05-05,Inactive
MTR000305,ACCT000305,Smart Meter,2014-06-24,Active
MTR000306,ACCT000306,Smart Meter,2020-12-26,Active
MTR000307,ACCT000307,Smart Meter,2024-07-15,Active
MTR000308,ACCT000308,Smart Meter,2018-12-06,Active
MTR000309,ACCT000309,Smart Meter,2023-06-19,Active
MTR000310,ACCT000310,Smart Meter,2021-07-21,Active
MTR000311,ACCT000311,Smart Meter,2024-07-06,Inactive
MTR000312,ACCT000312,Smart Meter,2024-04-13,Active
MTR000313,ACCT000313,Smart Meter,2023-12-22,Inactive
MTR000314,ACCT000314,Smart Meter,2014-04-16,Active
MTR000315,ACCT000315,Smart Meter,2019-05-25,Active
MTR000316,ACCT000316,Smart Meter,2018-07-19,Active
MTR000317,ACCT000317,Smart Meter,2021-01-19,Active
MTR000318,ACCT000318,Smart Meter,2014-02-07,Active
MTR000319,ACCT000319,Smart Meter,2015-01-30,Active
MTR000320,ACCT000320,Smart Meter,2024-06-23,Active
MTR000321,ACCT000321,Smart Meter,2016-07-09,Active
MTR000322,ACCT000322,Smart Meter,2020-11-29,Active
MTR000323,ACCT000323,Smart Meter,2018-01-30,Removed
MTR000324,ACCT000324,Smart Meter,2015-12-23,Active
MTR000325,ACCT000325,Smart Meter,2023-10-17,Active
MTR000326,ACCT000326,Smart Meter,2019-07-24,Active
MTR000327,ACCT000327,Legacy Meter,2020-06-20,Active
MTR000328,ACCT000328,Smart Meter,2017-08-01,Active
MTR000329,ACCT000329,Smart Meter,2023-09-06,Active
MTR000330,ACCT000330,Smart Meter,2019-07-23,Active
MTR000331,ACCT000331,Smart Meter,2018-08-31,Active
MTR000332,ACCT000332,Smart Meter,2023-02-18,Active
MTR000333,ACCT000333,Smart Meter,2018-06-22,Active
MTR000334,ACCT000334,Smart Meter,2024-03-06,Active
MTR000335,ACCT000335,Smart Meter,2017-12-23,Active
MTR000336,ACCT000336,Smart Meter,2014-12-31,Active
MTR000337,ACCT000337,Smart Meter,2020-02-07,Active
MTR000338,ACCT000338,Smart Meter,2016-01-04,Active
MTR000339,ACCT000339,Smart Meter,2022-01-02,Active
MTR000340,ACCT000340,Smart Meter,2022-04-30,Active
MTR000341,ACCT000341,Legacy Meter,2021-06-01,Active
MTR000342,ACCT000342,Legacy Meter,2014-09-01,Active
MTR000343,ACCT000343,Smart Meter,2014-11-09,Active
MTR000344,ACCT000344,Smart Meter,2014-03-17,Active
MTR000345,ACCT000345,Smart Meter,2024-10-27,Active
MTR000346,ACCT000346,Smart Meter,2020-04-28,Active
MTR000347,ACCT000347,Smart Meter,2014-08-19,Active
MTR000348,ACCT000348,Smart Meter,2021-07-13,Active
MTR000349,ACCT000349,Smart Meter,2023-06-14,Active
MTR000350,ACCT000350,Smart Meter,2021-05-17,Active
MTR000351,ACCT000351,Smart Meter,2023-04-04,Active
MTR000352,ACCT000352,Smart Meter,2024-07-02,Active
MTR000353,ACCT000353,Smart Meter,2017-11-12,Active
MTR000354,ACCT000354,Smart Meter,2021-09-05,Active
MTR000355,ACCT000355,Smart Meter,2024-07-15,Active
MTR000356,ACCT000356,Smart Meter,2017-09-10,Active
MTR000357,ACCT000357,Smart Meter,2016-04-21,Active
MTR000358,ACCT000358,Legacy Meter,2022-01-05,Active
MTR000359,ACCT000359,Smart Meter,2018-01-19,Active
MTR000360,ACCT000360,Smart Meter,2023-10-24,Active
MTR000361,ACCT000361,Smart Meter,2023-05-08,Active
MTR000362,ACCT000362,Smart Meter,2015-05-31,Active
MTR000363,ACCT000363,Smart Meter,2020-10-25,Removed
MTR000364,ACCT000364,Smart Meter,2018-04-22,Active
MTR000365,ACCT000365,Smart Meter,2021-03-15,Active
MTR000366,ACCT000366,Smart Meter,2020-04-28,Active
MTR000367,ACCT000367,Smart Meter,2021-08-28,Active
MTR000368,ACCT000368,Smart Meter,2016-03-29,Active
MTR000369,ACCT000369,Legacy Meter,2022-05-08,Active
MTR000370,ACCT000370,Legacy Meter,2023-09-05,Active
MTR000371,ACCT000371,Smart Meter,2021-12-24,Active
MTR000372,ACCT000372,Smart Meter,2024-04-19,Active
MTR000373,ACCT000373,Smart Meter,2015-08-31,Active
MTR000374,ACCT000374,Smart Meter,2022-02-05,Active
MTR000375,ACCT000375,Smart Meter,2023-01-12,Inactive
MTR000376,ACCT000376,Smart Meter,2015-06-07,Active
MTR000377,ACCT000377,Smart Meter,2018-12-07,Active
MTR000378,ACCT000378,Smart Meter,2017-04-27,Active
MTR000379,ACCT000379,Smart Meter,2022-12-25,Active
MTR000380,ACCT000380,Smart Meter,2016-11-02,Active
MTR000381,ACCT000381,Smart Meter,2024-11-04,Active
MTR000382,ACCT000382,Smart Meter,2014-06-11,Active
MTR000383,ACCT000383,Smart Meter,2023-12-23,Active
MTR000384,ACCT000384,Smart Meter,2018-02-25,Active
MTR000385,ACCT000385,Smart Meter,2023-08-08,Active
MTR000386,ACCT000386,Smart Meter,2019-08-15,Active
MTR000387,ACCT000387,Legacy Meter,2019-07-25,Active
MTR000388,ACCT000388,Smart Meter,2014-07-21,Inactive
MTR000389,ACCT000389,Smart Meter,2020-09-29,Active
MTR000390,ACCT000390,Smart Meter,2016-11-01,Active
MTR000391,ACCT000391,Smart Meter,2016-08-05,Active
MTR000392,ACCT000392,Smart Meter,2017-11-21,Active
MTR000393,ACCT000393,Smart Meter,2017-09-26,Active
MTR000394,ACCT000394,Smart Meter,2016-01-22,Active
MTR000395,ACCT000395,Smart Meter,2016-08-07,Active
MTR000396,ACCT000396,Smart Meter,2020-08-17,Active
MTR000397,ACCT000397,Legacy Meter,2023-06-12,Active
MTR000398,ACCT000398,Smart Meter,2017-06-02,Active
MTR000399,ACCT000399,Smart Meter,2017-04-20,Active
MTR000400,ACCT000400,Smart Meter,2017-08-13,Active
MTR000401,ACCT000401,Smart Meter,2024-08-23,Active
MTR000402,ACCT000402,Legacy Meter,2017-08-23,Active
MTR000403,ACCT000403,Smart Meter,2015-03-07,Active
MTR000404,ACCT000404,Smart Meter,2021-06-30,Active
MTR000405,ACCT000405,Smart Meter,2019-12-06,Removed
MTR000406,ACCT000406,Smart Meter,2023-05-17,Active
MTR000407,ACCT000407,Smart Meter,2015-08-11,Active
MTR000408,ACCT000408,Smart Meter,2022-07-15,Active
MTR000409,ACCT000409,Smart Meter,2020-03-24,Active
MTR000410,ACCT000410,Smart Meter,2023-05-21,Active
MTR000411,ACCT000411,Smart Meter,2023-03-20,Active
MTR000412,ACCT000412,Smart Meter,2017-06-17,Active
MTR000413,ACCT000413,Smart Meter,2020-07-23,Active
MTR000414,ACCT000414,Smart Meter,2014-05-21,Active
MTR000415,ACCT000415,Smart Meter,2014-07-23,Active
MTR000416,ACCT000416,Smart Meter,2024-03-22,Active
MTR000417,ACCT000417,Smart Meter,2016-09-30,Active
MTR000418,ACCT000418,Smart Meter,2018-07-24,Active
MTR000419,ACCT000419,Smart Meter,2016-05-10,Active
MTR000420,ACCT000420,Smart Meter,2016-04-24,Active
MTR000421,ACCT000421,Smart Meter,2022-05-01,Active
MTR000422,ACCT000422,Smart Meter,2023-02-23,Active
MTR000423,ACCT000423,Smart Meter,2020-06-18,Active
MTR000424,ACCT000424,Smart Meter,2023-07-22,Active
MTR000425,ACCT000425,Smart Meter,2019-04-23,Active
MTR000426,ACCT000426,Smart Meter,2014-05-17,Active
MTR000427,ACCT000427,Smart Meter,2018-07-10,Active
MTR000428,ACCT000428,Smart Meter,2020-07-26,Active
MTR000429,ACCT000429,Smart Meter,2022-11-07,Active
MTR000430,ACCT000430,Smart Meter,2018-08-18,Active
MTR000431,ACCT000431,Smart Meter,2020-01-30,Active
MTR000432,ACCT000432,Smart Meter,2017-02-27,Active
MTR000433,ACCT000433,Smart Meter,2014-03-20,Active
MTR000434,ACCT000434,Smart Meter,2016-09-05,Active
MTR000435,ACCT000435,Legacy Meter,2015-07-23,Active
MTR000436,ACCT000436,Smart Meter,2021-12-20,Active
MTR000437,ACCT000437,Smart Meter,2019-10-06,Active
MTR000438,ACCT000438,Smart Meter,2023-07-04,Active
MTR000439,ACCT000439,Smart Meter,2020-08-07,Active
MTR000440,ACCT000440,Smart Meter,2023-04-30,Active
MTR000441,ACCT000441,Smart Meter,2014-05-14,Active
MTR000442,ACCT000442,Smart Meter,2019-08-24,Active
MTR000443,ACCT000443,Legacy Meter,2014-10-10,Active
MTR000444,ACCT000444,Smart Meter,2021-10-24,Inactive
MTR000445,ACCT000445,Smart Meter,2024-03-19,Active
MTR000446,ACCT000446,Smart Meter,2023-07-25,Active
MTR000447,ACCT000447,Legacy Meter,2014-05-07,Active
MTR000448,ACCT000448,Smart Meter,2019-07-20,Active
MTR000449,ACCT000449,Smart Meter,2018-12-01,Active
MTR000450,ACCT000450,Smart Meter,2019-01-24,Inactive
MTR000451,ACCT000451,Smart Meter,2014-08-06,Active
MTR000452,ACCT000452,Smart Meter,2024-11-20,Inactive
MTR000453,ACCT000453,Smart Meter,2016-01-15,Active
MTR000454,ACCT000454,Legacy Meter,2024-10-27,Active
MTR000455,ACCT000455,Smart Meter,2021-06-20,Active
MTR000456,ACCT000456,Smart Meter,2024-03-15,Active
MTR000457,ACCT000457,Smart Meter,2023-10-01,Active
MTR000458,ACCT000458,Smart Meter,2022-05-03,Active
MTR000459,ACCT000459,Smart Meter,2014-09-17,Active
MTR000460,ACCT000460,Smart Meter,2017-05-26,Active
MTR000461,ACCT000461,Smart Meter,2019-01-18,Active
MTR000462,ACCT000462,Smart Meter,2018-08-09,Active
