account_id,customer_id,premise_id,service_type,customer_segment,county,account_status,rate_plan_id
ACCT000093,CUST000093,PREM000093,Electric,Residential,SAN JOAQUIN,Active,R-RES-TOU
ACCT000094,CUST000094,PREM000094,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000095,CUST000095,PREM000095,Electric,Residential,CONTRA COSTA,Active,R-RES-TOU
ACCT000096,CUST000096,PREM000096,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000097,CUST000097,PREM000097,Electric,Residential,SAN JOAQUIN,Active,R-RES-TOU
ACCT000098,CUST000098,PREM000098,Electric,Residential,ALAMEDA,Active,R-RES-TOU
ACCT000099,CUST000099,PREM000099,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000100,CUST000100,PREM000100,Electric,Residential,CONTRA COSTA,Active,R-RES-TOU
ACCT000101,CUST000101,PREM000101,Electric,Residential,KERN,Inactive,R-RES-TOU
ACCT000102,CUST000102,PREM000102,Electric,Residential,SAN FRANCISCO,Active,R-RES-TOU
ACCT000103,CUST000103,PREM000103,Electric,Residential,SAN FRANCISCO,Pending Close,R-RES-TOU
ACCT000104,CUST000104,PREM000104,Electric,Residential,ALAMEDA,Active,R-RES-TOU
ACCT000105,CUST000105,PREM000105,Electric,Commercial,ALAMEDA,Active,R-COM-GEN
ACCT000106,CUST000106,PREM000106,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000107,CUST000107,PREM000107,Electric,Residential,SAN MATEO,Active,R-RES-TOU
ACCT000108,CUST000108,PREM000108,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000109,CUST000109,PREM000109,Electric,Residential,MERCED,Active,R-RES-TOU
ACCT000110,CUST000110,PREM000110,Electric,Residential,KINGS,Active,R-RES-TOU
ACCT000111,CUST000111,PREM000111,Electric,Residential,KINGS,Active,R-RES-TOU
ACCT000112,CUST000112,PREM000112,Electric,Residential,MONTEREY,Active,R-RES-TOU
ACCT000113,CUST000113,PREM000113,Electric,Industrial,SAN LUIS OBISPO,Active,R-IND-GEN
ACCT000114,CUST000114,PREM000114,Electric,Commercial,FRESNO,Active,R-COM-GEN
ACCT000115,CUST000115,PREM000115,Electric,Residential,ALAMEDA,Active,R-RES-TOU
ACCT000116,CUST000116,PREM000116,Electric,Commercial,COLUSA,Active,R-COM-GEN
ACCT000117,CUST000117,PREM000117,Electric,Commercial,KERN,Active,R-COM-GEN
ACCT000118,CUST000118,PREM000118,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000119,CUST000119,PREM000119,Electric,Commercial,MADERA,Active,R-COM-GEN
ACCT000120,CUST000120,PREM000120,Electric,Residential,ALAMEDA,Active,R-RES-TOU
ACCT000121,CUST000121,PREM000121,Electric,Commercial,ALAMEDA,Active,R-COM-GEN
ACCT000122,CUST000122,PREM000122,Electric,Commercial,YOLO,Active,R-COM-GEN
ACCT000123,CUST000123,PREM000123,Electric,Residential,CONTRA COSTA,Active,R-RES-TOU
ACCT000124,CUST000124,PREM000124,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000125,CUST000125,PREM000125,Electric,Residential,YOLO,Active,R-RES-TOU
ACCT000126,CUST000126,PREM000126,Electric,Residential,EL DORADO,Active,R-RES-TOU
ACCT000127,CUST000127,PREM000127,Electric,Commercial,SAN FRANCISCO,Active,R-COM-GEN
ACCT000128,CUST000128,PREM000128,Electric,Commercial,ALAMEDA,Active,R-COM-GEN
ACCT000129,CUST000129,PREM000129,Electric,Residential,SAN MATEO,Active,R-RES-TOU
ACCT000130,CUST000130,PREM000130,Electric,Residential,BUTTE,Active,R-RES-TOU
ACCT000131,CUST000131,PREM000131,Electric,Residential,SAN FRANCISCO,Pending Close,R-RES-TOU
ACCT000132,CUST000132,PREM000132,Electric,Residential,PLACER,Active,R-RES-TOU
ACCT000133,CUST000133,PREM000133,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000134,CUST000134,PREM000134,Electric,Residential,CONTRA COSTA,Active,R-RES-TOU
ACCT000135,CUST000135,PREM000135,Electric,Industrial,KINGS,Active,R-IND-GEN
ACCT000136,CUST000136,PREM000136,Electric,Residential,MARIN,Active,R-RES-TOU
ACCT000137,CUST000137,PREM000137,Electric,Residential,SAN LUIS OBISPO,Active,R-RES-TOU
ACCT000138,CUST000138,PREM000138,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000139,CUST000139,PREM000139,Electric,Residential,FRESNO,Active,R-RES-TOU
ACCT000140,CUST000140,PREM000140,Electric,Agriculture And Water Pumping,TUOLUMNE,Active,R-AGR-PUMP
ACCT000141,CUST000141,PREM000141,Electric,Agriculture And Water Pumping,SAN FRANCISCO,Active,R-AGR-PUMP
ACCT000142,CUST000142,PREM000142,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000143,CUST000143,PREM000143,Electric,Residential,SAN FRANCISCO,Active,R-RES-TOU
ACCT000144,CUST000144,PREM000144,Electric,Residential,MERCED,Active,R-RES-TOU
ACCT000145,CUST000145,PREM000145,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000146,CUST000146,PREM000146,Electric,Residential,MONTEREY,Active,R-RES-TOU
ACCT000147,CUST000147,PREM000147,Electric,Residential,SANTA BARBARA,Active,R-RES-TOU
ACCT000148,CUST000148,PREM000148,Electric,Residential,SONOMA,Active,R-RES-TOU
ACCT000149,CUST000149,PREM000149,Electric,Residential,SANTA CRUZ,Active,R-RES-TOU
ACCT000150,CUST000150,PREM000150,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000151,CUST000151,PREM000151,Electric,Commercial,ALAMEDA,Active,R-COM-GEN
ACCT000152,CUST000152,PREM000152,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000153,CUST000153,PREM000153,Electric,Residential,CALAVERAS,Active,R-RES-TOU
ACCT000154,CUST000154,PREM000154,Electric,Residential,MADERA,Active,R-RES-TOU
ACCT000155,CUST000155,PREM000155,Electric,"Transportation, Communications, & Utilities",FRESNO,Active,R-TCU-GEN
ACCT000156,CUST000156,PREM000156,Electric,Residential,ALAMEDA,Active,R-RES-TOU
ACCT000157,CUST000157,PREM000157,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000158,CUST000158,PREM000158,Electric,Residential,MADERA,Active,R-RES-TOU
ACCT000159,CUST000159,PREM000159,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000160,CUST000160,PREM000160,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000161,CUST000161,PREM000161,Electric,Residential,EL DORADO,Active,R-RES-TOU
ACCT000162,CUST000162,PREM000162,Electric,Residential,CONTRA COSTA,Active,R-RES-TOU
ACCT000163,CUST000163,PREM000163,Electric,Residential,ALAMEDA,Active,R-RES-TOU
ACCT000164,CUST000164,PREM000164,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000165,CUST000165,PREM000165,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000166,CUST000166,PREM000166,Electric,Commercial,SHASTA,Active,R-COM-GEN
ACCT000167,CUST000167,PREM000167,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000168,CUST000168,PREM000168,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000169,CUST000169,PREM000169,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000170,CUST000170,PREM000170,Electric,Residential,MERCED,Active,R-RES-TOU
ACCT000171,CUST000171,PREM000171,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000172,CUST000172,PREM000172,Electric,Residential,SAN FRANCISCO,Active,R-RES-TOU
ACCT000173,CUST000173,PREM000173,Electric,Residential,CONTRA COSTA,Active,R-RES-TOU
ACCT000174,CUST000174,PREM000174,Electric,Residential,CONTRA COSTA,Active,R-RES-TOU
ACCT000175,CUST000175,PREM000175,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000176,CUST000176,PREM000176,Electric,Residential,SAN JOAQUIN,Active,R-RES-TOU
ACCT000177,CUST000177,PREM000177,Electric,Residential,SONOMA,Active,R-RES-TOU
ACCT000178,CUST000178,PREM000178,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000179,CUST000179,PREM000179,Electric,Industrial,PLACER,Active,R-IND-GEN
ACCT000180,CUST000180,PREM000180,Electric,Residential,YOLO,Active,R-RES-TOU
ACCT000181,CUST000181,PREM000181,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000182,CUST000182,PREM000182,Electric,Residential,SAN JOAQUIN,Active,R-RES-TOU
ACCT000183,CUST000183,PREM000183,Electric,Commercial,SANTA CLARA,Active,R-COM-GEN
ACCT000184,CUST000184,PREM000184,Electric,Commercial,TUOLUMNE,Active,R-COM-GEN
ACCT000185,CUST000185,PREM000185,Electric,Residential,MADERA,Active,R-RES-TOU
ACCT000186,CUST000186,PREM000186,Electric,Residential,SUTTER,Active,R-RES-TOU
ACCT000187,CUST000187,PREM000187,Electric,Commercial,FRESNO,Active,R-COM-GEN
ACCT000188,CUST000188,PREM000188,Electric,Residential,SAN MATEO,Active,R-RES-TOU
ACCT000189,CUST000189,PREM000189,Electric,Residential,AMADOR,Active,R-RES-TOU
ACCT000190,CUST000190,PREM000190,Electric,Residential,ALAMEDA,Active,R-RES-TOU
ACCT000191,CUST000191,PREM000191,Electric,Residential,ALAMEDA,Active,R-RES-TOU
ACCT000192,CUST000192,PREM000192,Electric,Commercial,FRESNO,Active,R-COM-GEN
ACCT000193,CUST000193,PREM000193,Electric,Commercial,MADERA,Active,R-COM-GEN
ACCT000194,CUST000194,PREM000194,Electric,Residential,MENDOCINO,Active,R-RES-TOU
ACCT000195,CUST000195,PREM000195,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000196,CUST000196,PREM000196,Electric,Residential,SAN JOAQUIN,Active,R-RES-TOU
ACCT000197,CUST000197,PREM000197,Electric,Residential,SOLANO,Active,R-RES-TOU
ACCT000198,CUST000198,PREM000198,Electric,Commercial,CONTRA COSTA,Active,R-COM-GEN
ACCT000199,CUST000199,PREM000199,Electric,Commercial,KERN,Active,R-COM-GEN
ACCT000200,CUST000200,PREM000200,Electric,Residential,ALAMEDA,Active,R-RES-TOU
ACCT000201,CUST000201,PREM000201,Electric,Residential,ALAMEDA,Active,R-RES-TOU
ACCT000202,CUST000202,PREM000202,Electric,Residential,SHASTA,Active,R-RES-TOU
ACCT000203,CUST000203,PREM000203,Electric,Residential,SANTA BARBARA,Active,R-RES-TOU
ACCT000204,CUST000204,PREM000204,Electric,Commercial,FRESNO,Active,R-COM-GEN
ACCT000205,CUST000205,PREM000205,Electric,Residential,HUMBOLDT,Active,R-RES-TOU
ACCT000206,CUST000206,PREM000206,Electric,Residential,MARIN,Active,R-RES-TOU
ACCT000207,CUST000207,PREM000207,Electric,Residential,SAN JOAQUIN,Active,R-RES-TOU
ACCT000208,CUST000208,PREM000208,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000209,CUST000209,PREM000209,Electric,Residential,MONTEREY,Active,R-RES-TOU
ACCT000210,CUST000210,PREM000210,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000211,CUST000211,PREM000211,Electric,Residential,NAPA,Inactive,R-RES-TOU
ACCT000212,CUST000212,PREM000212,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000213,CUST000213,PREM000213,Electric,Residential,ALAMEDA,Active,R-RES-TOU
ACCT000214,CUST000214,PREM000214,Electric,Residential,MADERA,Active,R-RES-TOU
ACCT000215,CUST000215,PREM000215,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000216,CUST000216,PREM000216,Electric,Residential,EL DORADO,Active,R-RES-TOU
ACCT000217,CUST000217,PREM000217,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000218,CUST000218,PREM000218,Electric,Residential,SOLANO,Active,R-RES-TOU
ACCT000219,CUST000219,PREM000219,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000220,CUST000220,PREM000220,Electric,Commercial,CONTRA COSTA,Active,R-COM-GEN
ACCT000221,CUST000221,PREM000221,Electric,Residential,ALAMEDA,Active,R-RES-TOU
ACCT000222,CUST000222,PREM000222,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000223,CUST000223,PREM000223,Electric,Residential,SANTA CLARA,Inactive,R-RES-TOU
ACCT000224,CUST000224,PREM000224,Electric,Residential,SAN MATEO,Active,R-RES-TOU
ACCT000225,CUST000225,PREM000225,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000226,CUST000226,PREM000226,Electric,Residential,CONTRA COSTA,Active,R-RES-TOU
ACCT000227,CUST000227,PREM000227,Electric,Agriculture And Water Pumping,SAN FRANCISCO,Active,R-AGR-PUMP
ACCT000228,CUST000228,PREM000228,Electric,Residential,SONOMA,Active,R-RES-TOU
ACCT000229,CUST000229,PREM000229,Electric,Commercial,SANTA CLARA,Active,R-COM-GEN
ACCT000230,CUST000230,PREM000230,Electric,Residential,SAN LUIS OBISPO,Active,R-RES-TOU
ACCT000231,CUST000231,PREM000231,Electric,Residential,FRESNO,Active,R-RES-TOU
ACCT000232,CUST000232,PREM000232,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000233,CUST000233,PREM000233,Electric,Residential,FRESNO,Active,R-RES-TOU
ACCT000234,CUST000234,PREM000234,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000235,CUST000235,PREM000235,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000236,CUST000236,PREM000236,Electric,Residential,CONTRA COSTA,Active,R-RES-TOU
ACCT000237,CUST000237,PREM000237,Electric,Residential,FRESNO,Active,R-RES-TOU
ACCT000238,CUST000238,PREM000238,Electric,Residential,FRESNO,Active,R-RES-TOU
ACCT000239,CUST000239,PREM000239,Electric,Residential,CONTRA COSTA,Active,R-RES-TOU
ACCT000240,CUST000240,PREM000240,Electric,Residential,SAN MATEO,Active,R-RES-TOU
ACCT000241,CUST000241,PREM000241,Electric,Industrial,HUMBOLDT,Active,R-IND-GEN
ACCT000242,CUST000242,PREM000242,Electric,Agriculture And Water Pumping,KERN,Active,R-AGR-PUMP
ACCT000243,CUST000243,PREM000243,Electric,Commercial,KERN,Active,R-COM-GEN
ACCT000244,CUST000244,PREM000244,Electric,Residential,CALAVERAS,Active,R-RES-TOU
ACCT000245,CUST000245,PREM000245,Electric,Residential,FRESNO,Active,R-RES-TOU
ACCT000246,CUST000246,PREM000246,Electric,Industrial,SAN FRANCISCO,Inactive,R-IND-GEN
ACCT000247,CUST000247,PREM000247,Electric,Residential,SAN JOAQUIN,Active,R-RES-TOU
ACCT000248,CUST000248,PREM000248,Electric,Agriculture And Water Pumping,MONTEREY,Active,R-AGR-PUMP
ACCT000249,CUST000249,PREM000249,Electric,Agriculture And Water Pumping,KERN,Pending Close,R-AGR-PUMP
ACCT000250,CUST000250,PREM000250,Electric,Commercial,KERN,Active,R-COM-GEN
ACCT000251,CUST000251,PREM000251,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000252,CUST000252,PREM000252,Electric,Residential,KINGS,Active,R-RES-TOU
ACCT000253,CUST000253,PREM000253,Electric,Commercial,FRESNO,Active,R-COM-GEN
ACCT000254,CUST000254,PREM000254,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000255,CUST000255,PREM000255,Electric,Residential,MONTEREY,Active,R-RES-TOU
ACCT000256,CUST000256,PREM000256,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000257,CUST000257,PREM000257,Electric,Industrial,CONTRA COSTA,Active,R-IND-GEN
ACCT000258,CUST000258,PREM000258,Electric,Residential,SAN FRANCISCO,Active,R-RES-TOU
ACCT000259,CUST000259,PREM000259,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000260,CUST000260,PREM000260,Electric,Residential,MONTEREY,Active,R-RES-TOU
ACCT000261,CUST000261,PREM000261,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000262,CUST000262,PREM000262,Electric,Mining,SAN JOAQUIN,Active,R-MIN-GEN
ACCT000263,CUST000263,PREM000263,Electric,Residential,SAN FRANCISCO,Active,R-RES-TOU
ACCT000264,CUST000264,PREM000264,Electric,Residential,CONTRA COSTA,Inactive,R-RES-TOU
ACCT000265,CUST000265,PREM000265,Electric,Commercial,KINGS,Active,R-COM-GEN
ACCT000266,CUST000266,PREM000266,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000267,CUST000267,PREM000267,Electric,Residential,ALAMEDA,Active,R-RES-TOU
ACCT000268,CUST000268,PREM000268,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000269,CUST000269,PREM000269,Electric,Residential,BUTTE,Active,R-RES-TOU
ACCT000270,CUST000270,PREM000270,Electric,Residential,ALAMEDA,Active,R-RES-TOU
ACCT000271,CUST000271,PREM000271,Electric,Commercial,SANTA CLARA,Active,R-COM-GEN
ACCT000272,CUST000272,PREM000272,Electric,Commercial,SANTA CLARA,Active,R-COM-GEN
ACCT000273,CUST000273,PREM000273,Electric,Commercial,ALAMEDA,Inactive,R-COM-GEN
ACCT000274,CUST000274,PREM000274,Electric,Commercial,MERCED,Active,R-COM-GEN
ACCT000275,CUST000275,PREM000275,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000276,CUST000276,PREM000276,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000277,CUST000277,PREM000277,Electric,Commercial,SANTA CLARA,Active,R-COM-GEN
ACCT000278,CUST000278,PREM000278,Electric,Residential,ALAMEDA,Active,R-RES-TOU
ACCT000279,CUST000279,PREM000279,Electric,Residential,SUTTER,Active,R-RES-TOU
ACCT000280,CUST000280,PREM000280,Electric,Commercial,SAN MATEO,Active,R-COM-GEN
ACCT000281,CUST000281,PREM000281,Electric,Commercial,SHASTA,Active,R-COM-GEN
ACCT000282,CUST000282,PREM000282,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000283,CUST000283,PREM000283,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000284,CUST000284,PREM000284,Electric,Residential,SONOMA,Active,R-RES-TOU
ACCT000285,CUST000285,PREM000285,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000286,CUST000286,PREM000286,Electric,Residential,FRESNO,Active,R-RES-TOU
ACCT000287,CUST000287,PREM000287,Electric,Residential,SHASTA,Active,R-RES-TOU
ACCT000288,CUST000288,PREM000288,Electric,Residential,CONTRA COSTA,Active,R-RES-TOU
ACCT000289,CUST000289,PREM000289,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000290,CUST000290,PREM000290,Electric,Residential,FRESNO,Active,R-RES-TOU
ACCT000291,CUST000291,PREM000291,Electric,Residential,ALAMEDA,Active,R-RES-TOU
ACCT000292,CUST000292,PREM000292,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000293,CUST000293,PREM000293,Electric,Commercial,CONTRA COSTA,Active,R-COM-GEN
ACCT000294,CUST000294,PREM000294,Electric,Residential,CONTRA COSTA,Active,R-RES-TOU
ACCT000295,CUST000295,PREM000295,Electric,Residential,MERCED,Active,R-RES-TOU
